"oclc号 - oclcNumber","oclc符号 - oclcSymbol","注册ID - registryId","机构名称 - institutionName","机构类型 - institutionType","别称 - alsoCalled","街道 - street1","城市 - city","邮政编码 - postalCode","国家 - country","经度 - longitude","纬度 - latitude","距离 - distance","距离单位 - distanceUnit"
"1083767033","SHS",63298,"University of Sheffield","ACADEMIC","Sheffield University","University of Sheffield Library","Sheffield","S10 2TN","GB",-1.488081,53.38276,787.6887158712476,"K"
"1083767033","ZAQ",87324,"Zayed University Library","ACADEMIC",,"Academic City","Dubai",,"AE",55.38569,25.10309,4851.696464885747,"K"
"1083767033","LGG",53639,"McGill University Library","ACADEMIC","McLennan Library Building","3459 McTavish Street","Montreal","H3A0C9","CA",-73.57592,45.503273,5844.4983291212375,"K"
"1083767033","YUS",544,"Yale University Library","ACADEMIC",,"Sterling Mem Libr 130 Wall St","New Haven","06520-8240","US",-72.92811,41.309837,6090.136001032786,"K"
"1083767033","ZCU",4861,"Columbia University in the City of New York","ACADEMIC","Columbia University Libraries","535 West 114th Street","New York","10027-7035","US",-73.96326,40.806236,6192.750022328971,"K"
"1083767033","CSU",2244,"Cleveland State University Library","ACADEMIC","Michael Schwartz Library","2121 Euclid Avenue","Cleveland","44115-2214","US",-81.67398,41.508816,6630.365407317213,"K"
"1083767033","OBE",2304,"Oberlin College Libraries","ACADEMIC",,"148 West College Street","Oberlin","44074-1532","US",-82.2228,41.292927,6680.410813469558,"K"
"1083767033","GZM",91572,"University of Wisconsin - Madison General Library System","ACADEMIC",,"Memorial Library","Madison","53706","US",-89.397865,43.075436,6974.53449098745,"K"
"1083767033","SFR",8579,"San Francisco Public Library","PUBLIC","SFPL Main Library","100 Larkin Street","San Francisco","94102","US",-122.41578,37.778866,9131.818788722108,"K"
"1083767033","HDC",5640,"The Claremont Colleges","ACADEMIC","The Claremont Colleges Library","Honnold/Mudd Library","Claremont","91711-3907","US",-117.71262,34.10182,9271.560004359686,"K"
"oclc号 - oclcNumber","oclc符号 - oclcSymbol","注册ID - registryId","机构名称 - institutionName","机构类型 - institutionType","别称 - alsoCalled","街道 - street1","城市 - city","邮政编码 - postalCode","国家 - country","经度 - longitude","纬度 - latitude","距离 - distance","距离单位 - distanceUnit"
"1084270706","SHS",63298,"University of Sheffield","ACADEMIC","Sheffield University","University of Sheffield Library","Sheffield","S10 2TN","GB",-1.488081,53.38276,787.6887158712476,"K"
"1084270706","LGG",53639,"McGill University Library","ACADEMIC","McLennan Library Building","3459 McTavish Street","Montreal","H3A0C9","CA",-73.57592,45.503273,5844.4983291212375,"K"
"1084270706","MTH",1375,"Mount Holyoke College","ACADEMIC","Williston &amp; Miles-Smith Library","50 College St","S Hadley","01075-6404","US",-72.5763,42.25659,6001.516963202279,"K"
"1084270706","YUS",544,"Yale University Library","ACADEMIC",,"Sterling Mem Libr 130 Wall St","New Haven","06520-8240","US",-72.92811,41.309837,6090.136001032786,"K"
"1084270706","ZCU",4861,"Columbia University in the City of New York","ACADEMIC","Columbia University Libraries","535 West 114th Street","New York","10027-7035","US",-73.96326,40.806236,6192.750022328971,"K"
"1084270706","CSU",2244,"Cleveland State University Library","ACADEMIC","Michael Schwartz Library","2121 Euclid Avenue","Cleveland","44115-2214","US",-81.67398,41.508816,6630.365407317213,"K"
"1084270706","OBE",2304,"Oberlin College Libraries","ACADEMIC",,"148 West College Street","Oberlin","44074-1532","US",-82.2228,41.292927,6680.410813469558,"K"
"1084270706","GZM",91572,"University of Wisconsin - Madison General Library System","ACADEMIC",,"Memorial Library","Madison","53706","US",-89.397865,43.075436,6974.53449098745,"K"
"1084270706","SFR",8579,"San Francisco Public Library","PUBLIC","SFPL Main Library","100 Larkin Street","San Francisco","94102","US",-122.41578,37.778866,9131.818788722108,"K"
"oclc号 - oclcNumber","oclc符号 - oclcSymbol","注册ID - registryId","机构名称 - institutionName","机构类型 - institutionType","别称 - alsoCalled","街道 - street1","城市 - city","邮政编码 - postalCode","国家 - country","经度 - longitude","纬度 - latitude","距离 - distance","距离单位 - distanceUnit"
"1083768096","SHS",63298,"University of Sheffield","ACADEMIC","Sheffield University","University of Sheffield Library","Sheffield","S10 2TN","GB",-1.488081,53.38276,787.6887158712476,"K"
"1083768096","LGG",53639,"McGill University Library","ACADEMIC","McLennan Library Building","3459 McTavish Street","Montreal","H3A0C9","CA",-73.57592,45.503273,5844.4983291212375,"K"
"1083768096","YUS",544,"Yale University Library","ACADEMIC",,"Sterling Mem Libr 130 Wall St","New Haven","06520-8240","US",-72.92811,41.309837,6090.136001032786,"K"
"1083768096","ZCU",4861,"Columbia University in the City of New York","ACADEMIC","Columbia University Libraries","535 West 114th Street","New York","10027-7035","US",-73.96326,40.806236,6192.750022328971,"K"
"1083768096","CSU",2244,"Cleveland State University Library","ACADEMIC","Michael Schwartz Library","2121 Euclid Avenue","Cleveland","44115-2214","US",-81.67398,41.508816,6630.365407317213,"K"
"1083768096","OBE",2304,"Oberlin College Libraries","ACADEMIC",,"148 West College Street","Oberlin","44074-1532","US",-82.2228,41.292927,6680.410813469558,"K"
"1083768096","GZM",91572,"University of Wisconsin - Madison General Library System","ACADEMIC",,"Memorial Library","Madison","53706","US",-89.397865,43.075436,6974.53449098745,"K"
"1083768096","SFR",8579,"San Francisco Public Library","PUBLIC","SFPL Main Library","100 Larkin Street","San Francisco","94102","US",-122.41578,37.778866,9131.818788722108,"K"
"oclc号 - oclcNumber","oclc符号 - oclcSymbol","注册ID - registryId","机构名称 - institutionName","机构类型 - institutionType","别称 - alsoCalled","街道 - street1","城市 - city","邮政编码 - postalCode","国家 - country","经度 - longitude","纬度 - latitude","距离 - distance","距离单位 - distanceUnit"
"1083767709","SHS",63298,"University of Sheffield","ACADEMIC","Sheffield University","University of Sheffield Library","Sheffield","S10 2TN","GB",-1.488081,53.38276,787.6887158712476,"K"
"1083767709","LGG",53639,"McGill University Library","ACADEMIC","McLennan Library Building","3459 McTavish Street","Montreal","H3A0C9","CA",-73.57592,45.503273,5844.4983291212375,"K"
"1083767709","YUS",544,"Yale University Library","ACADEMIC",,"Sterling Mem Libr 130 Wall St","New Haven","06520-8240","US",-72.92811,41.309837,6090.136001032786,"K"
"1083767709","ZCU",4861,"Columbia University in the City of New York","ACADEMIC","Columbia University Libraries","535 West 114th Street","New York","10027-7035","US",-73.96326,40.806236,6192.750022328971,"K"
"1083767709","CSU",2244,"Cleveland State University Library","ACADEMIC","Michael Schwartz Library","2121 Euclid Avenue","Cleveland","44115-2214","US",-81.67398,41.508816,6630.365407317213,"K"
"1083767709","OBE",2304,"Oberlin College Libraries","ACADEMIC",,"148 West College Street","Oberlin","44074-1532","US",-82.2228,41.292927,6680.410813469558,"K"
"1083767709","GZM",91572,"University of Wisconsin - Madison General Library System","ACADEMIC",,"Memorial Library","Madison","53706","US",-89.397865,43.075436,6974.53449098745,"K"
"1083767709","SFR",8579,"San Francisco Public Library","PUBLIC","SFPL Main Library","100 Larkin Street","San Francisco","94102","US",-122.41578,37.778866,9131.818788722108,"K"
"oclc号 - oclcNumber","oclc符号 - oclcSymbol","注册ID - registryId","机构名称 - institutionName","机构类型 - institutionType","别称 - alsoCalled","街道 - street1","城市 - city","邮政编码 - postalCode","国家 - country","经度 - longitude","纬度 - latitude","距离 - distance","距离单位 - distanceUnit"
"1259282629","LOA",53921,"SOAS University of London","ACADEMIC","University of London, School of Oriental and African Studies","Thornhaugh Street","London","WC1H 0XG","GB",-0.129275,51.52235,638.0296394410018,"K"
"1259282629","ZAQ",87324,"Zayed University Library","ACADEMIC",,"Academic City","Dubai",,"AE",55.38569,25.10309,4851.696464885747,"K"
"1259282629","HUL",73876,"Harvard University","ACADEMIC","Harvard Library","Harvard University","Cambridge","02138","US",-71.11653,42.379486,5898.670972048441,"K"
"1259282629","UPM",2571,"Pennsylvania State University Libraries","ACADEMIC",,"127 Paterno Library","University Park","16802-1808","US",-77.86602,40.79788,6443.843440550913,"K"
"1259282629","ABB",15,"Charles Andrew Rush Learning Center / N.E. Miles Library","ACADEMIC","Birmingham-Southern College Library","900 Arkadelphia Rd","Birmingham","35254","US",-86.85245,33.515007,7577.893471181881,"K"
"1259282629","HUH",760,"University of Hawaii at Manoa","ACADEMIC","Hamilton Library","Hamilton Library","Honolulu","96822","US",-157.81621,21.300537,11962.425698979041,"K"
"oclc号 - oclcNumber","oclc符号 - oclcSymbol","注册ID - registryId","机构名称 - institutionName","机构类型 - institutionType","别称 - alsoCalled","街道 - street1","城市 - city","邮政编码 - postalCode","国家 - country","经度 - longitude","纬度 - latitude","距离 - distance","距离单位 - distanceUnit"
"1224118065","HUDEB",50016,"University of Debrecen, University &amp; National Library","ACADEMIC",,"Nagyerdei Krt. 98","Debrecen","4012","HU",21.62314,47.55317,987.5219776833344,"K"
"1224118065","ZAQ",87324,"Zayed University Library","ACADEMIC",,"Academic City","Dubai",,"AE",55.38569,25.10309,4851.696464885747,"K"
"1224118065","UPM",2571,"Pennsylvania State University Libraries","ACADEMIC",,"127 Paterno Library","University Park","16802-1808","US",-77.86602,40.79788,6443.843440550913,"K"
"1224118065","ABB",15,"Charles Andrew Rush Learning Center / N.E. Miles Library","ACADEMIC","Birmingham-Southern College Library","900 Arkadelphia Rd","Birmingham","35254","US",-86.85245,33.515007,7577.893471181881,"K"
"1224118065","VT2",67224,"University of Victoria Libraries","ACADEMIC","UVic McPherson Library","3800 Finnerty Road","Victoria","V8P 5C2","CA",-123.30975,48.4633,8133.047884945729,"K"
"1224118065","SFR",8579,"San Francisco Public Library","PUBLIC","SFPL Main Library","100 Larkin Street","San Francisco","94102","US",-122.41578,37.778866,9131.818788722108,"K"
