"oclc号 - oclcNumber","oclc符号 - oclcSymbol","注册ID - registryId","机构名称 - institutionName","机构类型 - institutionType","别称 - alsoCalled","街道 - street1","城市 - city","邮政编码 - postalCode","国家 - country","经度 - longitude","纬度 - latitude","距离 - distance","距离单位 - distanceUnit"
"1060403624","DRB",1742,"Dartmouth Library","ACADEMIC",,"6025 Baker-Berry Library","Hanover","03755-3525","US",-72.28883,43.705456,5884.030903835973,"K"
"1060403624","HUL",73876,"Harvard University","ACADEMIC","Harvard Library","Harvard University","Cambridge","02138","US",-71.11653,42.379486,5898.670972048441,"K"
"1060403624","MLN",86798,"Minuteman Library Network","LIBRARY_NETWORK_GROUP",,"10 Strathmore Rd","Natick","01760","US",-71.35502,42.28951,5920.2835824333615,"K"
"1060403624","ZCY",4853,"City University of New York","ACADEMIC","CUNY","535 East 80th St.","New York","10021-0795","US",-73.94783,40.77144,6194.219801844909,"K"
"1060403624","ZHM",1894,"Hunter College","ACADEMIC","Jacqueline Grennan Wexler Library","695 Park Avenue","New York","10021","US",-73.96511,40.768867,6195.522386758747,"K"
"1060403624","CGU",110147,"University of Chicago Library","ACADEMIC",,"1100 E. 57th Street","Chicago","60637","US",-87.599976,41.792255,6968.537876102337,"K"
"1060403624","MNU",5360,"University of Minnesota, Twin Cities","ACADEMIC",,"499 Wilson Libr","Minneapolis","55455-0414","US",-93.23086,44.976074,7042.418768240276,"K"
"1060403624","TXN",15584,"Houston Public Library","PUBLIC","Central Library","500 McKinney","Houston","77002","US",-95.369385,29.75949,8425.414331622269,"K"
"1060403624","JRY",6574,"Santa Clara County Library District","PUBLIC",,"1370 Dell Avenue","Campbell","95008","US",-121.95376,37.266163,9161.597393508158,"K"
"1060403624","SINLB",63464,"National Library Board, Singapore","REGIONAL_OR_NATIONAL",,"National Library Board,","Singapore","188064","SG",103.85384,1.297366,10264.410371761638,"K"
"1060403624","AUBRI",40237,"Brisbane City Council Library Services","PUBLIC","BCC","266 George Street","Brisbane","4000","AU",153.02243,-27.471134,16089.881720847356,"K"
"1060403624","YPR",70862,"Yarra Plenty Regional Library Service","PUBLIC",,,"Bundoora","VIC 3083","AU",145.05486,-37.6987,16319.305756783893,"K"
"1060403624","ATVCM",110148,"Melbourne Library Service","PUBLIC","City of Melbourne Libraries","253 Flinders Ln.","Melbourne","3000","AU",144.96584,-37.81694,16320.725309896352,"K"
"1060403624","ATVDG",97059,"Springvale Library and Information Service","REGIONAL_OR_NATIONAL",,"Springvale Libr &amp; Inf Svc","Springvale","VIC 3171","AU",145.1531,-37.94764,16342.560130270977,"K"
"1060403624","ATVCC",23154,"Casey-Cardinia Library Corp","PUBLIC","Cranbourne Library","Locked Bag 2400","Cranbourne","VIC 3977","AU",145.26562,-38.08089,16359.219981607384,"K"
"1060403624","ATNHO",93878,"Cumberland Council Library Service","PUBLIC","Holroyd City Council Library Service","Locked Bag No 5","Merrylands","NSW 2160","AU",150.98973,-33.838272,16464.382174216073,"K"
"1060403624","ATBCL",40094,"Bankstown City Library &amp; Information Srv","LIBRARY_NETWORK_GROUP","Bankstown City Library and Information Service","62 The Mall","Bankstown","2200","AU",151.03485,-33.916348,16473.293403488427,"K"
"1060403624","ATNMM",95004,"Marrickville Council Library Service","PUBLIC","Marrickville Library","Petersham Rd","Marrickville","NSW 2204","AU",151.15434,-33.909847,16480.990398727576,"K"
"1060403624","NZAUC",58181,"Auckland Libraries","PUBLIC",,"Central City Library","Auckland","1010","NZ",174.76541,-36.851765,18166.661566410658,"K"
"1060403624","NZCPL",21495,"Christchurch City Libraries","PUBLIC",,"60 Cathedral Square","Christchurch","8011","NZ",172.63716,-43.530132,18594.698764266243,"K"
"oclc号 - oclcNumber","oclc符号 - oclcSymbol","注册ID - registryId","机构名称 - institutionName","机构类型 - institutionType","别称 - alsoCalled","街道 - street1","城市 - city","邮政编码 - postalCode","国家 - country","经度 - longitude","纬度 - latitude","距离 - distance","距离单位 - distanceUnit"
"1028596346","DRB",1742,"Dartmouth Library","ACADEMIC",,"6025 Baker-Berry Library","Hanover","03755-3525","US",-72.28883,43.705456,5884.030903835973,"K"
"1028596346","HUL",73876,"Harvard University","ACADEMIC","Harvard Library","Harvard University","Cambridge","02138","US",-71.11653,42.379486,5898.670972048441,"K"
"1028596346","ZCU",4861,"Columbia University in the City of New York","ACADEMIC","Columbia University Libraries","535 West 114th Street","New York","10027-7035","US",-73.96326,40.806236,6192.750022328971,"K"
"1028596346","NYP",58122,"New York Public Library System","PUBLIC","NYPL","Fifth Avenue at 42nd Street","New York","10018-2788","US",-73.98089,40.753498,6197.636374105711,"K"
"1028596346","ZYU",1976,"New York University","ACADEMIC","Elmer Holmes Bobst Library","70 Washington Square South","New York","10012","US",-73.99722,40.729427,6200.4045332524265,"K"
"1028596346","COO",3913,"Cornell University Library","ACADEMIC",,"201 Olin Library","Ithaca","14853-5301","US",-76.495735,42.44667,6238.384448048609,"K"
"1028596346","PUL",1791,"Princeton University Library","ACADEMIC","Firestone Library","1 Washington Rd","Princeton","08544-2098","US",-74.65912,40.349854,6270.382818212047,"K"
"1028596346","DLC",45266,"Library of Congress","REGIONAL_OR_NATIONAL",,"101 Independence Avenue, SE","Washington","20540","US",-77.00475,38.88863,6528.602785373047,"K"
"1028596346","LNN",114986,"Library of Congress, Cataloging Directorate","REGIONAL_OR_NATIONAL",,"101 Independence Avenue, SE","Washington","20540","US",-77.00466,38.88697,6528.719426450103,"K"
"1028596346","OBE",2304,"Oberlin College Libraries","ACADEMIC",,"148 West College Street","Oberlin","44074-1532","US",-82.2228,41.292927,6680.410813469558,"K"
"1028596346","OSU",2315,"Ohio State University Libraries","ACADEMIC",,"1858 Neil Avenue","Columbus","43210","US",-83.01568,39.99908,6827.137620801146,"K"
"1028596346","CGU",110147,"University of Chicago Library","ACADEMIC",,"1100 E. 57th Street","Chicago","60637","US",-87.599976,41.792255,6968.537876102337,"K"
"1028596346","GZM",91572,"University of Wisconsin - Madison General Library System","ACADEMIC",,"Memorial Library","Madison","53706","US",-89.397865,43.075436,6974.53449098745,"K"
"1028596346","MNU",5360,"University of Minnesota, Twin Cities","ACADEMIC",,"499 Wilson Libr","Minneapolis","55455-0414","US",-93.23086,44.976074,7042.418768240276,"K"
"1028596346","NUI",57888,"University of Iowa Libraries","ACADEMIC",,"125 W Washington St.","Iowa City","52242-1479","US",-91.53811,41.659412,7210.150876398513,"K"
"1028596346","EMU",699,"Emory University","ACADEMIC","Robert W. Woodruff Library (Woodruff Main Library)","Robert W. Woodruff Library","Atlanta","30322","US",-84.32282,33.79044,7393.571775966326,"K"
"1028596346","UBC",65595,"University of British Columbia Library","ACADEMIC",,"Irving K. Barber Learning Centre","Vancouver","V6T 1Z1","CA",-123.25255,49.267506,8053.47483756799,"K"
"1028596346","COD",462,"University of Colorado Boulder","ACADEMIC","CU Boulder","184 UCB, 1720 Pleasant Street","Boulder","80309-0184","US",-105.27088,40.008705,8106.375828967922,"K"
"1028596346","IXA",2929,"University of Texas Libraries","ACADEMIC","University of Texas Libraries","101 E 21st St","Austin","78713-8916","US",-97.738174,30.282782,8525.810305864448,"K"
"1028596346","CUV",5697,"University of California, Davis","ACADEMIC","Shields Library","100 NW Quad","Davis","95616-5292","US",-121.749374,38.539604,9029.526591310521,"K"
"1028596346","AZS",40437,"Arizona State University Library","ACADEMIC",,"ASU Libraries","Tempe","85287-1006","US",-111.92893,33.42113,9046.99734545789,"K"
"1028596346","STF",3227,"Stanford University Libraries","ACADEMIC",,"Green Library","Stanford","94305-6004","US",-122.16892,37.43137,9154.907042870153,"K"
"1028596346","CLU",207,"University of California, Los Angeles","ACADEMIC",,"280 Charles E. Young Dr.","Los Angeles","90255","US",-118.441185,34.07501,9308.793889187069,"K"
"1028596346","CUT",211,"University of California, Santa Barbara","ACADEMIC","UCSB Library","UCSB Library","Santa Barbara","93106-9010","US",-119.84556,34.41369,9342.136625496658,"K"
"oclc号 - oclcNumber","oclc符号 - oclcSymbol","注册ID - registryId","机构名称 - institutionName","机构类型 - institutionType","别称 - alsoCalled","街道 - street1","城市 - city","邮政编码 - postalCode","国家 - country","经度 - longitude","纬度 - latitude","距离 - distance","距离单位 - distanceUnit"
"1080516144","LOA",53921,"SOAS University of London","ACADEMIC","University of London, School of Oriental and African Studies","Thornhaugh Street","London","WC1H 0XG","GB",-0.129275,51.52235,638.0296394410018,"K"
"1080516144","HUL",73876,"Harvard University","ACADEMIC","Harvard Library","Harvard University","Cambridge","02138","US",-71.11653,42.379486,5898.670972048441,"K"
"1080516144","RBN",105271,"Brown University","ACADEMIC","Brown University Library","10 Prospect Street","Providence","02912","US",-71.40051,41.82642,5955.0254414322635,"K"
"1080516144","YUS",544,"Yale University Library","ACADEMIC",,"Sterling Mem Libr 130 Wall St","New Haven","06520-8240","US",-72.92811,41.309837,6090.136001032786,"K"
"1080516144","ZCU",4861,"Columbia University in the City of New York","ACADEMIC","Columbia University Libraries","535 West 114th Street","New York","10027-7035","US",-73.96326,40.806236,6192.750022328971,"K"
"1080516144","COO",3913,"Cornell University Library","ACADEMIC",,"201 Olin Library","Ithaca","14853-5301","US",-76.495735,42.44667,6238.384448048609,"K"
"1080516144","DLC",45266,"Library of Congress","REGIONAL_OR_NATIONAL",,"101 Independence Avenue, SE","Washington","20540","US",-77.00475,38.88863,6528.602785373047,"K"
"1080516144","LNN",114986,"Library of Congress, Cataloging Directorate","REGIONAL_OR_NATIONAL",,"101 Independence Avenue, SE","Washington","20540","US",-77.00466,38.88697,6528.719426450103,"K"
"1080516144","OBE",2304,"Oberlin College Libraries","ACADEMIC",,"148 West College Street","Oberlin","44074-1532","US",-82.2228,41.292927,6680.410813469558,"K"
"1080516144","CGU",110147,"University of Chicago Library","ACADEMIC",,"1100 E. 57th Street","Chicago","60637","US",-87.599976,41.792255,6968.537876102337,"K"
"1080516144","MNU",5360,"University of Minnesota, Twin Cities","ACADEMIC",,"499 Wilson Libr","Minneapolis","55455-0414","US",-93.23086,44.976074,7042.418768240276,"K"
"1080516144","UIU",5415,"University of Illinois at Urbana Champaign","ACADEMIC",,"1408 W Gregory Dr","Urbana","61801-3692","US",-88.227066,40.10469,7137.761295036732,"K"
"1080516144","NUI",57888,"University of Iowa Libraries","ACADEMIC",,"125 W Washington St.","Iowa City","52242-1479","US",-91.53811,41.659412,7210.150876398513,"K"
"1080516144","EMU",699,"Emory University","ACADEMIC","Robert W. Woodruff Library (Woodruff Main Library)","Robert W. Woodruff Library","Atlanta","30322","US",-84.32282,33.79044,7393.571775966326,"K"
"1080516144","CNZJL",37796,"Zhejiang Library","ACADEMIC",,"73 Shunguang Rd","Hangzhou","310007","CN",120.16508,30.252625,8829.489417753091,"K"
"1080516144","STF",3227,"Stanford University Libraries","ACADEMIC",,"Green Library","Stanford","94305-6004","US",-122.16892,37.43137,9154.907042870153,"K"
"1080516144","ZAS",5620,"University of California Los Angeles","ACADEMIC","Southern Regional Library Facility","Southern Regional Libr Fac","Los Angeles","90095-1388","US",-118.24259,34.05678,9301.110233238789,"K"
"1080516144","CLU",207,"University of California, Los Angeles","ACADEMIC",,"280 Charles E. Young Dr.","Los Angeles","90255","US",-118.441185,34.07501,9308.793889187069,"K"
"oclc号 - oclcNumber","oclc符号 - oclcSymbol","注册ID - registryId","机构名称 - institutionName","机构类型 - institutionType","别称 - alsoCalled","街道 - street1","城市 - city","邮政编码 - postalCode","国家 - country","经度 - longitude","纬度 - latitude","距离 - distance","距离单位 - distanceUnit"
"1042458937","HUL",73876,"Harvard University","ACADEMIC","Harvard Library","Harvard University","Cambridge","02138","US",-71.11653,42.379486,5898.670972048441,"K"
"1042458937","YUS",544,"Yale University Library","ACADEMIC",,"Sterling Mem Libr 130 Wall St","New Haven","06520-8240","US",-72.92811,41.309837,6090.136001032786,"K"
"1042458937","ZCU",4861,"Columbia University in the City of New York","ACADEMIC","Columbia University Libraries","535 West 114th Street","New York","10027-7035","US",-73.96326,40.806236,6192.750022328971,"K"
"1042458937","NYP",58122,"New York Public Library System","PUBLIC","NYPL","Fifth Avenue at 42nd Street","New York","10018-2788","US",-73.98089,40.753498,6197.636374105711,"K"
"1042458937","COO",3913,"Cornell University Library","ACADEMIC",,"201 Olin Library","Ithaca","14853-5301","US",-76.495735,42.44667,6238.384448048609,"K"
"1042458937","DLC",45266,"Library of Congress","REGIONAL_OR_NATIONAL",,"101 Independence Avenue, SE","Washington","20540","US",-77.00475,38.88863,6528.602785373047,"K"
"1042458937","LNN",114986,"Library of Congress, Cataloging Directorate","REGIONAL_OR_NATIONAL",,"101 Independence Avenue, SE","Washington","20540","US",-77.00466,38.88697,6528.719426450103,"K"
"1042458937","PIT",2593,"University of Pittsburgh","ACADEMIC",,"4200 Fifth Ave","Pittsburgh","15260","US",-79.95592,40.44312,6602.220438001183,"K"
"1042458937","CGU",110147,"University of Chicago Library","ACADEMIC",,"1100 E. 57th Street","Chicago","60637","US",-87.599976,41.792255,6968.537876102337,"K"
"1042458937","UAB",65567,"University of Alberta","ACADEMIC","University of Alberta Library","5-02 Cameron Libr","Edmonton","T6G 2J8","CA",-113.52361,53.526733,7288.342749133143,"K"
"1042458937","EMU",699,"Emory University","ACADEMIC","Robert W. Woodruff Library (Woodruff Main Library)","Robert W. Woodruff Library","Atlanta","30322","US",-84.32282,33.79044,7393.571775966326,"K"
"1042458937","AZU",86,"University of Arizona Libraries","ACADEMIC",,"1510 E. University Blvd.","Tucson","85721-0055","US",-110.94899,32.231064,9105.249027734613,"K"
"1042458937","STF",3227,"Stanford University Libraries","ACADEMIC",,"Green Library","Stanford","94305-6004","US",-122.16892,37.43137,9154.907042870153,"K"
"1042458937","ZAS",5620,"University of California Los Angeles","ACADEMIC","Southern Regional Library Facility","Southern Regional Libr Fac","Los Angeles","90095-1388","US",-118.24259,34.05678,9301.110233238789,"K"
"1042458937","CLU",207,"University of California, Los Angeles","ACADEMIC",,"280 Charles E. Young Dr.","Los Angeles","90255","US",-118.441185,34.07501,9308.793889187069,"K"
"oclc号 - oclcNumber","oclc符号 - oclcSymbol","注册ID - registryId","机构名称 - institutionName","机构类型 - institutionType","别称 - alsoCalled","街道 - street1","城市 - city","邮政编码 - postalCode","国家 - country","经度 - longitude","纬度 - latitude","距离 - distance","距离单位 - distanceUnit"
"1049933593","HUL",73876,"Harvard University","ACADEMIC","Harvard Library","Harvard University","Cambridge","02138","US",-71.11653,42.379486,5898.670972048441,"K"
"1049933593","ZCU",4861,"Columbia University in the City of New York","ACADEMIC","Columbia University Libraries","535 West 114th Street","New York","10027-7035","US",-73.96326,40.806236,6192.750022328971,"K"
"1049933593","COO",3913,"Cornell University Library","ACADEMIC",,"201 Olin Library","Ithaca","14853-5301","US",-76.495735,42.44667,6238.384448048609,"K"
"1049933593","PUL",1791,"Princeton University Library","ACADEMIC","Firestone Library","1 Washington Rd","Princeton","08544-2098","US",-74.65912,40.349854,6270.382818212047,"K"
"1049933593","DLC",45266,"Library of Congress","REGIONAL_OR_NATIONAL",,"101 Independence Avenue, SE","Washington","20540","US",-77.00475,38.88863,6528.602785373047,"K"
"1049933593","LNN",114986,"Library of Congress, Cataloging Directorate","REGIONAL_OR_NATIONAL",,"101 Independence Avenue, SE","Washington","20540","US",-77.00466,38.88697,6528.719426450103,"K"
"1049933593","EYM",5293,"University of Michigan","ACADEMIC","University of Michigan - Ann Arbor","818 Hatcher Graduate Library","Ann Arbor","48109-1190","US",-83.7382,42.2763,6699.5468970135225,"K"
"1049933593","NOC",5050,"University of North Carolina at Chapel Hill. University Libraries","ACADEMIC","UNC University Libraries","208 Raleigh Street","Chapel Hill","27514-8890","US",-79.04806,35.91105,6885.3487503915,"K"
"1049933593","CGU",110147,"University of Chicago Library","ACADEMIC",,"1100 E. 57th Street","Chicago","60637","US",-87.599976,41.792255,6968.537876102337,"K"
"1049933593","COD",462,"University of Colorado Boulder","ACADEMIC","CU Boulder","184 UCB, 1720 Pleasant Street","Boulder","80309-0184","US",-105.27088,40.008705,8106.375828967922,"K"
"1049933593","WAU",5725,"University of Washington Libraries","ACADEMIC",,"Box 352900","Seattle","98195-2900","US",-122.29911,47.65368,8173.278736712033,"K"
"1049933593","CNZJL",37796,"Zhejiang Library","ACADEMIC",,"73 Shunguang Rd","Hangzhou","310007","CN",120.16508,30.252625,8829.489417753091,"K"
"1049933593","CUY",5689,"UC Berkeley Libraries","ACADEMIC",,"133 Doe Library","Berkeley","94720-6000","US",-122.24341,37.87575,9115.023971148703,"K"
"1049933593","STF",3227,"Stanford University Libraries","ACADEMIC",,"Green Library","Stanford","94305-6004","US",-122.16892,37.43137,9154.907042870153,"K"
"1049933593","CRU",208,"University of California, Riverside","ACADEMIC","UCR","Ill - Rivera Library / University of California","Riverside","92521-0409","US",-117.32714,33.972725,9265.311926603366,"K"
"oclc号 - oclcNumber","oclc符号 - oclcSymbol","注册ID - registryId","机构名称 - institutionName","机构类型 - institutionType","别称 - alsoCalled","街道 - street1","城市 - city","邮政编码 - postalCode","国家 - country","经度 - longitude","纬度 - latitude","距离 - distance","距离单位 - distanceUnit"
"1040061624","HUL",73876,"Harvard University","ACADEMIC","Harvard Library","Harvard University","Cambridge","02138","US",-71.11653,42.379486,5898.670972048441,"K"
"1040061624","YUS",544,"Yale University Library","ACADEMIC",,"Sterling Mem Libr 130 Wall St","New Haven","06520-8240","US",-72.92811,41.309837,6090.136001032786,"K"
