"oclc号 - oclcNumber","oclc符号 - oclcSymbol","注册ID - registryId","机构名称 - institutionName","机构类型 - institutionType","别称 - alsoCalled","街道 - street1","城市 - city","邮政编码 - postalCode","国家 - country","经度 - longitude","纬度 - latitude","距离 - distance","距离单位 - distanceUnit"
"1100047558","L2U",53238,"Leiden University Libraries","ACADEMIC","Universitaire Bibliotheken Leiden","Witte Singel 27","Leiden","2311 BG","NL",4.481427,52.157307,370.5077498902995,"K"
"1100047558","HUL",73876,"Harvard University","ACADEMIC","Harvard Library","Harvard University","Cambridge","02138","US",-71.11653,42.379486,5898.670972048441,"K"
"1100047558","ZCU",4861,"Columbia University in the City of New York","ACADEMIC","Columbia University Libraries","535 West 114th Street","New York","10027-7035","US",-73.96326,40.806236,6192.750022328971,"K"
"1100047558","COO",3913,"Cornell University Library","ACADEMIC",,"201 Olin Library","Ithaca","14853-5301","US",-76.495735,42.44667,6238.384448048609,"K"
"1100047558","CNEAL",104498,"University of Toronto East Asian Library","ACADEMIC",,"130 St George St 8th Fl","Toronto","M5S 1A5","CA",-79.399315,43.665096,6332.484953290851,"K"
"1100047558","DLC",45266,"Library of Congress","REGIONAL_OR_NATIONAL",,"101 Independence Avenue, SE","Washington","20540","US",-77.00475,38.88863,6528.602785373047,"K"
"1100047558","OSU",2315,"Ohio State University Libraries","ACADEMIC",,"1858 Neil Avenue","Columbus","43210","US",-83.01568,39.99908,6827.137620801146,"K"
"1100047558","CGU",110147,"University of Chicago Library","ACADEMIC",,"1100 E. 57th Street","Chicago","60637","US",-87.599976,41.792255,6968.537876102337,"K"
"1100047558","NUI",57888,"University of Iowa Libraries","ACADEMIC",,"125 W Washington St.","Iowa City","52242-1479","US",-91.53811,41.659412,7210.150876398513,"K"
"1100047558","CUY",5689,"UC Berkeley Libraries","ACADEMIC",,"133 Doe Library","Berkeley","94720-6000","US",-122.24341,37.87575,9115.023971148703,"K"
"1100047558","STF",3227,"Stanford University Libraries","ACADEMIC",,"Green Library","Stanford","94305-6004","US",-122.16892,37.43137,9154.907042870153,"K"
"1100047558","CLU",207,"University of California, Los Angeles","ACADEMIC",,"280 Charles E. Young Dr.","Los Angeles","90255","US",-118.441185,34.07501,9308.793889187069,"K"
"1100047558","CUI",5656,"University of California, Irvine","ACADEMIC","Langson Library","Univ of California Irvine","Irvine","92697","US",-117.841034,33.647266,9320.915822937264,"K"
"oclc号 - oclcNumber","oclc符号 - oclcSymbol","注册ID - registryId","机构名称 - institutionName","机构类型 - institutionType","别称 - alsoCalled","街道 - street1","城市 - city","邮政编码 - postalCode","国家 - country","经度 - longitude","纬度 - latitude","距离 - distance","距离单位 - distanceUnit"
"1056972490","ZCU",4861,"Columbia University in the City of New York","ACADEMIC","Columbia University Libraries","535 West 114th Street","New York","10027-7035","US",-73.96326,40.806236,6192.750022328971,"K"
"1056972490","CNEAL",104498,"University of Toronto East Asian Library","ACADEMIC",,"130 St George St 8th Fl","Toronto","M5S 1A5","CA",-79.399315,43.665096,6332.484953290851,"K"
"1056972490","PAU",2583,"University of Pennsylvania Libraries","ACADEMIC","Penn Libraries","Library","Philadelphia","19104-6206","US",-75.194,39.952724,6333.612472191301,"K"
"1056972490","EYM",5293,"University of Michigan","ACADEMIC","University of Michigan - Ann Arbor","818 Hatcher Graduate Library","Ann Arbor","48109-1190","US",-83.7382,42.2763,6699.5468970135225,"K"
"1056972490","CGU",110147,"University of Chicago Library","ACADEMIC",,"1100 E. 57th Street","Chicago","60637","US",-87.599976,41.792255,6968.537876102337,"K"
"1056972490","STF",3227,"Stanford University Libraries","ACADEMIC",,"Green Library","Stanford","94305-6004","US",-122.16892,37.43137,9154.907042870153,"K"
