"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1037768857","9787532586738,7532586731","敦煌漢簡校釋","白軍鵬, author","2018","chi","Book","PrintBook","Di 1 ban",2,"上海古籍出版社","Shanghai","Inscriptions, Chinese China Dunhuang History and criticism,Wooden tablets China Dunhuang,History Sources,Han Dynasty (China),Inscriptions, Chinese,Wooden tablets,China History Han dynasty, 202 B.C.-220 A.D. Sources,Chine Histoire 202 av. J.-C.-220 (Dynastie des Han) Sources,China,China Dunhuang,Criticism, interpretation, etc,History,Sources,202 B.C.-220 A.D","Summary in Chinese field only,本文将目前为止所能搜集到的敦煌汉简全部进行重新的校订, 改释及新释字近百, 尤其是将百年来历次发现及发掘的敦煌汉简搜集于一处, 也将极有利于今后学者们进行研究. 在此基础上对这些简牍进行重新的分类, 纠正了以前学者在相关问题上的一些错误, 同时编联了一些简策. 文末附有历次所出土敦煌汉简的著录表. 此表在前人的基础上详加考辨, 对一些简的著录情况作出了更正","否"
"1037708927","9787532587537,7532587533","明清小说文本形态生成与演变研究","陈才训, author","2018","chi","Book","PrintBook","Di 1 ban",3,"上海古籍出版社","Shanghai","Chinese fiction Ming dynasty, 1368-1644 History and criticism,Chinese fiction Qing dynasty, 1644-1912 History and criticism,Roman chinois 1368-1644 (Dynastie des Ming) Histoire et critique,Roman chinois 1644-1912 (Dynastie des Qing) Histoire et critique,Chinese fiction,Chinese fiction Ming dynasty,Qing Dynasty (China),Criticism, interpretation, etc,1368-1912","","否"
"1125022748","9787532593255,7532593258","簡帛研究論集","廣濑薰雄, author","2019","chi","Book","PrintBook","Di 1 ban",2,"上海古籍出版社","Shanghai","Tablets (Paleography),Textile fabrics Inscriptions,Inscriptions, Chinese History and criticism,Wooden tablets China,Tablettes (Paléographie),Inscriptions chinoises Histoire et critique,Tablettes en bois Chine,wax tablets,Zhu jian Zhong guo Wen ji,Bo shu Zhong guo Wen ji,Textile fabrics,Inscriptions, Chinese,Wooden tablets,China,Inscriptions,Criticism, interpretation, etc","本書收集廣瀨薰雄先生簡帛研究方面的論文共計32篇, 分""楚簡研究"", ""秦漢簡牘研究"", ""馬王堆帛書研究"", ""秦漢律令研究"", ""簡帛醫書研究""五大部分, 集中體現了廣瀨先生在簡帛研究方面的成果","否"
"1156357868","9787532596140,7532596141","明清江南闺秀文学研究","赵厚均, 1974- author","2020","chi","Book","PrintBook","Di 1 ban",2,"上海古籍出版社","Shanghai","Chinese literature Women authors History and criticism,Chinese literature Ming dynasty, 1368-1644,Chinese literature Qing dynasty, 1644-1912,Littérature chinoise 1368-1644 (Dynastie des Ming),Littérature chinoise 1644-1912 (Dynastie des Qing),Chinese literature,Chinese literature Ming dynasty,Chinese literature Women authors,Qing Dynasty (China),Criticism, interpretation, etc,1368-1912","『本书先对江南女性文化的繁荣及其特征进行概述, 为全文之纲领。 其后从闺秀结社与文学活动、以阳湖张氏为代表的闺秀家族文化、以钱塘为代表的闺秀地域文化、闺秀文学的文化透视等角度进行深入探讨, 从中可以观照乾嘉道时期闺秀文学活动的盛况、江南闺秀家族文化的特质、地域闺秀文学的发展状况、江南闺秀创作的文化意义.』","否"
"1129257387","9787532593170,7532593177","戰國銘文分域研究","周波, author","2019","chi","Book","PrintBook","Di 1 ban",2,"上海古籍出版社","Shanghai","Inscriptions, Chinese History To 221 B.C,Chinese characters History To 221 B.C,Inscriptions chinoises Histoire Jusqu'à 221 av. J.-C,Chinois (Langue) Caractères Histoire Jusqu'à 221 av. J.-C,Chinese characters,Inscriptions, Chinese,China History Warring States, 403-221 B.C,Chine Histoire 403-221 av. J.-C. (Royaumes combattants),China,History,To 221 B.C","Summary in Chinese field only,本书是作者最近十年来有关战国铭文研究成果的汇集, 内容涉及战国文字的分域理论研究, 诸系铭文的释读及相关史地, 制度等问题.在战国铭文的分域研究方面, 除了探讨战国文字在字形写法(包括结构)及用字上存在着的较为普遍的地区性差异之外, 重点讨论了当时各国各系内部也存在的'文字异形'的现象, 并作了系统地考察和梳理.在战国文字的区系研究方面, 则分齐鲁文字, 三晋文字, 楚系文字, 燕文字, 对相关疑难铭文的释读及其相关历史, 地理, 制度等问题进行了讨论","否"
"1146580447","9787532594757,7532594750","元好问与中国诗歌传统研究 = Yuan Hao-wen (1190-1257) and the tradition of Chinese poetry","颜庆余, author","2020","chi","Book","PrintBook","Di 1 ban",2,"上海古籍出版社","Shanghai","Yuan, Haowen, 1190-1257 Criticism and interpretation,Yuan, Haowen, 1190-1257,Criticism, interpretation, etc","","否"
"1129258601","9787532593132,7532593134","中國小說文體古今演變研究","刘晓军, 1975- author","2019","chi","Book","PrintBook","Di 1 ban",2,"上海古籍出版社","Shanghai","Chinese fiction History and criticism,Roman chinois Histoire et critique,Xiao shuo yan jiu Zhong guo,Chinese fiction,Criticism, interpretation, etc","Ben shu zhi zai yi zhong guo xiao shuo wei zhong xin, yi ben tu yu jing wei bei jing, yi tong guan yan jiu wei shi jiao, dui zhong guo xiao shuo wen ti guan nian yu wen ti xing tai de fa zhan ji liu bian jin xing shu li, tan tao qi fa zhan yan jin de nei zai gui lü, cheng xian zhong guo xiao shuo wen ti zai bu tong li shi shi qi de yan bian gui ji,本书旨在以中国小说为中心,以本土语境为背景,以通观研究为视角,对中国小说文体观念与文体形态的发展及流变进行梳理,探讨其发展演进的内在规律,呈现中国小说文体在不同历史时期的演变轨迹","否"
"1065430293","9787532588466,7532588467","唐詩求是","陈尚君, author","2018","chi","Book","PrintBook","Di 1 ban",2,"上海古籍出版社","Shanghai","Chinese poetry Tang dynasty, 618-907 History and criticism,Poésie chinoise 618-907 (Dynastie des Tang) Histoire et critique,Chinese poetry,Tang Dynasty (China),Criticism, interpretation, etc,618-907","陈尚君教授浸淫唐代文献研究多年, 将史学方法引入文学研究, 在作者生平, 作品真伪, 文本还原, 事实阐述等方面均有重大突破.本书为其多年来唐诗研究论文之结集, 分为四个单元:一是以""全唐诗""及补遗为中心的专论, 包括若干唐诗通说通考;二是作者专题, 含有生平考订, 作品甄辨及流布研究和注本评述;三是专书研究, 涉及唐诗选本, 诗评, 本事的考释与辨伪;四是唐诗文献叙录, 分为隋唐五代文学的基本典籍, 隋唐五代文学与历史文献, 日本汉籍中的唐代文学文献等, 多有唐代文献研究的指津之论","否"
"1080341771","9787532590179,7532590178","盛唐散文研究 = The study on the prose in glorious period of Tang dynasty","胡燕, author","2018","chi","Book","PrintBook","Di 1 ban",2,"上海古籍出版社","Shanghai","Chinese essays Tang dynasty, 618-907 History and criticism,Essais chinois 618-907 (Dynastie des Tang) Histoire et critique,Chinese essays,Tang Dynasty (China),Criticism, interpretation, etc,618-907","","否"
"1126213801","9787532593354,7532593355","南朝学术与文论","袁济喜, author","2019","chi","Book","PrintBook","Di 1 ban",2,"上海古籍出版社","Shanghai","Chinese literature 220-589 History and criticism,Littérature chinoise 220-589 Histoire et critique,Chinese literature,Criticism, interpretation, etc,220-589","","否"
"1129258473","9787532593477,7532593479","清编全唐文研究","夏婧, author","2019","chi","Book","PrintBook","Di 1 ban",2,"上海古籍出版社","Shanghai","Quan Tang wen,Chinese literature Tang dynasty, 618-907,Chinese literature Five dynasties and the Ten kingdoms, 907-979,Littérature chinoise 618-907 (Dynastie des Tang),Littérature chinoise 907-979 (Les Cinq Dynasties et les Dix Royaumes),Chinese literature,Chinese literature Five dynasties and the Ten kingdoms,Tang Dynasty (China),618-979","","否"
