"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1029317343","9787020136483,7020136486,9787020117901,7020117902","李敖自传","李敖, 1935-2018, author","2018","chi","Book","PrintBook","Di 1 ban",2,"人民文学出版社","Beijing","Li, Ao, 1935-2018,Li, Ao, 1935-2018 Friends and associates,Liao Zichuan,Authors, Chinese Taiwan Biography,Authors, Chinese 20th century Biography,Écrivains chinois Taiwan Biographies,Écrivains chinois 20e siècle Biographies,Authors, Chinese,Friendship,China,Taiwan,Autobiographies,Biographies,1900-1999","","否"
"1148135948","9787020153947,7020153941","我的原野盛宴 = My feast on the plain","张炜, 1956 November 7- author","2020","chi","Book","PrintBook","Beijing di 1 ban",3,"人民文学出版社","Beijing Shi","Chinese essays 21st century,Essais chinois 21e siècle,Chinese essays,Chinese language materials,Essay,essays,Essays,Essais,2000-2099","","否"
"1273933063","9787020167623,7020167624","明清戲曲序跋纂笺","郭英徳, 1954- author","2021","chi","Book","PrintBook","Beijing di 1 ban",1,"人民文學出版社","Beijing Shi","Chinese drama Ming dynasty, 1368-1644 History and criticism,Chinese drama Qing dynasty, 1644-1912 History and criticism,Ju qu History and criticism,Prefaces,Prologues and epilogues,Théâtre chinois 1368-1644 (Dynastie des Ming) Histoire et critique,Théâtre chinois 1644-1912 (Dynastie des Qing) Histoire et critique,Juqu Histoire et critique,Préfaces,Prologues et épilogues,prefaces,Chinese drama,Chinese drama Ming dynasty,Ju qu,Qing Dynasty (China),Criticism, interpretation, etc,1368-1912","","否"
"1082298435","9787020122349,7020122345","鲁迅影集 : 1881-1936","黄乔生, author","2018","chi","Book","PrintBook","Beijing di 1 ban",1,"人民文学出版社","Beijing","Lu, Xun, 1881-1936,Luxun, (1881-1936) Shengpingshiji Sheyingji,Authors, Chinese 20th century Biography,Écrivains chinois 20e siècle Biographies,Authors, Chinese,China Biography Portraits,China,Biographies,Portraits,1900-1999","本书收录鲁迅一生全部照片, 均系原版, 原貌印制, 一幅一面, 背后辅以最为准确精当之图注; 具有很高的观赏价值, 研究价值和收藏价值","否"
"1039318375","9787020138777,7020138772","中国戏曲剧种研究 = A study on the genre of traditional Chinese operas","朱恒夫, author","2018","chi","Book","PrintBook","Beijing di 1 ban",2,"人民文学出版社","Beijing Shi","Chinese drama History and criticism,Folk drama, Chinese History and criticism,Theater China History and criticism,Théâtre chinois Histoire et critique,Théâtre populaire chinois Histoire et critique,Théâtre Chine Histoire et critique,Chinese drama,Folk drama, Chinese,Theater,China,Criticism, interpretation, etc","""中国戏曲剧种研究""为国家社科基金成果文库项目成果, 对中国剧种做了全面的研究, 不仅包括京剧,越剧,昆曲,豫剧等大剧种, 还涵盖了高腔戏,拉魂腔,滩簧腔,道情戏,花灯戏,花鼓戏,采茶戏等具有地方色彩的小剧种, 并对这些剧种的起源,发展,艺术特色,代表剧目,代表演员等方面做了深入的研究","否"
"1039177818","9787020138807,7020138802","中国近代小说史论 = A critical history of early modern Chinese fictions","陈大康, 1948- author","2018","chi","Book","PrintBook","Beijing di 1 ban",3,"人民文学出版社","Beijing Shi","Chinese fiction 19th century History and criticism,Roman chinois 19e siècle Histoire et critique,Chinese fiction,Criticism, interpretation, etc,1800-1899","""中国近代小说史论"", 是国家哲学社会科学成果文库项目. 作者长期致力于中国古典小说史的研究, 学术功底深厚. 本书是作者先前出版的""中国近代小说编年史""的后编, 以概念辨析为研究的起点, 比较分析了近代小说,清代小说,晚清小说与二十世纪小说等概念异同. 梳理了道光末至同治末小说创作及理论的状况, 探讨了近代小说发展体系变化格局的初显, 纠正了以往与小说发展实际不相符的结论, 对"" 小说界革命"" 及其后之转向进行了实事求是的描述与分析. 作者依据大量的第一手资料, 对一些近代小说史上十分重要但以往未进入研究视野的问题进行了阐述, 如日报小说,盗版,小说转载,小说专刊,翻译小说等, 对近代小说理论变化的历程,动因与结局进行了描述与分析","否"
"1117282409","9787020147502,702014750X","庄一拂《古典戏曲存目汇考》补正 = General textual criticism of The extant titles of classical Chinese opera, revised edition by Zhuang Yifu","赵兴勤, author","2019","chi","Book","PrintBook","Beijing di 1 ban",2,"人民文学出版社","Beijing Shi","Zhuang, Yifu,Qu (Chinese literature) Bibliography,Ju qu Bibliography,Qu (Littérature chinoise) Bibliographie,Juqu Bibliographie,Gu dai xi qu Zhuan ti mu lu Zhong guo,Ju qu,Qu (Chinese literature),catalogs (documents),Catalogs,Bibliographies,Catalogues","1982年出版的庄一拂""古典戏曲存目汇考""是迄今为止规模较大的一部古典戏曲总目,汇集戏曲4750余种,极具参考价值.由于条件所限,该书也存在一些疏漏之处.本书在学界最新研究成果基础上,对'庄目'进行了全面订讹,增补.书分上下两编,上编为'庄目'已收曲目辨正130种,已收曲家辨正133人;下编为'庄目'未收曲目增补250种,未收曲家增补35人.本书将对'庄目'乃至古代戏曲文献的研究起到助推作用","否"
"1100584855","9787020145669,7020145663","漩涡里 : 1990-2013 : 我的文化遗产保护史","冯骥才, author","2018","chi","Book","PrintBook","Di 1 ban",4,"人民文学出版社","Beijing","Feng, Jicai,Chinese essays 20th century,Cultural property Protection China,Authors, Chinese 20th century Biography,Essais chinois 20e siècle,Écrivains chinois 20e siècle Biographies,Cultural property Protection,Authors, Chinese,Chinese essays,China,Biographies,1900-1999","","否"
"1038233881","9787020136940,702013694X","《封神演义》考论 = The studies of creation of the gods","李亦辉, 1974- author","2018","chi","Book","PrintBook","Beijing di 1 ban",3,"人民文学出版社","Beijing Shi","Feng shen yan yi Criticism, Textual,""feng shen yan yi "" Xiao shuo yan jiu,Feng shen yan yi,Criticism, interpretation, etc","本书以正统叙事与民间叙事的冲突融合为切入点, 主要讨论了殷商之际的历史及其在正统叙事与民间叙事中的不同表现 ,""武王伐纣平话"" 的民间叙事特征及其成因, ""列国志传"" 卷一由民间叙事向正统叙事嬗变的过渡性叙事特征 ,""封神演义"" 故事的由来, 成书, 版本, 编者问题以及其整体文化特征与政治伦理观等. 对 ""封神演义"" 做了由源及流的全面, 系统, 深入的研究","否"
"1280555344","9787020136100,7020136109","紅樓夢新談 : 吴宓红学论集","吴宓, 1894-1978, author","2021","chi","Book","PrintBook","Beijing di 1 ban",1,"人民文学出版社","Beijing Shi","Cao, Xueqin, approximately 1717-1763,Hong lou meng (Cao, Xueqin)","","否"
