"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1152144025","9787559445230,7559445233","活着, 就要尽兴","蔡澜, author","2020","chi","Book","PrintBook","Di 1 ban",2,"江苏凤凰文艺出版社","Nanjing Shi","Chinese essays 21st century,Essais chinois 21e siècle,Chinese essays,2000-2099","","否"
"1262723607","9787559458742,7559458742","人生从容 = The calm life","贾平凹, author","2021","chi","Book","PrintBook","Di 1 ban",4,"江苏凤凰文艺出版社","Nanjing Shi","Chinese essays 20th century,Essais chinois 20e siècle,Chinese essays,Chinese language materials,1900-1999","","否"
"1041076588","9787559413017,7559413013","余生很长, 何必慌张","林熙, author","2018","chi","Book","PrintBook","Di 1 ban",2,"Jiangsu feng huang wen yi chu ban she, 江苏凤凰文艺出版社","Nanjing, 南京市","Youth Conduct of life,Self-actualization (Psychology),Chinese essays 21st century,Jeunesse Morale pratique,Essais chinois 21e siècle,San wen ji Zhong guo Dang dai,Chinese essays,2000-2099","","否"
"1152144528","9787559444837,7559444830","巴黎记","于坚, 1954- author","2020","chi","Book","PrintBook","Di 1 ban",2,"江苏凤凰文艺出版社","Nanjing Shi","Chinese essays 21st century,Essais chinois 21e siècle,Chinese essays,Literature,Manners and customs,Travel,Paris (France) In literature,Paris (France) Description and travel,France Social life and customs,Paris (France) Descriptions et voyages,France Mœurs et coutumes,France,France Paris,2000-2099","","否"
"1078141891","9787559419798,7559419798","中国当代文学史","张炯","2018","chi","Book","PrintBook","Di 1 ban",2,"江苏凤凰文艺出版社","Nanjing Shi","Chinese literature 21st century History and criticism,Littérature chinoise 21e siècle Histoire et critique,Chinese literature,Criticism, interpretation, etc,2000-2099","Detailed summary in vernacular field","否"
"1076898992","9787559425232,7559425232","未完成的悲剧 : 周作人与霭理士","戴潍娜, 1985- author","2018","chi","Book","PrintBook","Di 1 ban",2,"江苏凤凰文艺出版社","Nanjing Shi","Zhou, Zuoren, 1885-1967 Criticism and interpretation,Ellis, Havelock, 1859-1939 Criticism and interpretation,Zhouzuoren, (1885-1967) Renwuyanjiu,Ellis, Havelock, 1859-1939,Zhou, Zuoren, 1885-1967,Xing xin li xue Xin li xue jia Ren wu yan jiu Ying guo Xian dai,Criticism, interpretation, etc","Ben shu bu jin tan tao le zhou zuo ren yu ai li shi de si xiang guan xi, er qie dui yu ai li shi si xiang bu yu zhou zuo ren zhong he de bu fen ye zuo le bi yao de jie shao","否"
"1101663954","9787539994901,7539994908","离开就是一种归来","阿来, 1959- author","2019","chi","Book","PrintBook","Di 1 ban",2,"江苏凤凰文艺出版社","Nanjing Shi","Chinese essays 20th century,Essais chinois 20e siècle,San wen ji Zhong guo Dang dai,Chinese essays,1900-1999","""Li kai jiu shi yi zhong gui lai "" shi zuo jia a lai zui xin de san wen ji. gong fen si ji. di yi ji qing tong sui yue : jiang shu le dui gu xiang de chen si he zhui yi. di er ji cao mu de li xiang guo : bao han le dui hua cao shu mu de du te gan wu he xia xiang, zai zuo zhe de bi xia na shi yi pian cao mu de li xiang guo. di san ji chen ai wei luo : shi zuo zhe de du shu bi ji, yi ji dui wen xue de ren zhi he yue du xin de. di si ji yin le yu shi pian : shi zuo zhe de chuang zuo xin de he xie zuo li cheng yi ji dui duo nian xie zuo sheng ya de gan wu."" li kai jiu shi yi zhong gui lai "" zai kan si ping chang de shi wu zhong dai gei wo men hen duo gan wu. zuo zhe ba yi ceng yi ceng de shan bi zuo "" jie ti "", bing shuo "" wo de ling hun cai zhe zhe xie ti zi hui qu dao tian shang "", zuo zhe yong kong ling de wen zi zhi chu le yi zhong sheng ming de zhuang tai, a lai jiang san wen de qing yu zhong de guan xi chu li de fei chang qia dang. ta de san wen fan dui gai nian hua he fu hui, zhui qiu "" yi shuang jiao yu nei xin zhang liang "" gu xiang da di. ba yan guang zhuan xiang le da zi ran. wen zi zhong you wu shi bu zai di yang yi zhe he guang kuo tian di de jiao liu he si yu, zhe xie mei wen ke yi rang wo men le jie a lai guang kuo de jing shen kong jian","否"
"1338316018","9787559465313,7559465315","人间有所寄","王蒙, 1934- author","2022","chi","Book","PrintBook","Di 1 ban",2,"江苏凤凰文艺出版社","Nanjing","Chinese essays 21st century,Essais chinois 21e siècle,Chinese essays,Chinese language materials,Essays,2000-2099","","否"
"1082240360","9787539994857,7539994851","我的四季","张洁, 1937- author","2019","chi","Book","PrintBook","Di 1 ban",2,"江苏凤凰文艺出版社","Nanjing Shi","Chinese essays 20th century,Essais chinois 20e siècle,Chinese essays,1900-1999","","否"
"1055676596","9787559410696,7559410693","无用的美好","叶兆言, 1957- author","2018","chi","Book","PrintBook","Di 1 ban",2,"江苏凤凰文艺出版社","Nanjing Shi","Chinese essays 21st century,Essais chinois 21e siècle,Chinese essays,essays,Essays,Essais,2000-2099","","否"
