"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1038006778","9787544650038,7544650030","《太平广记》与通俗文学 / The Taiping miscellany and Chinese popular literature / written by Chen Dakang ; translated by Fu Huisheng","陈大康, 1948- author","2018","chi","Book","PrintBook","Di 1 ban",1,"上海外语教育出版社","Shanghai","Taiping guang ji,Chinese fiction 221 B.C.-960 A.D. History and criticism,Chinese fiction 960-1644 History and criticism,Roman chinois 221 av. J.-C.-960 Histoire et critique,Ying yu Han yu Dui zhao du wu,Bi ji xiao shuo Xiao shuo ji Zhong guo Bei song,Chinese fiction,Criticism, interpretation, etc,221 B.C.-1644 A.D","""汉英对照近世经典与传统文化系列"" 精选了我国宋明两代以来的六部经典文化书籍, 分别是""朱子全书"", ""传习录"", ""资治通鉴"", ""文苑英华"", ""太平广记""和""大藏经"", 并竭诚邀请相关领域的专家以""大家写小书""的通俗方式各写成几万字的简要专著, 然后再请有中文背景的英语专家译成英文. 借本套丛书的出版, 即可填补该领域的空白, 又可满足海外希望了解这一领域中国文化的读者的需求","否"
"1083604650","9787544655569,7544655563","""易经""之三元解读与三维英译 = Another approach to Yijing : a historical-literary-philosophical interpretation and translation","王晓农, author","2018","chi","Book","PrintBook","Di 1 ban",2,"上海外语教育出版社","[Shanghai]","Yi jing,Zhou yi Yan jiu,Zhou yi Yi wen","","否"
"1108919236","9787544654739,7544654737","《论语》翻译与阐释","史志康, author, translator","2019","eng","Book","PrintBook","Di 1 ban",1,"上海外语教育出版社","Shanghai","Confucius,Lun yu Ying yu Fan yi Yan jiu,Lun yu (Confucius)","","否"
"1121043813","9787544651608,7544651606","《文苑英华》与近世诗文思潮","陈引驰, author","2018","chi","Book","PrintBook","Di 1 ban",2,"上海外语教育出版社","Shanghai","Wen yuan ying hua,Chinese literature History and criticism,Chinese poetry History and criticism,Littérature chinoise Histoire et critique,Poésie chinoise Histoire et critique,Chinese literature,Chinese poetry,Chinese prose literature,Criticism, interpretation, etc","","否"
"1126779749","9787544658072,7544658074","中西叙事理论研究 : 第六届叙事学国际会议暨第八届全国叙事学研讨会论文集 = Studies of Chinese and western narrative theories","叙事学国际会议暨 ... 全国叙事学研讨会","2019","chi","Book","PrintBook","Di 1 ban",2,"上海外语教育出版社","Shanghai","Narration (Rhetoric) Congresses,Narration Congrès,Xu shu xue Wen ji,Narration (Rhetoric),Conference papers and proceedings","近年来,国内叙事研究理论和批评实践得到了长足发展,取得了从过去向国外""学着说""""跟着说"",到现在与他们""一起说""的可喜成绩.本书共分为""域外来稿""""叙事理论探究""""中国叙事研究""和""叙事批评实践""四个部分,所收录的论文是中国叙事学会举办的第六届叙事学国际会议暨第八届全国叙事学研讨会的参会论文,有许多重要的观点和新颖的研究方法.""中国叙事研究""这一部分中,刊登了有关中西叙事比较研究和针对中国叙事特点所进行论述的重要文章.这部汇总了当下中国叙事研究诸多成果的论文集,不仅具有理论性,前瞻性和实践性,而且还极具可读性和收藏性","否"
"1256490714","9787544665926,7544665925","德语文学汉译史考辨 : 晚清和民国时期","卫茂平, 1954- author","2021","chi","Book","PrintBook","Zai ban, di 1 ban",6,"上海外语教育出版社","Shanghai","German literature,Translating and interpreting China History,Littérature allemande,Translating and interpreting,China,History","""德语文学汉译史考辨:晚清和民国时期""于2004年第一次出版,2015年入选""中文学术图书引文索引""数据库.作者以史,传,论的方式勾勒晚清和民国时期德语文学汉译的历史发展过程,重史料考辨,实证与诠释交互为用,对该时期的汉译德语文学书目及报刊文章爬罗剔抉,也对影响德语文学汉译的历史问题采辑探讨,彰显了德语文学汉译史的特点,是理清中德文学关系脉络的一项重要成果.书后还附有详尽附录,可供读者参考.本书在原来的基础上纠偏补正,再版对于比较文学及翻译文学研究者,外国文学汉译研究者尤其是德语文学汉译研究者具有重要的借鉴意义","否"
"1257288924","9787544666930,754466693X","中国文体学的成长与发展 : 第六届文体学国际研讨会暨第十届全国文体学研讨会文选 = Growth and development of stylistics in China : papers from the 6th international & the 10th national conference on stylistics","尚晓明","2021","chi","Book","PrintBook","Di 1 ban",1,"上海外语教育出版社","Shanghai","Chinese literature History and criticism,Literary form,Littérature chinoise Histoire et critique,Genres littéraires","","否"
"1379801778","9787544670470,7544670473","维吾尔族儿童维、汉、英语音意识及其读写能力获得和发展的关系研究 = A study of the role of phonological awareness in Uyghur children's acquisition of Uyghur, Chinese and English as well as their trilingual literacy development","韦晓保, author","2022","chi","Book","PrintBook","Di 1 ban",1,"上海外语教育出版社","Shanghai","Phonological awareness in children China Xinjiang Uygur Zizhiqu,Uighur (Turkic people) Education China Xinjiang Uygur Zizhiqu,Uighur language Acquisition,Chinese language Acquisition,English language Acquisition,Children Language,Ouïgour (Peuple turc) Éducation Chine Xinjiang,Chinois (Langue) Acquisition,Phonological awareness in children,China Xinjiang Uygur Zizhiqu","","否"
"1336388647","9787544667784,7544667782","范妮·欧文 = Fanny Owen","路易斯.","2021","chi","Book","PrintBook","Di 1 ban",1,"上海外语教育出版社","Shanghai","Zhang pian xiao shuo Pu tao ya Xiandai","","否"
"1317280156","9787544669238,7544669238","英美汉学家译者的多重声音 : 一项基于中国小说翻译思维报告的认知翻译学研究 = The multi-voices of British and American Sinologists-cum-translators : a cognitive translatological approach to the thinking portfolios of Chinese fiction translation","谭业升, author","2022","chi","Book","PrintBook","Di 1 ban",1,"上海外语教育出版社","Shanghai Shi","Translating and interpreting,Functionalism (Linguistics),Cognitive grammar,Chinese fiction Translations into English History and criticism,Fonctionnalisme (Linguistique),Grammaire cognitive,功能主義 (語言學),中國小說 翻譯成英語 歷史及評論,認知文法,翻譯,Criticism, interpretation, etc","","否"
