"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1126341353","9787101139471,7101139477","諦聽雜音 : 報紙副刊與香港文學生產, (1930-1960年代)","樊善標, author","2019","chi","Book","PrintBook","Beijing di 1 ban",4,"中華書局","Beijing Shi","Chinese literature China Hong Kong History and criticism,Chinese literature 20th century History and criticism,Chinese newspapers China Hong Kong,Littérature chinoise Chine Hongkong Histoire et critique,Littérature chinoise 20e siècle Histoire et critique,Journaux chinois Chine Hongkong,Chinese literature,Chinese newspapers,China Hong Kong,Criticism, interpretation, etc,1900-1999","本书共分三辑.第一辑:1930年代'南来文人'的角色和贡献;第二辑:1940,1950年代之交'青年文化教养'的成效;第三辑:1950,1960年代'香港的自我论述'.作者从报纸副刊入手, 从以上三个阶段详细探讨了香港文学的生产, 发展以及个性, 涉及'大公报·文艺', '立报·言林', '星岛日报', '新生晚报·新趣'等不同时期具有代表性的报纸副刊以及众多的香港作家","否"
"1150990301","9787101142808,710114280X","馬王堆漢墓簡帛文字全編","劉釗","2020","chi","Book","PrintBook","Beijing di 1 ban",1,"中華書局","Beijing Shi","Manuscripts, Chinese China Mawangdui Site,Chinese language Etymology,Chinois (Langue) Étymologie,Antiquities,Manuscripts, Chinese,Mawangdui Site (China) Antiquities,China Mawangdui Site,Dictionaries","","否"
"1054246455","9789888394463,9888394460","西西研究資料","王家琪","2018","chi","Book","PrintBook","Chu ban",3,"中華書局(香港)有限公司","Xianggang","Xi, Xi Criticism and interpretation,Xi, Xi,Xi xi, 1938-.... Critique et interprétation,Criticism, interpretation, etc","","否"
"1043672337","9787101130560,7101130569","物色 : 金瓶梅读「物」记","扬之水, 1954- author","2018","chi","Book","PrintBook","Beijing di 1 ban",2,"中华书局","Beijing Shi","Xiaoxiaosheng,Jin Ping Mei ci hua (Xiaoxiaosheng),Manners and customs,China Social life and customs 960-1644,Chine Mœurs et coutumes 960-1644,China,960-1644","","否"
"1048283276","9787101130249,7101130240","性别, 身份和文本 : 朝鮮女性文學文獻研究","俞士玲, author","2018","chi","Book","PrintBook","Beijing di 1 ban",4,"中華書局","Beijing Shi","Korean literature Women authors History and criticism,Women authors, Korean,Korean literature History and criticism,Littérature coréenne Histoire et critique,Korean literature,Korean literature Women authors,Criticism, interpretation, etc","","否"
"1083597732","9787101133516,7101133517","宋代志怪傳奇叙錄","李劍國, 1943- author","2018","chi","Book","PrintBook","Zeng ding ben, Beijing di 1 ban",8,"中華書局","Beijing","Fantasy fiction, Chinese Bibliography,Ghost stories, Chinese Bibliography,Chinese fiction Song dynasty, 960-1279 Bibliography,Histoires de fantômes chinoises Bibliographie,Roman chinois 960-1279 (Dynastie des Song) Bibliographie,Chinese fiction,Fantasy fiction, Chinese,Ghost stories, Chinese,Song Dynasty (China),Bibliographies,960-1279","本书所叙者包括两宋传奇文与志怪传奇小说集, 小说集以志怪传奇为主兼有杂事者亦收录. 本书的增订主要有以下几项: 其一, 增加了一些新篇目; 其二, 考定作者; 其三, 对作品产生时代重作考证; 其四, 绝大部分叙录内容作了重要修改, 或补充资料, 或修正讹误, 或充实内容; 其五, 在正文和注释中大量征引今人论述; 其六, 所征引文献尽量利用较好版本核对原文; 其七, 除前言后记, 改用浅近文言; 其八, 全书改用繁体字; 其九, 增加""引用书目"", 凡一千馀种","否"
"1237716265","9789888676262,9888676261","繁華落盡見真淳 ： 王安憶城市小說書寫研究","葛亮, 1978- author","2020","chi","Book","PrintBook","Di 1 ban",3,"中華書局(香港)有限公司","Xianggang","Wang, Anyi, 1954- Criticism and interpretation,Wang, Anyi, 1954-,Chinese fiction 20th century History and criticism,Roman chinois 20e siècle Histoire et critique,Chinese fiction,Criticism, interpretation, etc,1900-1999","","否"
"1083646426","9787101129243,7101129242","北宋詞譜","田玉琪, author","2018","chi","Book","PrintBook","Beijing di 1 ban",3,"中華書局","Beijing Shi","Ci (Chinese poetry) History and criticism,Chinese poetry Song dynasty, 960-1279 History and criticism,Chinese language Rhythm,Ci (Poésie chinoise) Histoire et critique,Poésie chinoise 960-1279 (Dynastie des Song) Histoire et critique,Chinois (Langue) Rythme,Chinese poetry,Ci (Chinese poetry),Song Dynasty (China),Criticism, interpretation, etc,960-1279","","否"
"1048285310","9787101130676,7101130674","甲骨軍事刻辭整理與研究","李發 (Linguist), author","2018","chi","Book","PrintBook","Beijing di 1 ban",2,"中華書局","Beijing Shi","Inscriptions, Chinese,Oracle bones,Inscriptions chinoises,Os divinatoires,Jia gu wen Ji lu Jun shi shi Shang dai Yan jiu,China History, Military To 221 B.C. Sources,Chine Histoire militaire Jusqu'à 221 av. J.-C. Sources,China,Military history,Sources,To 221 B.C","本书主要研究了甲骨军事刻辞中的几个重要问题: 一, 甲骨军事刻辞反映的商代战争. 二, 甲骨军事刻辞反映的商代军事人物. 三, 甲骨军事刻辞反映的商代军事组织"" 师"" "" 族"" "" 旅"" 三种. 四, 甲骨军事刻辞反映的商代军礼: 校阅礼, 战争礼. 五, 甲骨军事刻辞所用行为动词. 六, 甲骨军事刻辞所用句型. 七, 甲骨军事刻辞所涉语义角色: 施事, 受事, 与事, 原因, 对象(目标), 时间, 空间","否"
"1048250507","9787101128260,7101128262","魏晋经学与诗学","刘运好, author","2018","chi","Book","PrintBook","Di 1 ban",1,"中华书局","Beijing Shi","Chinese literature Three kingdoms, 220-265 History and criticism,Chinese literature Jin dynasty, 265-419 History and criticism,Chinese poetry Three kingdoms, 220-265 History and criticism,Chinese poetry Jin dynasty, 265-419 History and criticism,Chinese classics History and criticism,Littérature chinoise 220-265 (Trois Royaumes) Histoire et critique,Littérature chinoise 265-419 (Dynastie des Jin) Histoire et critique,Poésie chinoise 220-265 (Trois Royaumes) Histoire et critique,Poésie chinoise 265-419 (Dynastie des Jin) Histoire et critique,Classiques (Littérature chinoise) Histoire et critique,Chinese classics,Chinese literature,Chinese literature Three kingdoms,Chinese poetry,Chinese poetry Three kingdoms,Jin Dynasty (China : 265-419),Criticism, interpretation, etc,220-419","本书是国家社科基金项目"" 魏晋经学与诗学关系研究"" (08BZW032)的最终成果的修订稿","否"
