"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1135227041","9787520515634,752051563X","日本大众文化语境下的中国「四大名著」","赵莹, 1977- author","2020","chi","Book","PrintBook","Beijing di 1 ban",3,"中国文史出版社","Beijing Shi","Chinese fiction Ming dynasty, 1368-1644 Translations into Japanese History and criticism,Japanese literature Chinese influences,Littérature japonaise Influence chinoise,Criticism, interpretation, etc,1368-1644","中日之间一衣带水,文学交流源远流长.日本江ʹ时期,随着市民文化的勃兴,当时输入日本的中国小说得以广为接受.通过不同时期的文化过滤,""三国演义"",""水浒传"",""西游记"",""金瓶梅"",""红楼梦""五部小说与日本文学和文化相互融合,呈现出不同的文学特质和表现形式,体现接受者的创造性叛逆.本书关注日本大众文化语境下的中国'四大名著',因为不同时期和地域的发展历史和文化差异,四大名著不仅指大众通常所熟知的""三国演义"",""水浒传"",""西游记""和""红楼梦"",还包括与前三部并称四大奇书的""金瓶梅"".五部中国明清白话小说先后于江ʹ时期传播到日本,与日本文学文化相互融合,对日本大众文化影响深远,这种影响延续至今","否"
"1114306134","9787520503372,7520503372","执拗的拓荒者 : 回忆沈从文","季羡林, 1911-2009, author","2019","chi","Book","PrintBook","Beijing di 1 ban",2,"中国文史出版社","Beijing Shi","Shen, Congwen, 1902-1988,Shencongwen, (1902-1988) Huiyilu,Authors, Chinese 20th century Biography,Écrivains chinois 20e siècle Biographies,Authors, Chinese,Biography,Biographies,1900-1999","本书收录了季羡林, 巴金, 汪曾祺, 梁实秋, 施蛰存等人的40余篇回忆沈从文的文章, 从多个角度真实地再现了沈从文从一个""乡下人""到文坛巨匠的跌宕起伏的人生经历和文学成就","否"
"1090687627","9787520508001,7520508005","鲁迅新观察","张映勤, author","2019","chi","Book","PrintBook","Di 1 ban",3,"中国文史出版社","Beijing","Lu, Xun, 1881-1936 Criticism and interpretation,Lu, Xun, 1881-1936,Criticism, interpretation, etc","本书系作者研究鲁迅的随笔集,内容涉及多年来鲁迅研究中不被人注意的话题,如:鲁迅、周作人兄弟反目问题、朱安夫人出售鲁迅藏书风波、鲁迅为什么不回绍兴、""弃医从文""新解、鲁迅为什么离开北京鲁迅当过教授吗等等","否"
"1129243793","9787520508025,7520508021","历史的光影 : 程伟元与《红楼梦》 = Lishi de guangying","胡文彬, author","2020","chi","Book","PrintBook","Beijing di 1 ban",1,"中国文史出版社","Beijing","Cao, Xueqin, approximately 1717-1763,Hong lou meng (Cao, Xueqin)","历史的光影: 程伟元与《红楼梦》以翔实的文献作基础, 历十数年的认真考辨, 证明程伟元在红楼梦阅读, 传播史上的重大贡献! 程甲乙本开启了""红楼梦""活字版的新时代, 扩大""红楼梦""的流传方式和地域, 从而使这部文学经典走向世界! 作者期待本书的出版能够使读者对程伟元的生平事迹和印刷程甲乙本的功绩有一个全面的了解和认识!","否"
"1112470784","9787520504041,7520504042","不因畏难而搁笔 : 回忆老舍",,"2019","chi","Book","PrintBook","Beijing di 1 ban",3,"中国文史出版社","Beijing Shi","Lao, She, 1899-1966,Laoshe, (1899-1966) Jinianwenji,Authors, Chinese 20th century Biography,Écrivains chinois 20e siècle Biographies,Authors, Chinese,Biography,Biographies,1900-1999","Ben shu gong fen si ji, shou lu le "" lao she yu xiao yang jia hu tong "" "" wu shu lao shi ma yong kui "" "" yi lao she yu wen xie "" "" yu qi bai shi de yi duan jiao wang "" "" lao she jian ying "" deng wen zhang","否"
"1112661042","9787520503679,7520503674","荷塘边的不朽背影 : 回忆朱自清","江苏省政协文史资料委员会","2019","chi","Book","PrintBook","Beijing di 1 ban",3,"中国文史出版社","Beijing Shi","Zhu, Ziqing, 1898-1948,Zhuziqing, (1898-1948) Huiyilu,Authors, Chinese 20th century Biography,Écrivains chinois 20e siècle Biographies,Authors, Chinese,Biography,Biographies,1900-1999","Ben shu shou lu le "" zhui yi zhu zi qing "" "" kun ming sheng huo ban nian jian "" "" zhu zi qing de zu ji "" "" zhu zi qing sheng ping shi lue "" "" yi zhu pei xian xian sheng "" "" zhu zi qing xian sheng suo yi "" deng wen zhang","否"
"1196339268","9787520517966,7520517969","沈从文与张兆和 : 一生眷恋","乌合, author","2020","chi","Book","PrintBook","Beijing di 1 ban",2,"中国文史出版社","Beijing Shi","Shen, Congwen, 1902-1988,Zhang, Zhaohe, 1910-2003,Authors, Chinese 20th century Biography,Écrivains chinois 20e siècle Biographies,Authors, Chinese,Biography,Biographies,1900-1999","","否"
"1201376592","9787520519151,7520519155","新时期文学观念的历史演进","范立红, author","2020","chi","Book","PrintBook","Beijing di 1 ban",2,"中国文史出版社","Beijing","Chinese literature 20th century History and criticism,Chinese literature 21st century History and criticism,Chinese literature,Criticism, interpretation, etc,1900-2099","","否"
"1053904585","7520503127,9787520503129","苏东坡别传","刘敬堂, author","2018","chi","Book","PrintBook","Beijing di 1 ban",4,"中国文史出版社","Beijing","Su, Shi, 1037-1101,Poets, Chinese Song-Yuan dynasties, 960-1368 Biography,Poètes chinois 960-1368 (Dynasties des Song et des Yuan) Biographies,Biography,Biographies,960-1368","苏东坡是宋代文坛, 诗苑, 词林, 艺丛最为耀眼而又绚丽的明星. 拥有独特而传奇的人生. 他嫉恶如仇, 敢惩官吏, 怒斩恶僧, 智擒顽匪, 却又爱民怜农, 释放死囚, 拦洪保城, 为民直言. 虽遭政敌陷害身陷牢灾, 又在漫长贬道上历经磨难, 却依然顾我, 终于以自己的才华, 人品和功业, 树起了一尊令后人高山仰止的丰碑. 作品以苏东坡生平为轴线, 将史实, 轶闻, 逸事兼收并蓄, 勾沉轶事, 情节曲折, 以流畅的文字, 风趣的笔调, 刻出了一个另类的, 也是人们心目中的那位可信, 可亲, 可敬, 可爱的苏东坡","否"
"1056248085","9787520502849,7520502848","汪道昆文学与交游研究","刘彭冰, author","2018","chi","Book","PrintBook","Beijing di 1 ban",2,"中国文史出版社","Beijing Shi","Wang, Daokun, 1525-1593 Criticism and interpretation,Wang, Daokun, 1525-1593 Friends and associates,Chinese literature Ming dynasty, 1368-1644 History and criticism,Littérature chinoise 1368-1644 (Dynastie des Ming) Histoire et critique,Chinese literature Ming dynasty,Friendship,Criticism, interpretation, etc,1368-1644","本书以 ""了解之同情"" 的态度, 以实证的方式, 从历史的实在, 以及历史理解的实在, 对汪道昆的文学创作, 批评理论, 以及生平交游等方面, 综合考察, 系统论证","否"
