"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1090488739","9787520327183,7520327183","张爱玲电影剧本研究","赵秀敏, author","2018","chi","Book","PrintBook","Di 1 ban",3,"中国社会科学出版社","Beijing","Zhang, Ailing Criticism and interpretation,Zhang, Ailing,Chang, Eileen, 1920-1995 Oeuvres Cinéma,Motion picture plays, Chinese History and criticism,Scénarios de cinéma chinois Histoire et critique,Motion picture plays, Chinese,Criticism, interpretation, etc","张爱玲于电影剧本创作的卓越成就鲜少为世人所知, 是为张爱玲创作研究的一个盲点或者'黑洞'.本书从张爱玲电影原创剧本的数量, 搬上银幕的数量, 上座率, 票房记录, 接受者的反映, 内容分析, 艺术分析, 电影技法分析等, 以翔实充分的史实, 得出综合指数判断:张爱玲是中国电影编剧家中的女性先驱, 是女性电影编剧家中杰出的'第一人'.本书引言部分对张爱玲从1946至1965凡20年间创作的电影进行爬梳和整合, 从量到质观照这位杰出电影编剧横卓一个时代的'电影神话';第一章对张爱玲电影艺术观进行梳理评价;第二章从文化分析角度, 论析张爱玲独步一时的电影人物镜像构建;第三章从艺术分析角度, 论析张爱玲电影的喜剧叙事策略;第四章从电影技巧上, 论析张爱玲之于电影创作的才禀以及对电影语言的通透.本书力将中国电影整体发展做为论述的大背景, 为张爱玲影像研究开启全新的研究领域","否"
"1103147524","9787520340199,7520340198","张爱玲晚期写作研究","程小强, 1982- author","2019","chi","Book","PrintBook","Di 1 ban",3,"中国社会科学出版社","Beijing","Zhang, Ailing Criticism and interpretation,Zhang, Ailing,Criticism, interpretation, etc","","否"
"1080342268","9787520333856,752033385X","中国新文学史写作编年研究 : 1919-1949","张军 (Writer on Chinese literature), author","2018","chi","Book","PrintBook","Di 1 ban",3,"中国社会科学出版社","Beijing","Chinese literature History and criticism 20th century,Authorship,Littérature chinoise Histoire et critique 20e siècle,Art d'écrire,authorship,Zhong guo wen xue Xian dai wen xue shi Wen xue shi yan jiu 1919-1949,Chinese literature,Criticism, interpretation, etc,1900-1999","Detailed summary in vernacular filed,广义的中国新文学史写作, 包含中国新文学史著的编纂和相关文学史论文的撰写. 本书将以编年体形式展现1919- 1949年海内外的中国新文学史写作大致历程. 一方面, 对已经搜集到的每一文学史著与文学史论文依次编年展示, 同时简介它们的著者,出版社,出版时间,版本,开本,页数,字数等, 并对其重要的创新点进行提示性评述. 另一方面, 本书将这三十年的中国新文学史写作分为三个时期, 并以此编为三章. 每章之前概论每一时段中国新文学史写作的发展概貌,范型特点, 最后一章则对中国新文学史写作进行历史规律总结. 对于影响中国新文学史写作的重大政治,经济,文化事件本书也会适当提及, 以求诠解中国新文学史写作嬗替更迭的内外部原因","否"
"1146583176","9787520342322,7520342328","漢魏六朝隋碑志索引","劉琴麗, 1972- author","2019","chi","Book","PrintBook","Di 1 ban",1,"中国社会科学出版社","Beijing","Inscriptions, Chinese Indexes,Inscriptions chinoises Index,Inscriptions, Chinese,indexes (reference sources),Indexes,Index","","否"
"1143799808","9787520348195,7520348199","禁戏图像存录","李德生, 1945- author","2019","chi","Book","PrintBook","Di 1 ban",1,"中國社会科学出版社","Beijing","Ju qu History and criticism,Chinese drama History and criticism,Chinese drama Qing dynasty, 1644-1912 History and criticism Chronology,Juqu Histoire et critique,Théâtre chinois Histoire et critique,Théâtre chinois 1644-1912 (Dynastie des Qing) Histoire et critique Chronologie,Chinese drama,Ju qu,Qing Dynasty (China),Chronologies,Criticism, interpretation, etc,1644-1912","","否"
"1111659024","9787520346184,7520346188","翻译文学与中国革命文学(1923-1930)的历史建构","姚芮玲, author","2019","chi","Book","PrintBook","Di 1 ban",2,"中国社会科学出版社","Beijing","Translating and interpreting China History 20th century,Chinese literature 20th century History and criticism,Communism and literature,Littérature chinoise 20e siècle Histoire et critique,Communisme et littérature,Wen xue fan yi Wen xue shi yan jiu Zhong guo 1923-1930,Zhong guo wen xue Xian dai wen xue shi 1923-1930,Chinese literature,Translating and interpreting,China,Criticism, interpretation, etc,History,1900-1999","文学资源与精神资源的""芜杂""多元是革命文学当初面临的直接现实. 人们曾习惯从俄日左翼文学资源中追寻革命文学与左翼文学萌芽及发展的历史动因. 忽略了革命作家对世界非左翼文学的多元接受. 因此在多元而非单一的文学场域中探寻""革命文学""的知识谱系, 将是一项更为接近历史原生态的研究活动, 以期获得一个相对完整, 真实的革命文学历史建构过程. 在这一过程中, 鲁迅的翻译与批评活动起到了重要作用. 他以宏阔的世界文学视野和深刻敏感的现实关怀有力地介入""革命文学"", 以选译、选编域外文学和理论读本配合杂文写作为""批评""方式, 始终在现实与理想两个层面警惕地要求革命精神与文学价值的双重实现, 成为推动中国革命文学发展的重要保证","否"
"1102600052","9787520342858,7520342859","明清福建文人戏曲研究","郑政, 1983- author","2019","chi","Book","PrintBook","Di 1 ban",2,"中国社会科学出版社","Beijing","Chinese drama Ming dynasty, 1368-1644 History and criticism,Chinese drama Qing dynasty, 1644-1912 History and criticism,Chinese literature China Fujian Sheng History and criticism,Ju qu History and criticism,Théâtre chinois 1368-1644 (Dynastie des Ming) Histoire et critique,Théâtre chinois 1644-1912 (Dynastie des Qing) Histoire et critique,Littérature chinoise Chine Fujian Histoire et critique,Juqu Histoire et critique,Di fang xi Yan jiu Fu jian sheng Ming qing shi dai,Chinese literature,Chinese drama Ming dynasty,Chinese drama,Ju qu,Qing Dynasty (China),China Fujian Sheng,Criticism, interpretation, etc,1368-1912","本书对明清时期福建30多位文人戏曲家的家世, 生平, 交游, 著述等进行了细致的考证, 对他们创作的40多部剧作的本事渊源, 思想主旨, 艺术特色等进行了全面的研究. 全书以历史发展为序, 以重要作家作品为基础, 全面展现了明清福建文人戏曲创作的总体面貌","否"
"1126341408","9787520349338,7520349330","当代长篇小说的桂冠 : 莫言长篇小说研究","老悟, author","2019","chi","Book","PrintBook","Di 1 ban",1,"中国社会科学出版社","Beijing","Mo, Yan, 1955- History and criticism,Mo, Yan, 1955- Criticism and interpretation,Moyan, (1955-) Xiaoshuoyanjiu,Mo, Yan, 1955-,Chinese fiction 20th century History and criticism,Roman chinois 20e siècle Histoire et critique,Xiao shuo yan jiu Zhong guo Xian dai,Chinese fiction,Criticism, interpretation, etc,1900-1999","本书对莫言的11部 (全部) 长篇小说进行了研究, 包括总体研究和个案研究两部分: 总体研究把莫言的11部长篇小说作为一个整体, 从内容, 美学特征, 主题, 艺术表现, 传承, 意义和价值等方面对之进行了研究; 个案研究对每一部小说分别从其内容梗概, 人物形象, 主题, 艺术表现, 不足之处等方面进行了研究; 既有研究者的个人心得, 又有对小说文本以及学界专家真知灼见的引述... 因此, 既具有较高的学术价值--它既是对莫言全部长篇小说的一次 '集约型', 全方位的研究, 又是对莫言长篇小说进行进一步研究的基础; 又具有普适性--它语言通俗流畅, 内容全面而又简明, 扼要","否"
"1045034892","9787520323000,7520323005","为70年代小说拼图 : 20世纪70年代小说的整理与研究","李雪, 1984- author","2018","chi","Book","PrintBook","Di 1 ban",2,"中国社会科学出版社","Beijing","Chinese fiction 20th century History and criticism,Roman chinois 20e siècle Histoire et critique,Xiao shuo yan jiu Zhong guo Dang dai,Chinese fiction,Criticism, interpretation, etc,1900-1999","本书以1972年至1977年公开发表的小说为整理,研究对象, 强调整理小说篇目,校对发表时间及版本,考察作者身份,划分小说题材等基础工作的重要性, 主张依靠第一手材料接近文学现场,考察历史细节, 从而将对七十年代文学的研究引向"" 微观"" 研究. 全书分上,下编: 上编对七十年代文学的研究意义与方法进行讨论, 依据大量史料细述关于七十年代小说的"" 故事"" , 试图绘制七十年代文学的地形图; 下篇对七十年代的文学期刊,小说篇目进行了整理,汇编和说明, 以期为其他相关研究提供资料支持","否"
"1085496258","9787520325615,752032561X","亡宋北解流人作家群体研究","闫雪莹, author","2018","chi","Book","PrintBook","Di 1 ban",2,"中国社会科学出版社","Beijing","Authors, Chinese Biography,Chinese literature Song dynasty, 960-1279 History and criticism,Écrivains chinois Biographies,Littérature chinoise 960-1279 (Dynastie des Song) Histoire et critique,Zuo jia qun Ren wu yan jiu Zhong guo Song dai,Authors, Chinese,Chinese literature,Song Dynasty (China),Biographies,Criticism, interpretation, etc,960-1279","本书在充分占有原始文献, 材料的基础上, 将亡宋北解流人置于具体的历史与文化背景下, 以文学为本位, 史论结合, 运用辑佚, 考证, 校勘等文献学的方法, 结合传播学的研究方法, 系统论述亡宋北解流人汪元量等重要作家的创作及后世接受问题","否"
