"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1196405549","9787201153988,7201153986","长安客","北溟鱼, author","2020","chi","Book","PrintBook","Di 1 ban",3,"天津人民出版社","Tianjin Shi [China]","Poets, Chinese Tang dynasty, 618-907 Biography,Poètes chinois 618-907 (Dynastie des Tang) Biographies,Poets, Chinese,Tang Dynasty (China),Xi'an Shi (China) Biography,China History Tang dynasty, 618-907 Biography,China History Tang dynasty, 618-907,Chine Histoire 618-907 (Dynastie des Tang),Chine Histoire 618-907 (Dynastie des Tang) Biographies,China,China Xi'an Shi,Biography,Essay,Chinese language materials,essays,Biographies,History,Essays,Essais,618-907","","否"
"1060403624","9787221147240,7221147248","人生就是欢声和泪盈","陈忠实, 1942-2016, author","2018","chi","Book","PrintBook","Di 1 ban",2,"贵州人民出版社","Guiyang","Chen, Zhongshi, 1942-2016","本书是陈忠实先生的散文精选集, 书中收录了陈老关于人生各个阶段的回忆和思考, 其中饱含对故乡土地的深情, 对人生的探究, 对生命的感悟 ... 每个人都在孤独中成长, 每一次成长都满载着欢声和泪盈. 陈老一生坚实硬朗, 为人坦荡. 他热爱生活, 在朴实中发现生活的真谛, 收获生命的欣喜. 虽然一生历经波折, 但也绝不会向命运低头, 违背本心去生活. 陈老深信, 人的一生定要追求点儿什么, 留下点儿什么. 走进陈忠实的内心世界, 感受况味人生","否"
"1053904374","9787010193090,7010193096","中国现代文学中的反现代性研究","汪树东, 1974- author","2018","chi","Book","PrintBook","Di 1 ban",2,"人民出版社","Beijing","Chinese literature 20th century History and criticism,Littérature chinoise 20e siècle Histoire et critique,Zhong guo wen xue Xian dai wen xue Wen xue yan jiu,Chinese literature,Criticism, interpretation, etc,1900-1999","在中国现代文学追求现代性的主潮中, 还有大量的作家作品对现代性持反思和批判立场, 可以统称为反现代性立场. 整体上看, 文化保守主义, 审美现代性, 后现代主义和超越精神, 确立了五种基本的反现代性立场. 从文化意义层面上看, 现代文学的反现代性书写真正打破了现代人对现代性方案的盲目迷信, 全方位地展示出现代性方案的局限性, 从而有利于现代性方案的自我完善. 从文学史意义层面上看, 反现代性书写为现代文学确立了在现代性方案之外更为丰富的价值立场, 拓展出更具有艺术韵味的文学空间, 极大地解放了现代作家的想象力和创造力. 但现代文学的反现代性书写最终存在着鲜明的局限, 主要是没有充分地考虑到中国社会具体的时代语境和国情民情","否"
"1153721759","9787010211312,7010211310","沈从文与老舍比较研究 : 以民族文学为视角 = Shen Congwen yu Lao She bijiao yanjiu : yi minzu wenxue wei shijiao","魏巍, 1982- author","2019","chi","Book","PrintBook","Di 1 ban",1,"人民出版社","Beijing Shi","Shen, Congwen, 1902-1988 Criticism and interpretation,Lao, She, 1899-1966 Criticism and interpretation,Lao, She, 1899-1966,Shen, Congwen, 1902-1988,Chinese literature Minority authors History and criticism,Minorities in literature,Littérature chinoise Auteurs issus des minorités Histoire et critique,Chinese literature Minority authors,Criticism, interpretation, etc","","否"
"1089172683","9787208155299,7208155291","中国近现代涉关小说研究 (1804-1949)","杨国明, 1969- author","2018","chi","Book","PrintBook","Di 1 ban",3,"上海人民出版社","Shanghai","Chinese fiction 19th century History and criticism,Chinese fiction 20th century History and criticism,Roman chinois 19e siècle Histoire et critique,Roman chinois 20e siècle Histoire et critique,Xiao shuo yan jiu Zhong guo 1804-1949,Chinese fiction,Criticism, interpretation, etc,1800-1999","","否"
"1066320946","9787010193380,701019338X","文化巨匠傅雷 = Wenhua jujiang FuLei","叶永烈, author","2018","chi","Book","PrintBook","Di 1 ban",1,"人民出版社","Beijing Shi","Fu, Lei, 1908-1966,Fulei, 1908-1966 Chuanji,Authors, Chinese 20th century Biography,Translators China Biography,Écrivains chinois 20e siècle Biographies,Authors, Chinese,Translators,China,Biography,Biographies,1900-1999","本选题是文化名人傅雷的一部传记","否"
"1090751272","9787010200002,7010200009","百年中国文学史写作范式研究 = Bainian Zhongguo wenxueshi xiezuo fanshi yanjiu","温潘亚, 1964- author","2019","chi","Book","PrintBook","Di 1 ban",1,"人民出版社","Beijing Shi","Chinese literature 20th century History and criticism,Chinese literature 21st century History and criticism,Authors, Chinese 20th century,Authors, Chinese 21st century,Littérature chinoise 20e siècle Histoire et critique,Littérature chinoise 21e siècle Histoire et critique,Écrivains chinois 20e siècle,Écrivains chinois 21e siècle,Zhong guo wen xue Xian dai wen xue Wen xue shi Xie zuo,Zhong guo wen xue Dang dai wen xue Wen xue shi Xie zuo,Authors, Chinese,Chinese literature,Criticism, interpretation, etc,1900-2099","Ben shu fen wei shang xia liang ce, yi 20 shi ji zhong guo wen xue shi xie zuo wei yan jiu dui xiang, cai yong yi shi jian wei jing de zong xiang yan jiu yu yi ge zhong zhuan ti shi he dai biao zuo fen xi wei wei de heng xiang yan jiu xiang jie he de yan jiu fang fa, cong dang qian wo guo gao deng jiao yu jiao xue he wen hua jian she dui zhong guo wen xue shi xie zuo de yao qiu he shi ji chu fa, yi jin si shi nian lai zhong wai wen xue shi li lun yan jiu de feng shuo cheng guo wei li lun zhi cheng, dui yi bai duo nian lai zhong guo wen xue shi xie zuo yi jing chan sheng de 2000 yu bu zhu zuo jin xing le zai xi de pa shu gui li","否"
"1152178360","9787010217918,7010217912","明清文学的社会性别研究 = MingQing wenxue de shehui xingbie yanjiu","马珏玶, author","2020","chi","Book","PrintBook","Di 1 ban",2,"人民出版社","Beijing Shi","Chinese literature Ming dynasty, 1368-1644 History and criticism,Chinese literature Qing dynasty, 1644-1912 History and criticism,Littérature chinoise 1368-1644 (Dynastie des Ming) Histoire et critique,Littérature chinoise 1644-1912 (Dynastie des Qing) Histoire et critique,Chinese literature,Chinese literature Ming dynasty,Qing Dynasty (China),Criticism, interpretation, etc,1368-1912","","否"
"1080516144","9787010192468,7010192464","后现代主义思潮与中国新时期小说 = Houxiandai zhuyi sichao yu Zhongguo xinshiqi xiaoshuo = Hou xiandai zhuyi sichao yu Zhongguo xinshiqi xiaoshuo","王源, author","2018","chi","Book","PrintBook","Di 1 ban",1,"人民出版社","Beijing Shi","Postmodernism (Literature) China,Chinese fiction 20th century History and criticism,Postmodernisme (Littérature) Chine,Roman chinois 20e siècle Histoire et critique,Chinese fiction,Postmodernism (Literature),China,Criticism, interpretation, etc,1900-1999","","否"
"1198220789","9787010220543,7010220549","新中国连环画政治叙事研究(1949-1978) = XinZhongguo lianhuanhua zhengzhi xushi yanjiu (1949-1978)","张勇锋, 1970- author","2020","chi","Book","PrintBook","Di 1 ban",1,"人民出版社","Beijing Shi","Comic books, strips, etc. Political aspects China,Comic books, strips, etc,China Politics and government 1949-1976,Chine Politique et gouvernement 1949-1976,China,Criticism, interpretation, etc","在20世纪中国的大众传播史上,连环画无疑是一个无法忽视的文化存在.自1920年代在上海正式诞生,到1980年代急遽消亡,连环画以其""图画叙事""的媒介特质和建构其上的通俗文化形式,深刻地嵌入20世纪中国的社会文化底版之中,成为几代人共有的文化记忆.本书以政治叙事为基本视角,以传播学经典理论为分析框架,通过对大量史料做绵密细致的勾陈,梳理和辨析,对1949至1978年间新中国连环画的媒介文化实践及其与社会历史的复杂关系进行了多面向的考察和探究,力图呈现并阐释新中国时期在国家主义制导下连环画媒介文化的一元化发展和演变轨迹.本书分别从新中国连环画的传播体制,文化实践,内容生产,现实建构,传播机制,媒介效果,文化演变等方面来展现其政治叙事的多种面向,进而揭示出""政治服务论""媒介观下新中国连环画的真实历史面貌和媒介图景","否"
