"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1129866177","9787115472410,7115472416","为一年级做准备 轻松无障碍阅读 / 3","童趣出版公司.","2018","chi","Book","PrintBook","Di 1 ban",1,"人民邮电出版社","Beijing","Yue du ke Xue qian jiao yu Jiao xue can kao zi liao","Ben shu bao han de nei rong you:ping guo lu sa ji e tong ji ling,Ke ai biao zhi yuan zheng ji,Zhong xin chu fa","否"
"1129703749","9787115484314,7115484317","超人总动员","童趣出版公司.","2018","chi","Book","PrintBook","Di 1 ban",4,"人民邮电出版社","Beijing","Yue du ke Xiao xue Ke wai du wu","Ben shu jiang shu:chao ren ba bao bo tui yin jiang hu hou,Bu gan xin guo pu tong ren de sheng huo,Yi zhi huai nian yong chao neng li bang zhu shi ren de jiu shi guang.Yi tian ta shou dao le yi ge mi mi yao qing,Rang ta you ji hui zhong xin zuo hui""chao neng xian sheng"".Ba bao bo man zhe jia ren tou tou jie shou le ren wu,Mei xiang dao zhei jing ran shi yi ge quan tao","否"
"1076493594","9787115482099,7115482098","英语语法新图解 : 用思维导图快速学语法","赵静, author","2018","chi","Book","PrintBook","Di 1 ban",1,"人民邮电出版社","Beijing Shi","English language Grammar,English language Textbooks for foreign speakers Chinese,English language Study and teaching Foreign speakers,Anglais (Langue) Étude et enseignement Allophones,English language,Textbooks for Chinese speakers","","否"
"1130326502","9787115498595,7115498598","狮子王 / 2, 辛巴的荣耀","童趣出版公司.","2019","chi","Book","PrintBook","Di 1 ban",10,"人民邮电出版社","Beijing","Lion King (Motion picture : 1994) Juvenile fiction,Lion King (Motion picture : 1994),Lion Children's picture books,Jungle animals Children's picture books,Tu hua gu shi Zhong guo Dangdai,Han yu pin yin Yu yan du wu,Jungle animals,Lion,Fiction,Juvenile works,Picture books","本书选取迪士尼经典图画故事<狮子王>,根据儿童阅读字量的范围,帮助孩子实现独立阅读","否"
"1243242302","9787115520487,7115520488","小公主苏菲亚","童趣出版公司.","2020","chi","Book","PrintBook","Di 1 ban",4,"人民邮电出版社","Beijing","Tu hua gu shi Zhong guo Dangdai,Han yu pin yin Yu yan du wu","本书包含4个小故事:<苏菲亚的新生活><护身符的诅咒><我的妈妈被抢走了>和<想当面包师的国王>.让孩子们认识苏菲亚这样一位平易近人,充满孩子气的可爱小公主","否"
"1097898371","9787115482716,7115482713","电工实用线路300例","王兰君.","2018","chi","Book","PrintBook","Di 5 ban",7,"人民邮电出版社","Beijing","Dian lu Ji ben zhi shi","Ben shu bao liu di 4 ban de jing dian,Shi yong de xian lu wai,Hai yi xin de xing shi ju li ji dian gong tong xing peng you,Zhan xian zhen shi de dian gong chang yong xian lu de lian jie,Yi zhen zheng zhi guan ming le de fang fa shuo ming dian gong zai gong zuo zhong chang jian de xian lu ying yong.Ben shu bu dan jing xuan le dian gong chang yong de jing dian xian lu,Hai yi shi wu de fang shi jia yi shuo ming ying yong,Yi du te de shi jiao qu zhan xian zhen shi de dian gong ying yong xian lu,本书保留第4版的经典,实用的线路外,还以新的形式举例给电工同行朋友,展现真实的电工常用线路的连接,以真正直观明了的方法说明电工在工作中常见的线路应用.本书不但精选了电工常用的经典线路,还以实物的方式加以说明应用,以独特的视角去展现真实的电工应用线路","否"
"1089849862","9787115479709,7115479704","新媒体运营 : 产品运营+内容运营+用户运营+活动运营","勾俊偉, author","2018","chi","Book","PrintBook","Di 1 ban",1,"人民邮电出版社","Beijing Shi","Digital media China Management,Médias numériques Chine Gestion,China","","否"
"1129666588","9787115472359,7115472351","小战马","塞顿 Seton, Ernest Thompson 1860-1946","2018","chi","Book","PrintBook","Di 1 ban",14,"人民邮电出版社","Beijing","Er tong wen xue Duan pian xiao shuo Xiao shuo ji Jianada Suo xie Xian dai","Ben shu jing xuan liu pian xi dun jing dian dong wu xiao shuo, bao kuo< xiao zhan ma>< lang wang luo bo>< song ji hong bo zi>< wei ni pai ke de lang>< zhen ke de gu shi>.Xiao zhan ma ke bu shi zhen de""ma"", ta shi yi zhi zhang er da ye tu, pao de kuai,Nao zi ling,Dan zi da,You yi li, chang chang ba lie gou wan nong yu gu zhang zhi jian.Zai ren lei qing sao ye tu de xing dong zhong, xiao zhan ma bei song dao le shou lie yuan de sai chang shang, cheng le sai gou men zhui zhu de mu biao.Xiao zhan ma hui ying lai zen yang de ming yun? ta hai you ji hui hui dao gu xiang de tian ye shang ma?","否"
"1097981492","9787115474865,7115474869","呼兰河传","萧红 (1911-1942)","2018","chi","Book","PrintBook","Di 1 ban",416,"人民邮电出版社","Beijing","Zhang pian xiao shuo Zhong guo Xiandai","","否"
"1130330536","9787115502902,7115502900","爱丽丝漫游奇境","卡罗尔 Carroll, Lewis 1832-1898","2019","chi","Book","PrintBook","Di 1 ban",191,"人民邮电出版社","Beijing","Tong hua Ying guo Jindai","<爱丽丝漫游奇境记>是世界上流传最广,影响最大的童话之一.写的是小女孩爱丽丝在梦中的一系列的奇异经历;爱丽丝追赶一只奇怪的兔子,不小心掉入了兔子洞,开始了她的奇幻旅游......","否"
"1178839379","9787115519764,7115519765","自然语言处理入门 = Introduction to natural language processing","何晗.","2019","chi","Book","PrintBook","Di 1 ban",1,"人民邮电出版社","Beijing","Computational linguistics,Linguistique informatique,computational linguistics,Zi ran yu yan chu li Yan jiu","本书从基本概念出发,逐步介绍中文分词,词性标注,命名实体识别,信息抽取,文本聚类,文本分类,句法分析这几个热门问题的算法原理与工程实现.书中通过对多种算法的讲解,比较了它们的优缺点和适用场景,同时演示生产级成熟代码","否"
"1200845434","9787115523716,7115523711","木兰的新年","童趣出版公司.","2020","chi","Book","PrintBook","Di 1 ban",1,"人民邮电出版社","Beijing","Tu hua gu shi Zhong guo Dangdai","本书里,木兰还是一个七岁的小姑娘,这是她第一次和家人一起筹备新年.她一大早起来,穿上红袄,为家里各个角落插满象征着喜庆的红色花枝,还和爸爸一起写福字,贴对联.本书借小木兰的视角,让孩子在领略红红火火中国年喜庆气氛的同时,感受中国人重视家庭团圆的文化内核,并了解中国新年的多种风俗","否"
