"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1042355888","9787100159333,7100159334","南北朝贵族文学研究","孙明君, 1962- author","2018","chi","Book","PrintBook","Di 1 ban",1,"商務印書館","Beijing","Chinese literature 220-589 History and criticism,Littérature chinoise 220-589 Histoire et critique,Zhong guo wen xue Gu dian wen xue yan jiu Nan bei chao shi dai,Chinese literature,Criticism, interpretation, etc,220-589","""南北朝贵族文学研究""分上下两编, 本书研究围绕着当时呈现出世族文学, 宮廷文学等多种形式的贵族文学创作展开, 剖析了贵族文学产生的社会和文化原因, 贵族文学的特点, 贵族文学与文学本身发展潮流的关系等问题, 对南北朝时期的贵族文学进行了比较深入的分析","否"
"1031309803","9787100158220,7100158222","沈从文小说的民族国家想象研究","吴翔宇, author","2018","chi","Book","PrintBook","Di 1 ban",1,"商務印書館","Beijing","Shen, Congwen, 1902-1988 Criticism and interpretation,Shencongwen, (1902-1988) Xiaoshuoyanjiu,Shen, Congwen, 1902-1988,Chinese fiction 20th century History and criticism,Roman chinois 20e siècle Histoire et critique,Chinese fiction,Criticism, interpretation, etc,1900-1999","Summary in Chinese field only,本书将沈从文的小说置于现代民族国家想象的现代性框架中予以考察, 在""乡土中国""和""现代中国""动态的话语结构中系统梳理沈从文小说实践的文化机制与精神立场","否"
"1153712434","9787100177436,710017743X","宝卷研究 = Baojuan yanjiu","濮文起","2019","chi","Book","PrintBook","Di 1 ban",1,"商務印書館","Beijing","Bao juan (Buddhist song-tales) History and criticism,Bao juan (Buddhist song-tales),Criticism, interpretation, etc","","否"
"1039178284","9787100155960,7100155967","东瀛论西厢 : 《西厢记》流变丛考","黄冬柏, 1960- author","2018","chi","Book","PrintBook","Di 1 ban",1,"商務印書館","Beijing","Wang, Shifu, 1260-1316,Xi xiang ji (Wang, Shifu)","本书从""西厢记""在中国文学发展史上的地位和作用这一宏观视野出发, 以及从各种""西厢记""作品(尤其是前人关注较少的作品)內容和形式的特征这一微观角度考证, 注重介绍日本汉学界""西厢记""研究的成果, 以及日藏""西厢记""孤本等珍贵资料, 分十章对""西厢记""文学进行全面深入的考察","否"
"1228101253","9789620745874,9620745876,9789620745898,9620745892,9789620746147,9620746147,9789620746130,9620746139,9789620745836,9620745833,9789620745867,9620745868,9789620746314,9620746317,9789620746321,9620746325,9789620746154,9620746155","香港文學大系, 一九五〇-一九六九","陳國球","2020","chi","Book","PrintBook","Di yi ban",2,"商務印書館(香港)有限公司","Xianggang","Chinese literature China Hong Kong,Chinese literature 20th century,Littérature chinoise Chine Hong Kong,Littérature chinoise 20e siècle,Littérature chinoise Chine Hongkong,Chinese literature,China Hong Kong,1900-1999","","否"
"1110670774","9787100164160,7100164168","元代北方文学家族研究","张建伟, author","2019","chi","Book","PrintBook","Di 1 ban",1,"商務印書館","Beijing","Authors, Chinese Biography,Chinese literature Yuan dynasty, 1260-1368 History and criticism,Écrivains chinois Biographies,Littérature chinoise 1260-1368 (Dynastie des Yuan) Histoire et critique,Authors, Chinese,Chinese literature,Yuan Dynasty (China),Biographies,Criticism, interpretation, etc,1260-1368","","否"
"1153645163","9787100179287,7100179289","近代中日词汇交流的轨迹 : 清末报纸中的日语借词","朱京伟, 1957- author","2020","chi","Book","PrintBook","Di 1 ban",2,"商务印书馆","Beijing","Chinese language Foreign elements Japanese,Japanese language Influence on Chinese,Chinese language Foreign words and phrases,Chinese language New words,Chinese language Terms and phrases,Chinois (Langue) Néologismes,Japonais (Langue) Influence sur le chinois,Chinese language,dictionaries,Dictionaries,Dictionnaires","Summary in Chinese field only,现代汉语词汇中含有数量可观的借自日语的词语, 这些日语借词与来自西方语言的音译词不同, 它们在词形和构词法上与纯正的汉语词难分彼此, 因此, 辨别日语借词一直是我国汉日比较语言学界关注的一个研究课题.学界的研究成果表明, 日语借词进入汉语始自19-20世纪之交, 而当时与日本关系最为密切的书面资料当属清末报纸和译自日语的书籍.清末报纸的种类繁多, 本书从中选择了与日语借词关系密切, 编译者知名度高, 出版年代早, 社会影大的5种作为研究对象, 即:""时务报""(1896-1898上海), ""清议报""(1898-1901横滨), ""译书汇编""(1900-1902东京), ""新民丛报""(1902-1907横滨), ""民报""(1905-1910东京).这5种清末报纸的时间跨度为1896-1910年, 正好与日语借词大量进入汉语的高峰期重合, 是研究日语借词的最重要的一手资料.全书采用多文本, 穷尽性, 量化实证的方法, 在进行词源考证, 辨别日语借词的同时, 还从词汇学的角度, 对日语借词研究中面临的许多具体问题做了深入探讨","否"
"1027870357","9787100149723,710014972X","郑振铎日记","郑振铎, 1898-1958, author","2018","chi","Book","PrintBook","Di 1 ban",1,"商务印书馆","Beijing","Zheng, Zhenduo, 1898-1958 Diaries,Zhengzhenduo, (1898-1958) Riji,Zheng, Zhenduo, 1898-1958,Authors, Chinese 20th century Diaries,Écrivains chinois 20e siècle Journaux intimes,Zuo jia Ri ji Zhong guo Xian dai,Authors, Chinese,diaries,Diaries,Journaux intimes,1900-1999","Summary in vernacular field only,郑振铎是我国近代著名的文学家,文学史家,又是一位杰出的文献学家,艺术史家,考古学家,编辑出版家和藏书家.""郑振铎日记全编""整理历时二十多年.包括欧行日记,残存的海外日记,求书日录,残存的四天日记,残存的访书日录,一九四三年蛰居日记等,它在目前已出版的各种版本的郑振铎日记中是收集最全的,全书有七十多万字,因此有很强的资料性","否"
"1046526214","9787100159340,7100159342","""稗家粹编""与中国古代小说研究","向志柱, 1970- author","2018","chi","Book","PrintBook","Di 1 ban",2,"商務印書館","Beijing","Bai jia cui bian,Chinese fiction History and criticism,Roman chinois Histoire et critique,Chinese fiction,Criticism, interpretation, etc","","否"
"1037053594","9787100157759,7100157757","诗史互证说六朝","张承宗, 1943- author","2018","chi","Book","PrintBook","Di 1 ban",1,"商務印書館","Beijing","Chinese poetry 220-589 History and criticism,Poésie chinoise 220-589 Histoire et critique,Chinese poetry,China History 220-589,Chine Histoire 220-589,China,Criticism, interpretation, etc,History,220-589","","否"
"1074420109","9787100167055,7100167051","小说现场 : 新世纪长篇小说编年 = 21st century Chinese novels","孟繁华, author","2018","chi","Book","PrintBook","Di 1 ban",1,"商务印书馆","Beijing","Chinese fiction 21st century History and criticism,Roman chinois 21e siècle Histoire et critique,Chang pian xiao shuo Xiao shuo ping lun Zhong guo Dang dai,Chinese fiction,Criticism, interpretation, etc,2000-2099","Detailed summary in vernacular field","否"
"1083776821","9787100165259,7100165253","唐长安家族葬地出土墓志辑纂","尚民杰, author","2018","chi","Book","PrintBook","Di 1 ban",1,"商務印書館","Beijing","Epitaphs China Xi'an Shi Catalogs,Excavations (Archaeology) China Xi'an Shi,Épitaphes Chine Xi'an (Shi) Catalogues,Fouilles (Archéologie) Chine Xi'an (Shi),Epitaphs,Excavations (Archaeology),China Xi'an Shi,catalogs (documents),Catalogs,Catalogues","","否"
"1155162756","9787100182362,7100182360","北宋六家散文经典化研究 : 南宋金元时期(1127-1279)","裴云龙, author","2020","chi","Book","PrintBook","Di 1 ban",1,"商务印书馆","Beijing","Chinese essays Song dynasty, 960-1279 History and criticism,Chinese prose literature History and criticism,Essais chinois 960-1279 (Dynastie des Song) Histoire et critique,Prose chinoise Histoire et critique,Chinese essays,Chinese prose literature,Song Dynasty (China),Criticism, interpretation, etc,960-1279","","否"
