"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1265929573","9787521301069,7521301064","后理论 文化批评的新方向 = Post-theory : new directions in criticism","麦奎兰","2018","eng","Book","PrintBook","Di 1 ban",1,"外语教学与研究出版社","Beijing","Wen xue ping lun Xi fang guo jia Ying wen","本书对文学理论在当下的功能及未来的发展方向进行了反思,不少观点颇引人深思,对在国际上推广中国文学理论批评更是不无启发","否"
"1265869819","9787521300468,7521300467","经济学 繁荣与富强的通途 = Economics : the smooth path to prosperity","朱辰.","2018","eng","Book","PrintBook","Di 1 ban",1,"外语教学与研究出版社","Beijing","Jing ji xue Ying yu Gao deng xue xiao Jiao cai","","否"
"1265927751","9787521301083,7521301080","反摹仿论 从柏拉图到希区柯克 = Anti-mimesis from Plato to Hitchcock","(美) 科恩","2018","eng","Book","PrintBook","Di 1 ban",1,"外语教学与研究出版社","Beijing","Wai guo wen xue Wen xue ping lun Ying wen","本书提出了位于西方传统中的文本语言的物质性问题。作者在书中揭示刻写的事件历史如何控制了阐释传统的概念棱镜,从而形成了关于文学的虚假""历史"",反摹仿论返回文本自身,通过对构成美国主义身份的经典文本的细读,去寻找其中的刻写事件,再现一些经典的场景和误读","否"
"1266003119","9787521305098,7521305094","全球化语境下的英美孔子学院本土汉语教学项目研究 Research on the local CLT programs in a global context: the case of CIs in the US and Britain","连大祥.","2018","eng","Book","PrintBook","Di 1 ban",1,"外语教学与研究出版社","Beijing","Han yu Dui wai han yu jiao xue Jiao xue yan jiu Ying wen","本书内容选自国际汉语教学领域国内外知名学者的文章,简要概括了英美本土汉语教学现状,深入探讨了汉语教学的有效方法和教材内容设置,并分析了孔子学院在本土汉语教学中的作用和重要性。本书集合九篇优秀论文,脉络清晰地展现了国际汉语教学领域各方面焦点问题,并结合英美孔子学院的具体实例加以分析,方便汉语教学领域的广大专家学者及整个汉语教学群体阅读使用,并为全球化语境下的本土汉语教学项目提供有用的指导","否"
"1266105195","9787521301045,7521301048","论解构 结构主义之后的理论和批评 = On deconstruction : theory and criticism after structuralism","(美) 卡勒","2018","eng","Book","PrintBook","Di 1 ban",1,"外语教学与研究出版社","Beijing","Jie gou zhu yi Wen xue li lun Ying wen","本书是对解构主义的经典性分析之作。作者将解构主义置于更大的哲学层面上,侧重于对欧陆解构哲学的来龙去脉进行梳理,对结构主义之后的理论和批评进行整合归纳,并就德里达在学理层面上对索绪尔的结构主义语言学理念所作的解构进行了分析","否"
"1321058842","9787521301052,7521301056","后殖民理论 : 语境,实践与政治 = Postcolonial theory : contexts, practices, politics","摩爾-吉爾伯特 文字作者","2018","eng","Book","PrintBook","Di 1 ban",1,"外語教學與研究出版社","Bei jing","Zhi min","本書是20世紀90年代後殖民研究風生水起,橫掃英美學界並反哺亞非拉學界之際有代表性的後殖民理論研究成果之一.我們可將它作為阿基米德支點,宏觀加深對後殖民理論的批評認知,有效澄清後殖民研究涉及的問題,對象,學科和方法,並且了解把握後殖民研究內在的分歧,爭議,爭論以及邊界的商榷,是對該領域一次全面,直觀的概覽","否"
"1178812550","9787521305975,7521305973","语言资源开发与应用","亢世勇 (1964-)","2018","chi","Book","PrintBook","Di 1 ban",1,"外语教学与研究出版社","Beijing","Han yu Zi yuan kai fa Yan jiu Zhong guo","本书分为七章,内容包括:<汉字义类信息库>的建设及语义构词研究,汉语词汇数据库的开发与应用,词义标注语料库建设,句法语义标注语料库建设,汉语文本蕴涵语料库的构建研究等","否"
"1256986045","","功能视角下的汉语专题研究","彭宣维, 1963- author","2018","chi","Book","Digital","Di 1 ban",2,"外语教学与研究出版社","Beijing","Chinese language,Chinois (Langue)","","否"
"1283849051","9787521305456,7521305450","2017中国外语教育年度报告","王文斌.","2018","chi","Book","Digital",,1,"外语教学与研究出版社","Beijing","","《2017中国外语教育年度报告》共有六章,第一章为总报告,第二至第六章分别报告2017年我国高等外语教育、高等职业外语教育、基础外语教育、外语教师教育与发展和信息技术与外语教育的发展状况,涉及多个外语语种和不同的外语教育层次,真实、实时地记录我国外语教育在2017年的发展和变迁。","否"
"1283853067","9787521300529,7521300521","我国中学英语教师专业能力发展研究","秦杰著.","2018","chi","Book","Digital",,1,"外语教学与研究出版社","Beijing","","《我国中学英语教师专业能力发展研究》内容包括两个方面：一是理论和文献梳理,二是实证研究。理论和文献梳理部分包括国内外外语教师教育体系的介绍和对比、外语教师语言能力的相关标准和分析、我国外语教师培育机制的发展背景回顾、外语教师专业能力体系的构成和分化趋势等,其中对教师的专业发展模式、专业发展困境、外语语言意识、语言能力磨蚀等概念进行了重点关照。在实证研究部分,笔者对我国中学英语教师的专业素养和能力、教育学知识、语言能力、写作和词汇能力等进行了研究。","否"
"1348339731","","美国自然文学三十讲","程虹, author","2018","chi","Book","Digital","Zeng ding ban",4,"外语教学与研究出版社","Beijing","","本书共分9章,内容包括:美国自然文学的源起与发展、自然文学的新大陆特征、自然文学中的超验主义影响、自然文学中的荒野情结、自然文学中的英伦文化传统、自然文学中的女性作家、自然文学中的土地伦理、自然文学中的心灵慰藉等","否"
"1283854745","9787521305463,7521305469","中国外语研究.2018.1 FOREIGN LANGUAGE RESEARCH IN CHINA","杨连瑞主编.","2018","chi","Book","Digital",,1,"外语教学与研究出版社","Beijing","","《中国外语研究》是中国海洋大学外国语学院会同国内多所高校外国语学院编辑出版的外语类学术集刊。2014年创刊,目前已经出版两卷。2015年7月由中国知网全文刊载。本刊由五个板块组成：语言学理论与应用、国别文学与文化、翻译理论与批评、国际商务语言与文化、外语教育教学。本刊汇聚国际国内领军学者的审稿智慧,刊登本学科最新研究成果。从2016年开始《中国外语研究》每年出版两期,由外语教学与研究出版社出版发行。","否"
"1283857588","9787513599573,7513599572","中英双向互译中翻译认知过程研究：基于眼动追踪和键盘记录的实证分析","冯佳著.","2018","chi","Book","Digital",,1,"外语教学与研究出版社","Beijing","","译者注意资源是翻译认知过程中非常关键的因素。有效分配注意资源的能力反映翻译认知过程的效能,也体现译者翻译能力中最核心的策略子能力。本书利用翻译认知研究的前沿方法,针对译者注意资源分配这一难题开展研究,聚焦译入和译出双翻译方向下译者注意资源分配的异同,尝试挖掘影响译者注意资源分配的认知加工机制,特别是探究中英语言对互译中翻译方向对译者注意资源分配的可能影响。作为一例科学、系统地探究中英语言对双向翻译认知过程的实证研究,为翻译认知过程研究提供了来自中英语言对的研究证据。本书是国内综合利用眼动追踪和键盘记录技术对翻译认知过程进行系统实证研究的探索性成果,在研究设计、数据搜集方法、数据整理分析等方面进行了大量艰辛的探索和尝试,为后续研究及其他语言对的翻译认知过程研究提供了研究方法上的借鉴和参考。","否"
"1096355287","9787513593946,7513593949","一个人带着日语去旅行","费长琳.","2018","chi","Book","PrintBook","Di 1 ban",1,"外语教学与研究出版社","Beijing","Lü you Ri yu Kou yu Zi xue can kao zi liao","Ben shu xiang lie le 73 ge ri ben zi you xing chang wan qing jing dui hua,Han gai ji chang,Dao lu jiao tong,Fan dian zhu su,Guan guang lü you,Chang xiang mei shi,Guang jie gou wu,Jing ji zhuang kuang deng nei rong,Jie he shi yong yan shen dan ju hui hua he bu chong dan ci,Rang nin mian lin ge zhong qing jing dou neng shun li yong ri yu shuo chu xiang biao da de hua,本书详列了73个日本自由行畅玩情景对话,涵盖机场,道路交通,饭店住宿,观光旅游,畅享美食,逛街购物,经济状况等内容,结合实用延伸单句会话和补充单词,让您面临各种情境都能顺利用日语说出想表达的话","否"
"1097899137","9787521301168,7521301161","全国基础教育阶段英语科监测系统的后效研究","亓鲁霞.","2018","chi","Book","PrintBook","Di 1 ban",1,"外语教学与研究出版社","Beijing","Ying yu ke Jiao xue zhi liang Jian ce xi tong Yan jiu Zhong xiao xue","Ben shu xiang shu yi xiang ce shi hou xiao yan jiu,Ju jiao yu quan guo ji chu jiao yu jie duan ying yu ke jiao xue zhi liang jian ce dui ying yu jiao xue de qian zai ying xiang.Yan jiu zhe fen xi le dang xia ying yu ke jian ce xi tong de feng xian gou cheng,Jie shi le jian ce xi tong she ji zhe de qi wang hou xiao,Tong shi shen ru xiao xue si nian ji he chu zhong er nian ji ying yu jiao xue di yi xian,Diao cha ying yu jiao xue xian zhuang,Shou ji ji zhun shu ju,Wei zhang qi gen zong xi tong de hou xiao bian hua ti gong can zhao dian,Bing zai zong jie yan jiu cheng guo de ji chu shang,Cong dong tai xi tong li lun de shi jiao she ji le yi ge zong ti yan jiu kuang jia,Hai pei yi diao cha fen xi shou duan,本书详述一项测试后效研究,聚焦于全国基础教育阶段英语科教学质量监测对英语教学的潜在影响.研究者分析了当下英语科监测系统的风险构成,揭示了监测系统设计者的期望后效,同时深入小学四年级和初中二年级英语教学第一线,调查英语教学现状,收集基准数据,为长期跟踪系统的后效变化提供参照点,并在总结研究成果的基础上,从动态系统理论的视角设计了一个总体研究框架,还配以调查分析手段","否"
