"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1351940797","9787544877213,7544877213","人生便利店 : 人生不便利, 要惠顾人生便利店","刘墉, 1949- author","2022","chi","Book","PrintBook","Di 1 ban",1,"接力出版社","Nanning Shi","Conduct of life,Life skills,Chinese essays,Chinese essays 21st century,Conduct of life in literature,Morale pratique,Habiletés de base,Essais chinois,Essais chinois 21e siècle,Morale pratique dans la littérature,ethics (philosophical concept),2000-2099","","否"
"1130387258","9787544860017,7544860019","我用32个屁打败了睡魔怪","彭懿.","2019","chi","Book","PrintBook","Di 1 ban",2,"接力出版社","Nanning","Children China Juvenile fiction,Tu hua gu shi Zhong guo Dangdai,Children,China,Fiction,Juvenile works","","否"
"1336347280","9787544876155,7544876152","周四推理俱乐部 = The thursday murder club","奥斯曼 (Osman, Richard)","2022","chi","Book","PrintBook","Di 1 ban",1,"接力出版社","Nanning","Zhang pian xiao shuo Ying guo Xiandai","","否"
"1130335733","9787544859134,7544859134","萤窗小语 : 新版","刘墉.","2019","chi","Book","PrintBook","Di Di 2 ban",16,"接力出版社","Nanning","San wen ji Mei guo Xiandai","本书收录了<人生不惧时间的弯镰>,<最初的梦想紧握在手上>,<快乐是最美的化妆品>,<爆米花好美从头到尾>四本单册,是刘墉三十多年前的励志散文作品,成名作,最钟爱,畅销数百万册.""萤窗小语""最初出版时一共七集,前三集是台湾节目分秒必争的开场白.教给青少年读者如何温馨的处世,如何积极地励志,刘墉式的叙事说理将与青年读者分享人生经验和人生智慧,内容更完整也更深邃","否"
"1266159652","9787544859141,7544859142","我不是教你诈","刘墉, 1949- author","2019","chi","Book","PrintBook","Di 3 ban, xin ban",25,"接力出版社","Nan ning","Chinese essays,Essais chinois","","否"
"1129646748","9787544853392,754485339X","狼洞之夜","沃克 (女,Wolk, Lauren)","2018","chi","Book","PrintBook","Di 1 ban",1,"接力出版社","Nanning","Er tong xiao shuo Zhang pian xiao shuo Meiguo Xian dai","本书讲述了:安娜贝尔跟家人住在山间的祖宅里,生活简单而安宁.但这平静被城里女孩贝蒂打破了,贝蒂周围的学生都遭到她的""毒手"",被泼墨汁,被恶语相向,被扔纸团,被用铅笔戳.坐在贝蒂身后的安娜贝尔希望通过默默忍受让贝蒂停止,但情况却愈来愈糟","否"
"1129655438","9787544855631,7544855635","孤单的少校","薛涛 (1971-)","2018","chi","Book","PrintBook","Di 1 ban",1,"接力出版社","Nanning","Er tong xiao shuo Zhang pian xiao shuo Zhongguo Dang dai","本书讲述了:小镇的游戏厅被砸,一群孩子将网络游戏延伸到现实中来.太阳镇成立了豆子团,月亮镇成立了谷子团.我和弟弟乒乓加入了豆子团,然而谷子团的少校觊觎我们的木屋大本营,千方百计的想要夺取木屋.后来,我和弟弟单独成立了兄弟连,兄弟连为了在豆子团和谷子团的夹缝中生存下去,不得不与谷子团的少校结盟.我获得了更多与少校接触的机会,逐渐了解了少校的身世秘密.在此之前,我本以为这只是一场场热热闹闹的游戏,没想到背后却是一颗孤单的心.少校的姐姐小行星曾经在木屋中失踪,这就是少校一定要占领木屋的原因;而间接导致小行星失踪的是护林员,也在愧疚和自责中惶惶度日,渴望得到救赎;掳走小行星的最大的""嫌疑人""长白狼重新在树林中出没.孤单的少校开始了他的孤独之旅","否"
"1129686185","9787544853408,7544853403","橱柜里的女孩","布拉德利 (Bradley, Kimberly Brubaker)","2018","chi","Book","PrintBook","Di 1 ban",2,"接力出版社","Nanning","Er tong xiao shuo Zhang pian xiao shuo Meiguo Xian dai","这是一本关于爱,勇气和成长的书.包含:我的窗户,练习走路,出逃,远去的火车,砧板上的鱼,好人家,史密斯小姐的家,黄油,她不是个好人,别送我回家等章节","否"
"1178924885","9787544859813,7544859819","公鹿的脚印","塞顿 Seton, Ernest Thompson 1860-1946","2019","chi","Book","PrintBook","Di 1 ban",22,"接力出版社","Nanning","Er tong xiao shuo Zhong pian xiao shuo Jia na da Xiandai,Er tong xiao shuo Duan pian xiao shuo Jia na da Xiandai","Ben shu jiang shu le yi tou gong lu de gu shi,Gong lu yi zhi bei yi ge lie ren suo zhui gan,You yi tian,Gong lu bei shang de yan shen yu bu sha ta de lie ren dui shi de shun jian,Lie ren fang xia le shou zhong de lie qiang.Yi zhi hong song shu qi ka,Ta zui xi huan chi hong mo gu.Ke shi you yi tian,Ta chi le hong mo gu hou,Ta de qi zi bu gao xing le.Xi dun bi xia de dong wu ge ju xing tai,Xiang ren men zhan shi zhe bu tong dong wu de qing gan he jing shen shi jie","否"
"1178923904","9787544859844,7544859843","小熊焦尼","塞顿 Seton, Ernest Thompson 1860-1946","2019","chi","Book","PrintBook","Di 1 ban",5,"接力出版社","Nanning","Er tong xiao shuo Zhong pian xiao shuo Jia na da Xiandai,Er tong xiao shuo Duan pian xiao shuo Jia na da Xiandai","Ben shu bao kuo< xiao xiong jiao ni>< xiao gou jie ke> liang pian dong wu xiao shuo.< xiao xiong jiao ni> jiang shu yin wei ma ma de chong ai,Xiao xiong jiao ni you xie jiao zao he ren xing,Dan ta hen cong ming,De dao le jiu dian gong zuo ren yuan de zhao gu.< xiao gou jie ke> jiang shu jie ke shi yi zhi ben xiao gou,Zuo guo hen duo chun shi,Dan ta hen yong gan,Zhong xin geng geng di dui kang jiao lang,Bao hu zhe zhu ren de zhang peng","否"
