"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1047725914","9787544649827,7544649822","语言的多元化与边缘化 = Multilingualism and the periphery","Sari Pietikäinen","2018","eng","Book","PrintBook","第1版",4,"上海外语教育出版社","上海","Multilingualism|xSocial aspects,Sociolinguistics,Multilingualism|vCross-cultural studies,Sociolinguistique,sociolinguistics","This volume examines the complex processes and practices of multilingualism in a wide range of economically, culturally, politically, and geographically peripheral sites and spaces in different locations. Using approaches that draw on sociolinguistics, ethnography, and discourse studies, leading scholars investigate different peripheral minority language sites, ranging from Arctic territories to a busy airport in Wales. The colume brings together these different contects and approaches in order to explore what possible commonalities and differences might arise from processes of peripheralizing and centralizing in multilingual minority language sites. The volume aims to open up new ways of thinking and theorizing about multilingualism, about centres and peripheries, and challenges existing notions of straightforward power relations (e.g. majority-minority; center-periphery etc.). All of the contributors question assumptions about peripheries as less fortunate counterparts to prosperous centres, and suggest instead that peripheries are diverse, multilingual spaces, constructed by but, crucially, constitutive to centres--封底","否"
"1282884075","9787544653800,7544653803","新编英汉翻译教程 = A new coursebook on English-Chinese translation","孙致礼 (1942-)","2018","chi","Book","PrintBook","Di 2 ban",9,"上海外语教育出版社","Shanghai","Ying yu Fan yi Gao deng xue xiao Jiao cai","本书共分三编.第一编""翻译的基本原理""共分11章,所讲的理论问题大致构成了一个基本完整的体系,可以帮助学生掌握翻译的基本原理,基本方法和基本技巧.第二编是""英译汉练习"",共选26篇短文.第三编""实例与译文"",包括15篇短文及译文","否"
"1130338109","9787544651493,7544651495","亚瑟王 = King arthur","派尔 Pyle, Howard 1853-1911","2018","chi","Book","PrintBook","Di 1 ban",5,"上海外语教育出版社","Shanghai","Ying yu ke Yue du jiao xue Chu zhong Ke wai du wu","亚瑟王是英格兰传说中的国王,圆桌骑士团的首领,一位近乎神话般的传奇人物.他是罗马帝国瓦解之后,率领圆桌骑士团统一了不列颠群岛,被后人尊称为阿瑟王.王者之剑与石中剑是亚瑟王至尊的王权象征,佩带着这把具有精灵魔力的王者之剑,令众骑士俯首称臣,不仅确立他自己的王位,也在众多的战役之中赢得胜利,凯旋而归","否"
"1222984091","9787544653169,7544653161","学术英语阅读能力构成成分实证研究 = An empirical investigation of the componentiality of L2 reading in English for academic purposes","威尔","2018","chi","Book","PrintBook","Di 1 ban",1,"上海外语教育出版社","Shanghai","Ying yu Yue du jiao xue Jiao xue yan jiu","本书分七章,阐述了英语作为二语的学术阅读能力构成成分的实证研究,分析了EAP阅读和评估包含的因素,阐述了研究方法和实验步骤,探讨了证明测试效度的实证研究结果,并对未来测试学的发展和研究提出了建议","否"
"1130340132","9787544651493,7544651495","王子与贫儿 = The prince and the pauper","马克·吐温 Mark Twain 1835-1910","2018","chi","Book","PrintBook","Di 1 ban",37,"上海外语教育出版社","Shanghai","Ying yu ke Yue du jiao xue Chu zhong Ke wai du wu","亚瑟王是英格兰传说中的国王,圆桌骑士团的首领,一位近乎神话般的传奇人物.他是罗马帝国瓦解之后,率领圆桌骑士团统一了不列颠群岛,被后人尊称为阿瑟王.王者之剑与石中剑是亚瑟王至尊的王权象征,佩带着这把具有精灵魔力的王者之剑,令众骑士俯首称臣,不仅确立他自己的王位,也在众多的战役之中赢得胜利,凯旋而归","否"
"1222980677","9787544652315,7544652319","哈克贝利·费恩历险记 = The adventures of Huckleberry Finn","马克·吐温 Mark Twain 1835-1910","2018","chi","Book","PrintBook","Di 1 ban",38,"上海外语教育出版社","Shanghai","Ying yu Yue du jiao xue Chu zhong Ke wai du wu","本书讲述了:Huckleberry Finn和父亲在一起的日子很悲惨,直到和Tom Sawyer的一次冒险让一切发生了改变.可是Huck的父亲再度出现,将他绑架.Huck决定和在逃的奴隶Jim结伴,沿密西西比河逃出魔掌.逃亡生活并不好过,Huck和Jim陷入了重重困境","否"
"1265943291","9787544652070,7544652076","英汉翻译教程 A course in English-Chinese translation","张培基","2018","chi","Book","PrintBook","Xiu ding ben",19,"上海外语教育出版社","Shanghai","Ying yu Fan yi Gao deng jiao yu Jiao cai","本书阐述了翻译的基本理论知识,通过英汉两种语言的对比和大量译例,介绍了英语汉译的一系列常用方法和技巧。全书共分六章。各章节后配有单句练习,书后又附有大量短文翻译作业材料,以便学生通过实践熟悉翻译技巧,培养翻译能力","否"
"1130348047","9787544651493,7544651495","柳林风声 = The wind in the willows","格雷厄姆 (Grahame, Kenneth)","2018","chi","Book","PrintBook","Di 1 ban",3,"上海外语教育出版社","Shanghai","Ying yu ke Yue du jiao xue Chu zhong Ke wai du wu","亚瑟王是英格兰传说中的国王,圆桌骑士团的首领,一位近乎神话般的传奇人物.他是罗马帝国瓦解之后,率领圆桌骑士团统一了不列颠群岛,被后人尊称为阿瑟王.王者之剑与石中剑是亚瑟王至尊的王权象征,佩带着这把具有精灵魔力的王者之剑,令众骑士俯首称臣,不仅确立他自己的王位,也在众多的战役之中赢得胜利,凯旋而归","否"
"1129708086","9787544649827,7544649822","语言的多元化与边缘化 : [英文本] = Multilingualism and the periphery","派提凯能","2018","chi","Book","PrintBook","[Ying yin ben]",1,"上海外语教育出版社","Shanghai","She hui yu yan xue Ying wen","本书是一部关于边缘语言多元化的文集,从政治,经济,文化等多重角度讨论了语言多元化的本质与特征,进一步理解语言观念","否"
"1310111476","9787544655781,7544655784","往事历历, 40年回眸 : 知名外语学者与改革开放","庄智象","2018","chi","Book","PrintBook","Di 1 ban",1,"上海外语教育出版社","Shanghai","Language and languages Study and teaching China,Langage et langues Étude et enseignement Chine,Language and languages Study and teaching,China","本书通过百余位外语界专家及有相关背景的外交等领域名家记述了改革开放40年来最难忘亲身实例, 反映改革开放为外语界带来的历史性嬗变与发展","否"
"1039076420","9787544649995,7544649997","The pragmatics of politeness = 礼貌语用学","Geoffrey N. Leech","2018","eng","Book","PrintBook","Di 1 ban",4,"上海外语教育出版社","Shanghai","Politeness (Linguistics),Grammar, Comparative and general Honorific,Pragmatics,Sociolinguistics,Formules de politesse,Pragmatique,Sociolinguistique,pragmatics,sociolinguistics","","否"
"1038791928","9787544650205,7544650200","Digital discourse : language in the new media = 数字话语 : 新媒体中的语言","Crispin Thurlow","2018","eng","Book","PrintBook","Di 1 ban",5,"上海外语教育出版社","Shanghai","Sociolinguistics,Social media,Digital media,Technological innovations Social aspects,Discourse analysis Social aspects,Social Media,Sociolinguistique,Médias sociaux,Médias numériques,Innovations Aspect social,sociolinguistics,social media,Chuan bo mei jie She hui yu yan xue Yan jiu Ying wen","Ben shu shi niu jin she hui yu yan xue cong shu ju jiao dang dai she hui yu yan xue de zhong yao ke ti, ti cai duo yang, nei rong guang fan, yan jiu qian yan. ben shu wei cong shu zhi yi, shi yi bu guan yu xin mei ti yu yan yan jiu de wen ji, shou lu lun wen 15 pian, dui zhe yi xin xing yan jiu ling yu zuo le kai chuang xing de si kao, fen xi le jin nian lai shu zi hua yu fen xi de ji ben dong tai he ji ben qu xiang","否"
"1100468432","9787544653169,7544653161","An empirical investigation of the componentiality of L2 reading in English for academic purposes = 学术英语阅读能力构成成分实证研究","Cyril J. Weir","2018","eng","Book","PrintBook","Di 1 ban",1,"上海外语教育出版社","Shanghai","Reading,English language Ability testing China Case studies,English language Study and teaching (Higher) Foreign speakers,Language and languages Study and teaching,Lecture,Langage et langues Étude et enseignement,English language Ability testing,China,Case studies","","否"
"1100468659","9787544654180,7544654184","IELTS washback in context : preparation for academic writing in higher education = 雅思考试的反拨作用研究 : 为高等教育阶段学术写作做准备","Anthony Green","2018","eng","Book","PrintBook","Di 1 ban",5,"上海外语教育出版社","Shanghai","English language Study and teaching (Higher) Foreign speakers,English language Rhetoric Study and teaching (Higher),Language and languages Ability testing,International English Language Testing System,Langage et langues Tests d'aptitude","","否"
"1038791923","9787544650199,7544650197","Stance : sociolinguistic perspectives = 交际界位研究 : 社会语言学视角","Alexandra M. Jaffe","2018","eng","Book","PrintBook","Di 1 ban",1,"上海外语教育出版社","Shanghai","Sociolinguistics,Language and languages Style,Social interaction,Discourse analysis Social aspects,Sociolinguistique,Interaction sociale,sociolinguistics","","否"
"1100468173","9787544653183,7544653188","Examining reading : research and practice in assessing second language reading = 审视阅读 : 二语阅读评估的研究与实践","Hanan Khalifa","2018","eng","Book","PrintBook","Di 1 ban",3,"上海外语教育出版社","Shanghai","English language Study and teaching Foreign speakers Evaluation,Reading (Higher education) Ability testing,Second language acquisition Research,Anglais (Langue) Étude et enseignement Allophones Évaluation,Langue seconde Acquisition Recherche","","否"
"1060601442","9787544651288,7544651282","Multimodal metaphor = 多模态隐喻","Ch Forceville","2018","eng","Book","PrintBook","Di 1 ban",5,"上海外语教育出版社","Shanghai","Metaphor,Métaphore,metaphor","","否"
