"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1083767033","9787508538952,7508538951","Golden treasury of Chinese poetry in Han, Wei and Six dynasties","许渊冲","2018","eng","Book","PrintBook","Di 2 ban",8,"五洲传播出版社 : 中華書局","Beijing Shi","Chinese poetry Qin and Han dynasties, 221 B.C.-220 A.D. Translations into English,Chinese poetry Three kingdoms, 220-265 Translations into English,Chinese poetry Jin dynasty, 265-419 Translations into English,Chinese poetry Northern and Southern dynasties, 386-589 Translations into English,Chinese poetry,Chinese poetry Qin and Han dynasties,Chinese poetry Three kingdoms,Jin Dynasty (China : 265-419),Northern and Southern Dynasties (China),Translations,221 B.C.-589 A.D","","否"
"1084270706","9787508538990,7508538994","Romance of western bower","王实甫, 1260-1316","2018","eng","Book","PrintBook","Di 2 ban",47,"五洲传播出版社 : 中華書局","Beijing Shi","Wang, Shifu, 1260-1316. Translations into English,Xi xiang ji (Wang, Shifu),Chinese drama Yuan dynasty, 1260-1368 Translations into English,Chinese drama,Yuan Dynasty (China),Translations,1260-1368","","否"
"1083768096","9787508538983,7508538986","Golden treasury of Song, Yuan, Ming and Qing poetry","许渊冲","2018","eng","Book","PrintBook","Di 2 ban",5,"五洲传播出版社 : 中華書局","Beijing Shi","Chinese poetry Song dynasty, 960-1279 Translations into English,Chinese poetry Yuan dynasty, 1260-1368 Translations into English,Chinese poetry Ming dynasty, 1368-1644 Translations into English,Chinese poetry Qing dynasty, 1644-1912 Translations into English,Chinese poetry Ming dynasty,Chinese poetry,Qing Dynasty (China),Song Dynasty (China),Yuan Dynasty (China),Translations,960-1912","","否"
"1083767709","9787508538969,750853896X","Dream in peony pavilion","汤显祖, 1550-1616, author","2018","eng","Book","PrintBook","Di 2 ban",30,"五洲传播出版社 : 中華書局","Beijing","Tang, Xianzu, 1550-1616. Translations into English,Mu dan ting (Tang, Xianzu),Chinese drama Ming dynasty, 1368-1644 Translations into English,Chinese drama,Chinese drama Ming dynasty,Translations,1368-1644","","否"
"1259282629","9787508540276,7508540271","300 Tang poems","许渊冲","2018","eng","Book","PrintBook","Di 2 ban",4,"五洲传播出版社 : 中華書局","Beijing Shi","Chinese poetry Tang dynasty, 618-907 Translations into English,Chinese poetry,Tang Dynasty (China),Translations,618-907","","否"
"1224118065","9787508538976,7508538978","300 Song lyrics","许渊冲","2018","eng","Book","PrintBook","Di 2 ban",5,"五洲传播出版社 : 中華書局","Beijing Shi","Ci (Chinese poetry) Translations into English,Chinese poetry Song dynasty, 960-1279 Translations into English,Chinese poetry,Ci (Chinese poetry),Song Dynasty (China),Translations,960-1279","","否"
"1039180924","9787101123845,7101123848","尚書注疏校議","杜澤遜, author","2018","chi","Book","PrintBook","Beijing di 1 ban",3,"中華書局","Beijing Shi","Shu jing Commentaries,""Shang shu "" Zhu shi,""Shang shu "" Xiao kan,Shu jing,Shang zhou shi dai Li shi Shi liao,Commentaries","Ben shu shi du ze xun xian sheng zai zheng li bian zuan "" shang shu zhu shu hui xiao "" de guo cheng zhong zhuan xie er cheng de yi bu xue shu zha ji. qi zhong, qian wu juan wei kao zheng ban ben yi tong, gong ji 230 tiao ; di liu juan bao han wu pian kao zheng xing wen zhang ji ba wen, fen bie wei "" lun ping shui ben<shang shu zhu shu> "" "" shi xing ben<shang shu zhu shu{692126}jun shi>shu hou "" "" ming yong le ben<shang shu zhu shu>ba "" "" ruan yuan ke<shang shu zhu shu>xiao kan ji "" yue ben "" bian zheng "" "" <shang shu{692126}shuo ming>kong chuan xiao yi "",""尚书注疏校议"", 凡六卷, 是杜泽逊先生在整理编纂""尚书注疏汇校""的过程中撰写而成的一部学术札记. 其中, 前五卷为考证版本异同, 共计230条; 第六卷包含五篇考证性文章及跋文. 为了方便读者更为直观地了解相关版本情况, 书中穿插了29张不同版本的书影","否"
"1056248829","9787101130768,7101130763","尚書校詁","雒江生","2018","chi","Book","PrintBook","Beijing di 1 ban",2,"中華書局","Beijing Shi","Shu jing","此书将""尚书""今文与伪古文分编作文字考订, 训诂通释. 主要是根据出土文献以及古代写本校订文字讹误, 并参考以前学者的注释成果, 以考定""尚书""字词的训诂正解, 是综合文字学,校勘学,历史学,考古学等多学科研究的一部学术新著","否"
"1035399505","9787101123883,7101123880","書集傳","蔡沈, 1167-1230, author","2018","chi","Book","PrintBook","Di 1 ban",17,"中華書局","Beijing","Shu jing,""shang shu "" Yan jiu,Shang zhou shi dai Li shi Shi liao","本书共六卷, 由南宋著名学者蔡沉所作. 蔡沉为朱熹晚年高足, ""书集传""的写作, 就是在朱熹授意, 在朱熹未完稿基础上完成的, 可以说, ""书集传""在一定程度上体现了朱熹在研治""尚书""方面的心得体会","否"
"1044783184","9787101130300,7101130305","中国文学中的印度形象研究 = The image of India in Chinese literature","王汝良, 1973- author","2018","chi","Book","PrintBook","Beijing di 1 ban",4,"中华书局","Beijing","Chinese literature Indian influences,Chinese literature History and criticism,Littérature chinoise Influence des Peuples autochtones,Littérature chinoise Histoire et critique,Zhong guo wen xue Wen xue yan jiu,Zhong yin guan xi Wen hua jiao liu Wen hua shi Yan jiu,Chinese literature,Civilization,Diplomatic relations,India Civilization,China Foreign relations India History,India Foreign relations China History,Inde Civilisation,Chine Relations extérieures Inde Histoire,Inde Relations extérieures Chine Histoire,China,India,Criticism, interpretation, etc,History","In Chinese field only,本书是一部印度形象史, 一部中国文人对印度文化的接受史, 一部新视角下的中印文化交流史. 采用文史互证,形象学等研究方法, 对中国典籍中涉及印度形象的资料进行系统发掘,整理和研究, 使原本以隐性状态存在的片断的,不连贯的印度形象得到清晰,明朗的展示. 对印度文化进行了纵向勾勒和全景式观照的同时, 突显了中国文化自身的特征. 对中国和印度这两个东方大国两千多年来的友好交往进行了历史回顾, 又为新时期的中印关系提供启示与思考. 本书视野开阔, 探讨严谨, 文风朴实. 作为首部运用形象学视角对中国文学中的印度形象进行整体,系统研究的学术著作","否"
"1083549429","9787101131475,7101131476","松陵集校注","皮日休, approximately 834-approximately 883, author","2018","chi","Book","PrintBook","Beijing di 1 ban",3,"中華書局","Beijing Shi","Chinese poetry Tang dynasty, 618-907,Poésie chinoise 618-907 (Dynastie des Tang),Chinese poetry,Tang Dynasty (China),618-907","","否"
"1053903290","9787101133127,7101133126","晚唐文学变局中的「温李新声」研究","刘青海, author","2018","chi","Book","PrintBook","Di 1 ban",4,"中华书局","Beijing","Wen, Tingyun, 812-approximately 870 Criticism and interpretation,Li, Shangyin, 813-858 Criticism and interpretation,Wen, Tingyun, 812-approximately 870,Li, Shangyin, 813-858,Chinese poetry Tang dynasty, 618-907 History and criticism,Ci (Chinese poetry) History and criticism,Poésie chinoise 618-907 (Dynastie des Tang) Histoire et critique,Ci (Poésie chinoise) Histoire et critique,Gu dian wen xue Wen xue yan jiu Zhong guo Wan tang,Chinese poetry,Ci (Chinese poetry),Tang Dynasty (China),Criticism, interpretation, etc,618-907","本书将""温李新声""作为一个重要的文学概念提出, 并将其放在晚唐文学变局的大背景下, 研究温李诗词创作中的新变因素, 试图比较完整地, 多层次地还原温李诗风的本相","否"
