"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1041906561","9787520324250,7520324257","19世纪《三国演义》英译文献研究","王燕 (College teacher), author","2018","chi","Book","PrintBook","Di 1 ban",2,"中国社会科学出版社","Beijing","Luo, Guanzhong, approximately 1330-approximately 1400. Translations into English History and criticism,San guo zhi yan yi (Luo, Guanzhong),Chinese literature Translations into English,Chinese literature,Criticism, interpretation, etc,Translations","1807年, 随着第一位新教传教士马礼逊的来华, 中国古典小说开始大规模地踏上西行之旅. 在"" 四大名著"" 中, 十九世纪英语世界对于""三国演义""的译介最为重视. 最近几年, 学界开始关注这批用英语撰写的""三国演义""文章, 只是由于相关资料或者刊载于""亚洲杂志"", ""中国丛报"", ""中国评论"", ""教务杂志""等罕见的英文报刊, 或者发表在""拾级大成"", ""中国对话""等早期汉语教材, 而这些英文报刊或汉语教材主要收藏在哈佛大学图书馆, 伦敦大学亚非学院图书馆等欧美各地, 搜集起来相当困难, 所以国内的相关研究错漏百出, 举步维艰, 作者近十年来于香港中文大学, 美国伊利诺伊大学, 英国伦敦大学, 日本关西大学等海外大学访学, 期间搜集到20余种罕见的19世纪英译""三国""资料, 并对其进行了系统整理和深入研究","否"
"1056963443","7520311465,9787520311465","中国近现代人文幻想小说研究 = Research on Chinese modern humanity fictions","马云, 1954- author","2018","chi","Book","PrintBook","Di 1 ban",2,"中国社会科学出版社","Beijing","Fantasy fiction, Chinese History and criticism,Chinese fiction 19th century History and criticism,Chinese fiction 20th century History and criticism,Humanity in literature,Roman chinois 19e siècle Histoire et critique,Roman chinois 20e siècle Histoire et critique,Humanité (Morale) dans la littérature,Xiao shuo yan jiu Zhong guo Jin xian dai,Fantasy fiction, Chinese,Chinese fiction,Criticism, interpretation, etc,1800-1999","本书的研究对象是与科幻小说相对应的幻想小说, 称之为人文幻想小说. 从晚清至新世纪以来, 在漫长的发展过程中, 这类小说形成了几个基本特征: 一, 小说中故事发生的时间指向, 不是现在某时, 也不是过去某时, 而是未来某时. 二, 小说中故事发生的地点是一个遗世独立的地方, 一个与世隔绝的世外桃源. 三, 小说中叙述的社会制度, 人物的思想行为是现实社会中不存在的, 是一个幻想的乌托邦社会, 或者与现实存在有很大距离. 四, 新世纪前后, 中国当代又出现了一种以探索乌托邦问题为主旨的小说. 本书主要从中西方人文幻想小说的传统与演变, 人文幻想小说产生的时代背景, 具体的文本分析等方面展开论述. 论及的作品主要包括梁启超""新中国未来记"", 陆士谔""新中国"", 老舍""猫城记"", 张天翼""鬼土日记"", 沈从文""阿丽丝中国游记"", 林语堂""奇岛"", 梁晓声""浮城"", 柯云路""孤岛"", 王小波""未来世界"", 阎连科""受活"", 格非""乌托邦三部曲"", 莫言""生死疲劳""等","否"
"1080342268","9787520333856,752033385X","中国新文学史写作编年研究 : 1919-1949","张军 (Writer on Chinese literature), author","2018","chi","Book","PrintBook","Di 1 ban",3,"中国社会科学出版社","Beijing","Chinese literature History and criticism 20th century,Authorship,Littérature chinoise Histoire et critique 20e siècle,Art d'écrire,authorship,Zhong guo wen xue Xian dai wen xue shi Wen xue shi yan jiu 1919-1949,Chinese literature,Criticism, interpretation, etc,1900-1999","Detailed summary in vernacular filed,广义的中国新文学史写作, 包含中国新文学史著的编纂和相关文学史论文的撰写. 本书将以编年体形式展现1919- 1949年海内外的中国新文学史写作大致历程. 一方面, 对已经搜集到的每一文学史著与文学史论文依次编年展示, 同时简介它们的著者,出版社,出版时间,版本,开本,页数,字数等, 并对其重要的创新点进行提示性评述. 另一方面, 本书将这三十年的中国新文学史写作分为三个时期, 并以此编为三章. 每章之前概论每一时段中国新文学史写作的发展概貌,范型特点, 最后一章则对中国新文学史写作进行历史规律总结. 对于影响中国新文学史写作的重大政治,经济,文化事件本书也会适当提及, 以求诠解中国新文学史写作嬗替更迭的内外部原因","否"
"1037087358","9787520306300,7520306305","明代青楼文化与文学 = The brothel culture and literature in Ming Dynasty","刘士义, author","2018","chi","Book","PrintBook","Di 1 ban",2,"中国社会科学出版社","Beijing","Prostitutes in literature,Prostitution China History,Chinese literature History and criticism,Prostituées dans la littérature,Littérature chinoise Histoire et critique,Chinese literature,Prostitution,China,Criticism, interpretation, etc,History","明代青楼文化是中国女性文化中极为重要的一环,它代表着我国女妓文化的最高峰,是我国悠久的女妓传统与乐籍制度的有机统一.女妓文化发源于上古时代的巫祭与酒人,代表着女妓之乐舞与饮宴两大职业分支.明代青楼文化是行院与女妓的有机统一.行院是明代乐ʹ的基本组织单位,青楼是一个以家庭为基础的商业单元.行院人家以文人的生活方式构建了一种雅致别俗的家庭空间.文人冶游于烟花粉巷与青楼名妓缠绵悱恻,促发了大量的文学作品","否"
"1066130205","9787520325264,7520325261","1958-1966: 东方文学学科之起步 : 以北京师范大学为中心","何乃英, author","2018","chi","Book","PrintBook","Di 1 ban",2,"中国社会科学出版社","Beijing","Beijing shi fan da xue,Oriental literature History and criticism,Littérature orientale Histoire et critique,Oriental literature,Criticism, interpretation, etc","本书记述1958年至1966年间北京师范大学在全国大学中文系(文学院)率先创立东方文学学科(包括编写教学大纲和讲义)的过程, 并用今天的眼光审视这个过程及其结果, 与21世纪编写的同类教材进行比较, 论证当年所取得的成绩及其不足之处, 以便从中汲取经验和教训","否"
"1042362729","9787520322683,7520322688","""先锋""与""民间"" : 20世纪中国文学话语研究","刘继林, 1976- author","2018","chi","Book","PrintBook","Di 1 ban",2,"中国社会科学出版社","Beijing","Chinese literature History and criticism 20th century,Chinese poetry 20th century History and criticism,Littérature chinoise Histoire et critique 20e siècle,Poésie chinoise 20e siècle Histoire et critique,Zhong guo wen xue Dang dai wen xue Wen xue yan jiu,Chinese literature,Chinese poetry,Criticism, interpretation, etc,1900-1999","本书围绕20世纪中国文学的"" 先锋"" 和"" 民间"" 话语展开, 从话语理论的探讨和批评实践的历史出发, 结合20世纪中国文学研究, 湖北地域文学批评等前沿问题, 将经典作家作品个案解读, 特殊文学现象思潮研究, 整体社会历史文化观照等统摄起来, 为我们审视中国20世纪文学历史提供一定的学理参照和方法借鉴,本书围绕20世纪中国文学的"" 先锋"" 和"" 民间"" 话语展开, 从话语理论的探讨和批评实践的历史出发, 结合20世纪中国文学研究, 湖北地域文学批评等前沿问题, 将经典作家作品个案解读, 特殊文学现象思潮研究, 整体社会历史文化观照等统摄起来, 为我们审视中国20世纪文学历史提供一定的学理参照和方法借鉴","否"
"1028930555","9787520314534,7520314537","简帛文献与诸子时代文学思想研究","杨隽, author","2018","chi","Book","PrintBook","Di 1 ban",2,"中國社会科学出版社","Beijing","Inscriptions, Chinese History and criticism,Manuscripts, Chinese History,Chinese literature To 221 B.C. History and criticism,Inscriptions chinoises Histoire et critique,Littérature chinoise Jusqu'à 221 av. J.-C. Histoire et critique,Chinese literature,Inscriptions, Chinese,Manuscripts, Chinese,Criticism, interpretation, etc,History,To 221 B.C","上博简, 清华简, 郭店简, 马王堆汉墓简帛集成等大量出土文献是对传世文献的补充, 并且这些简帛文献集中反映了儒, 道两家的哲学思想, 文学思想, 因此本书立足于传世文献, 充分结合简帛文献, 重点考察西周礼乐""演诗""文化对诸子时代儒道群体政治思想, 人生追求, 审美理想的深刻影响","否"
"1042356082","9787516184684,7516184683","唐代山东士族的复兴与文学思潮","李建华, 1970 November- author","2018","chi","Book","PrintBook","Di 1 ban",2,"中國社会科学出版社","Beijing","Chinese literature Tang dynasty, 618-907 History and criticism,Littérature chinoise 618-907 (Dynastie des Tang) Histoire et critique,Zhong guo wen xue Gu dian wen xue yan jiu Tang dai,Chinese literature,Intellectual life,Tang Dynasty (China),Shandong Sheng (China) Intellectual life,China Intellectual life 221 B.C.-960 A.D,Shandong (Chine) Vie intellectuelle,Chine Vie intellectuelle 221 av. J.-C.-960,China,China Shandong Sheng,Criticism, interpretation, etc,221 B.C.-960 A.D","本书以唐代山东士族为研究对象, 研究他们的家族特点, 思想, 婚姻, 并着重探讨他们与唐代文学的关系","否"
"1086280983","9787520323277,7520323277","20世纪中国文学理论批评的现代转型","赖大仁, author","2018","chi","Book","PrintBook","Di 1 ban",2,"中国社会科学出版社","Beijing","Chinese literature History and criticism Theory, etc,Chinese literature 20th century History and criticism,Criticism History 20th century,Littérature chinoise Histoire et critique Théorie, etc,Littérature chinoise 20e siècle Histoire et critique,Critique Histoire 20e siècle,Zhong guo wen xue Wen xue ping lun 20 shi ji,Chinese literature,Criticism,Criticism, interpretation, etc,History,1900-1999","Ben shu dui 20 shi ji zhong guo wen xue li lun pi ping de xian dai zhuan xing jin xing zheng ti guan zhao, miao shu qi xian dai zhuan xing fa zhan de li shi jin cheng, shu li he ping xi qi zhong zui you dai biao xing de li lun xing tai, ba wo xian dai wen xue li lun pi ping zhuan xing fa zhan de zhu yao qu xiang, kao cha xian dai wen xue li lun pi ping xing tai jian gou yu shi dai bian ge fa zhan yao qiu zhi jian de guan xi,本书对20世纪中国文学理论批评的现代转型进行整体观照, 描述其现代转型发展的历史进程, 梳理和评析其中最有代表性的理论形态, 把握现代文学理论批评转型发展的主要趋向, 考察现代文学理论批评形态建构与时代变革发展要求之间的关系.在此基础上, 对新时期以来文学理论批评再次变革转型的发展趋向, 以及当代文学理论批评创新建构所面临的问题进行探讨.力求用当代意识观照历史, 从历史视野观照现实, 在历史性与当代性的双向观照中","否"
"1029881980","9787520319942,7520319946","文学语言变革与中国文学文体的现代转型","王佳琴, 1981- author","2018","chi","Book","PrintBook","Di 1 ban",3,"中国社会科学出版社","Beijing","Chinese literature History and criticism,Chinese language,Literary form,Chinese literature 20th century History and criticism,Littérature chinoise Histoire et critique,Chinois (Langue),Genres littéraires,Littérature chinoise 20e siècle Histoire et critique,Wen xue yu yan Yu yan yan bian Yan jiu Zhong guo Xian dai,Chinese literature,Criticism, interpretation, etc,1900-1999","Ben shu shi cong wen xue yu yan bian ge jiao du yan jiu Zhongguo wen xue wen ti xian dai zhuan xing de yi ben zhuan zhu. Wen xue xing shi shi wen xue shi fa zhan yan bian de zhong yao nei rong, wen xue yu yan shi ying xiang wen xue xing shi de guan jian yin su. Wu si wen xue ge ming shi zai bai hua dai ti wen yan de yu yan bian ge ji chu zhi shang wan cheng de, yu yan bian ge shi kao cha Zhongguo wen xue wen ti cong gu dian xiang xian dai zhuan xing de zhong yao qie kou. Ben shu cong wen xue yu yan ru shou, cong zong ti shang tan tao le yu yan bian ge dui wen ti gong neng, wen ti xing tai he wen ti ge ju zhuan xing de ying xiang, xiang xi fen xi le yu yan bian ge zuo yong yu xi ju, xiao shuo, shi ge, san wen ge lei wen ti ti cai cheng xu er dao zhi de wen ti zhuan xing, tan xi le yu yan bian ge dui wen ti shen tou zhe yi te shu de wen ti xian xiang xian dai zhuan xing de ying xiang. Tong shi, ben shu tiao chu wen xue de nei bu yan jiu, jiang yu yan bian ge huan yuan dao min zu gong tong yu sheng cheng de wen hua yu jing zhong, tan cha zhe yi yu yan xian shi dui wen ti zhuan xing de zuo yong qing xing. Lun ti de yan jiu ke yi wei ren shi Zhongguo wen xue de xian dai zhuan xing, wen xue de xian dai xing ji dang xia wen xue chuang zuo de yi xie yu yan kun jing deng wen ti ti gong qi shi,本书是从文学语言变革角度研究中国文学文体现代转型的一本专著. 文学形式是文学史发展演变的重要内容, 文学语言是影响文学形式的关键因素. 五四文学革命是在白话代替文言的语言变革基础之上完成的, 语言变革是考察中国文学文体从古典向现代转型的重要切口. 本书从文学语言入手, 从总体上探讨了语言变革对文体功能, 文体形态和文体格局转型的影响, 详细分析了语言变革作用于戏剧, 小说, 诗歌, 散文各类文体体裁程序而导致的文体转型, 探析了语言变革对文体渗透这一特殊的文体现象现代转型的影响. 同时, 本书跳出文学的内部研究, 将语言变革还原到民族共同语生成的文化语境中, 探察这一语言现实对文体转型的作用情形. 论题的研究可以为认识中国文学的现代转型, 文学的现代性及当下文学创作的一些语言困境等问题提供启示","否"
