"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1060403624","9787221147240,7221147248","人生就是欢声和泪盈","陈忠实, 1942-2016, author","2018","chi","Book","PrintBook","Di 1 ban",2,"贵州人民出版社","Guiyang","Chen, Zhongshi, 1942-2016","本书是陈忠实先生的散文精选集, 书中收录了陈老关于人生各个阶段的回忆和思考, 其中饱含对故乡土地的深情, 对人生的探究, 对生命的感悟 ... 每个人都在孤独中成长, 每一次成长都满载着欢声和泪盈. 陈老一生坚实硬朗, 为人坦荡. 他热爱生活, 在朴实中发现生活的真谛, 收获生命的欣喜. 虽然一生历经波折, 但也绝不会向命运低头, 违背本心去生活. 陈老深信, 人的一生定要追求点儿什么, 留下点儿什么. 走进陈忠实的内心世界, 感受况味人生","否"
"1028596346","9787208149601,7208149607","莫言文学怪诞的功能价值 = The functional value of Mo Yan's literary grotesque","刘法民, 1945- author","2018","chi","Book","PrintBook","Di 1 ban",2,"上海人民出版社","Shanghai","Mo, Yan, 1955- Criticism and interpretation,Mo, Yan, 1955-,Criticism, interpretation, etc","本书以审美形态学方法寻找莫言文学怪诞的功能价值.给怪诞审美形态下一个本质定义,以此为标准细读莫言诺奖作品,筛选出典型怪诞审美形态实例600多个","否"
"1080516144","9787010192468,7010192464","后现代主义思潮与中国新时期小说 = Houxiandai zhuyi sichao yu Zhongguo xinshiqi xiaoshuo = Hou xiandai zhuyi sichao yu Zhongguo xinshiqi xiaoshuo","王源, author","2018","chi","Book","PrintBook","Di 1 ban",1,"人民出版社","Beijing Shi","Postmodernism (Literature) China,Chinese fiction 20th century History and criticism,Postmodernisme (Littérature) Chine,Roman chinois 20e siècle Histoire et critique,Chinese fiction,Postmodernism (Literature),China,Criticism, interpretation, etc,1900-1999","","否"
"1042458937","9787010188867,7010188866","第三维度 : 平民理论视野下的中国当代小说 = Disanweidu : pingmin lilun shiye xia de Zhongguo dangdai xiaoshuo","刘志权, author","2018","chi","Book","PrintBook","Di 1 ban",1,"人民出版社","Beijing Shi","Chinese fiction 21st century History and criticism,Roman chinois 21e siècle Histoire et critique,Xiao shuo yan jiu Zhong guo Dang dai,Chinese fiction,Chinese literature,Criticism, interpretation, etc,2000-2099,1900-2099","Summary in vernacular field only","否"
"1049933593","9787010185521,7010185522","清人宋诗选与清代文化论稿 = Qingren songshixuan yu qingdai wenhua lungao","谢海林, 1979- author","2018","chi","Book","PrintBook","Di 1 ban",3,"人民出版社","Beijing Shi","Chinese poetry Song dynasty, 960-1279 History and criticism,Poésie chinoise 960-1279 (Dynastie des Song) Histoire et critique,Chinese poetry,Song Dynasty (China),Criticism, interpretation, etc,960-1279","","否"
"1040061624","9787010183848,7010183848","阿瑟·韦利汉学研究策略考辨","冀爱莲, 1973- author","2018","chi","Book","PrintBook","Di 1 ban",2,"人民出版社","Beijing Shi","Waley, Arthur,Education,China Study and teaching Great Britain History 20th century,Chine Étude et enseignement Grande-Bretagne Histoire 20e siècle,China,Great Britain,History,1900-1999","","否"
"1042353568","9787215112957,7215112950","出土简牍与社会治理研究 : 以《银雀山汉墓竹简[贰]》为中心","阎盛国, 1972- author","2018","chi","Book","PrintBook","Di 1 ban",1,"河南人民出版社","Zhengzhou Shi","Inscriptions, Chinese History and criticism,Inscriptions chinoises Histoire et critique,Inscriptions, Chinese,Social policy,China Social policy,China,Criticism, interpretation, etc","本书采用"" 二重证据法"" "" 关键字解读法"" "" 异简互证法"" "" 同简参证法"" "" 计量史学研究法"", 对""银雀山汉墓竹简[贰]""中蕴涵的灾害治理观念, 社会治理内容, 社会治理意识, 治国理想模式等作出解读, 从中凸显中国早期社会治理观念与实践中"" 追求功利"" "" 经世致用"" "" 政出阴阳"" 的色彩, 为研究中国社会治理思想的源流提供学术参考","否"
"1086331417","9787010200408,7010200408","中国早期文化与诗歌研究 = The study on early Chinese culture and poetry = Zhongguo zaoqi wenhua yu shige yanjiu","刘怀荣, 1965- author","2018","chi","Book","PrintBook","Di 1 ban",2,"人民出版社","Beijing Shi","Chinese poetry History and criticism,Chinese poetry Social aspects,Poésie chinoise Histoire et critique,Poésie chinoise Aspect social,Zhong hua wen hua Yan jiu,Shi ge yan jiu Zhong guo,Chinese poetry,Civilization,China Civilization,Chine Civilisation,China,Criticism, interpretation, etc","本书主要从两个方面入手, 一是在重视诗歌发生学的前提下, 充分关注诗歌固有的社会功能及诗歌与各种文化, 礼俗, 制度之间的关系, 尝试对中国诗歌类型的形成, 定型过程做出若干个案剖析, 对诗歌及诗学史上的传统命题进行重新思考. 二是把先秦至魏晋南北朝作为一个相对完整的发展阶段, 对各种诗歌类型在初步定型后所呈现的主题, 意象和艺术表达的民族化特征进行重新解读, 关注其艺术特征形成的早期文化动力, 力求能有新的发现. 本书主要选择桑崇拜文化, 道神崇拜, 进谏制度, 牛女神话和七夕节, 土地崇拜, 神仙信仰, 侠文化与诗歌之关系等个案, 探讨了中国早期文化及神话, 风俗对诗歌内容, 情感, 语言特点的影响. 力求对诗歌的民族性特点进行神话学, 文化学及社会学等多方面的解读","否"
"1024112171","9787010176598,7010176590","宋人词选与宋代社会文化研究 = Songren cixuan yu Songdai shehui wenhua yanjiu","薛泉, author","2018","chi","Book","PrintBook","Di 1 ban",2,"人民出版社","Beijing Shi","Chinese poetry Song dynasty, 960-1279 History and criticism,Ci (Chinese poetry) History and criticism,Poets, Chinese,Poésie chinoise 960-1279 (Dynastie des Song) Histoire et critique,Ci (Poésie chinoise) Histoire et critique,Poètes chinois,Chinese poetry,Ci (Chinese poetry),Civilization,Social conditions,Song Dynasty (China),China Civilization 960-1644,China Social conditions 960-1644,Chine Civilisation 960-1644,Chine Conditions sociales 960-1644,China,Criticism, interpretation, etc,960-1644","书稿在前人研究基础上, 拟从宋人词选兴盛的社会文化原因, 词学批评与审美功能, 宋代社会文化背景下的宋人词选选词类型三个维度, 加以探研, 以期能在一定程度上拓宽词学研究的视野, 为新世纪词学研究提供较新的研究视角.研究了以下几个问题:其一, 宋人词选兴盛的社会文化原因综合性研究, 牵涉甚少.其二, 选词标准, 选词方法, 虽有涉猎, 但多为只言片语, 不成体系","否"
"1086280026","9787010197012,7010197016","复社文人的""诗经""学研究 = Fushe wenren de shijingxue yanjiu","受志敏, 1970- author","2018","chi","Book","PrintBook","Di 1 ban",1,"人民出版社","Beijing","Shi jing Study and teaching,Shi jing,Shi jing Shi ge yan jiu,Gu dian shi ge Shi ge yan jiu Zhong guo Xian qin shi dai,Education,China History Ming dynasty, 1368-1644,Chine Histoire 1368-1644 (Dynastie des Ming),China,History,1368-1644","Ben shu gong si zhang, zhu yao nei rong bao gua : fu she yu ming dai "" shi jing xue "" ; fu she wen ren wen xue ping xi pai "" shi jing "" xue yan jiu ; fu she wen ren ke ju lei "" shi jing "" xue yan jiu ; fu she wen ren shi hua "" shi jing "" xue yan jiu,明代心学末流束书不观的空疏学风影响了经学研究.晚明时期, 复社作为有影响的社团, 试图反拨空疏学风, 其'兴复古学, 务为有用'的学术诉求给晚明""诗经""学带来了影响.第一章总论了复社文人""诗经""学著述情况及其""诗经""学的特点.分论部分将复社文人的""诗经""学分为文学评析类, 科举考试类, 诗话""诗经""学三个大类进行研究.文学评析类以万时华的""诗经偶笺""和贺贻孙的""诗触""为考察对象, 二者都呈现出""诗经""文学解经的","否"
