"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1031309803","9787100158220,7100158222","沈从文小说的民族国家想象研究","吴翔宇, author","2018","chi","Book","PrintBook","Di 1 ban",1,"商務印書館","Beijing","Shen, Congwen, 1902-1988 Criticism and interpretation,Shencongwen, (1902-1988) Xiaoshuoyanjiu,Shen, Congwen, 1902-1988,Chinese fiction 20th century History and criticism,Roman chinois 20e siècle Histoire et critique,Chinese fiction,Criticism, interpretation, etc,1900-1999","Summary in Chinese field only,本书将沈从文的小说置于现代民族国家想象的现代性框架中予以考察, 在""乡土中国""和""现代中国""动态的话语结构中系统梳理沈从文小说实践的文化机制与精神立场","否"
"1027870357","9787100149723,710014972X","郑振铎日记","郑振铎, 1898-1958, author","2018","chi","Book","PrintBook","Di 1 ban",1,"商务印书馆","Beijing","Zheng, Zhenduo, 1898-1958 Diaries,Zhengzhenduo, (1898-1958) Riji,Zheng, Zhenduo, 1898-1958,Authors, Chinese 20th century Diaries,Écrivains chinois 20e siècle Journaux intimes,Zuo jia Ri ji Zhong guo Xian dai,Authors, Chinese,diaries,Diaries,Journaux intimes,1900-1999","Summary in vernacular field only,郑振铎是我国近代著名的文学家,文学史家,又是一位杰出的文献学家,艺术史家,考古学家,编辑出版家和藏书家.""郑振铎日记全编""整理历时二十多年.包括欧行日记,残存的海外日记,求书日录,残存的四天日记,残存的访书日录,一九四三年蛰居日记等,它在目前已出版的各种版本的郑振铎日记中是收集最全的,全书有七十多万字,因此有很强的资料性","否"
"1078651782","9787100161701,7100161703","浮现语法 : 基于汉语口语和书面语的研究","方梅, author","2018","chi","Book","PrintBook","Di 1 ban",1,"商务印书馆","Beijing","Chinese language Grammar,Chinese language Spoken Chinese,Chinese language Style,Chinois (Langue) Grammaire,Han yu Kou yu Yu fa Yan jiu,Han yu Shu mian yu Yu fa Yan jiu,Chinese language,Conversation and phrase books","Ben shu yi gong neng zhu yi li nian wei ji chu, tong guo dui kou yu he shu mian yu cai liao de kao cha, tao lun gong shi cha yi bei hou de yan bian ji zhi he gong neng dong yin, tan qiu han yu li yu fa hua de yu yong tiao jian he yu yong hua de ju fa-yu yi tiao jian","否"
"1027878272","9787100154765,7100154766","探寻中华文化的基因. 一","复旦大学(Shanghai, China).","2018","chi","Book","PrintBook","Di 1 ban",1,"商务印书馆","Beijing","Inscriptions, Chinese History and criticism,Chinese philology,Inscriptions chinoises Histoire et critique,Philologie chinoise,Inscriptions, Chinese,Civilization,China Civilization,Chine Civilisation,China,Criticism, interpretation, etc","本书共收录复旦大学中文学科建立以来包括裘锡圭, 刘钊, 陈剑, 陈斯鹏, 金赫, 苗丰, 谢明文, 邬可晶, 广濑薰雄等师生论文二十三篇, 并将根据内容分辑.本册内容相对偏向古文字和出土文献本身方面的研究.书后附有'编后记'总述本书主要内容及编选原则等","否"
"1047458694","9787100154888,710015488X","抉精要以会通","陈广宏","2018","chi","Book","PrintBook","Di 1 ban",1,"商务印书馆","Beijing","Chinese literature Ming dynasty, 1368-1644 History and criticism,Littérature chinoise 1368-1644 (Dynastie des Ming) Histoire et critique,Zhong guo wen xue Gu dian wen xue yan jiu Ming dai Wen ji,Chinese literature Ming dynasty,Criticism, interpretation, etc,1368-1644","本书共收录复旦大学中文系建系以来包括郭绍虞, 章培恒, 赵景深, 刘明今等先生在内的本系教师关于中国文学批评史的代表性论文总计二十一篇, 涉及明代文人集团, 明代演剧, 明代词话, 明代小说各方面, 书后附有'编后记'总述本书主要内容及编选原则等","否"
"1027875323","9787100154826,7100154820","使先生和后生相印","郜元宝","2018","chi","Book","PrintBook","Di 1 ban",2,"商务印书馆","Beijing","Lu, Xun, 1881-1936 Criticism and interpretation,Lu, Xun, 1881-1936,Chinese literature History and criticism,Littérature chinoise Histoire et critique,Chinese literature,Criticism, interpretation, etc","本书共收录复旦大学中文学科建立以来包括赵景深, 刘大杰, 王运熙, 陈鸣树, 等先生在内的围绕鲁迅的研究论文代表作三十五篇, 并根据内容分为鲁迅与世界文学, 鲁迅与中国古代文学, 鲁迅与现代人物, 鲁迅作品解读, 鲁迅思想综论, 鲁迅研究的研究六辑, 书后附有'编后记'说明编选原则等","否"
"1053904782","9787100162135,7100162130","慤书","蒋德璟, 1593-1646, author","2018","chi","Book","PrintBook","Di 1 ban",1,"商务印书馆","Beijing","Chinese classics,Chinese literature Ming dynasty, 1368-1644 History and criticism Theory, etc,Classiques (Littérature chinoise),Littérature chinoise 1368-1644 (Dynastie des Ming) Histoire et critique Théorie, etc,Criticism, interpretation, etc,1368-1644","""慤书""是晚明著名政治家, 泉州人蒋德璟的文集, 是其晚年从政的真实记录. 原本十二卷, 现缺卷一, 卷六两卷. 主要收录了蒋德璟代皇帝所拟祭文, 谕旨, 敕文, 以及记(纪), 疏, 考, 咨文, 记注, 论, 册文, 策论, 奏对, 揭帖等等","否"
"1237704790","9787100158060,7100158060","经典三读","王蒙, 1934- author","2018","chi","Book","PrintBook","Di 1 ban",1,"商务印书馆","Beijing","Confucius Criticism and interpretation,Zhuangzi Criticism and interpretation,Li, Shangyin, 813-858 Criticism and interpretation,Cao, Xueqin, approximately 1717-1763. Criticism and interpretation,Kongqiu, (qian551-qian479) Zhexuesixiang Yanjiu,Zhuangzhou, (yueqian369-qian286) Zhexuesixiang Yanjiu,Lishangyin, (812-yue858) Tangshi Shigeyanjiu,Confucius,Li, Shangyin, 813-858,Zhuangzi,Hong lou meng (Cao, Xueqin),""hong lou meng "" yan jiu,Criticism, interpretation, etc","本书共16篇, 其中涉及孔子与老庄思想的文章3篇, 对孔子所谓""斯文""的理想, 老子的辩证思想和老庄的治国理政思想进行了深入分析; 探讨李商隐诗作的文章7篇, 由<锦瑟>切入, 揭开义山诗作的迂回与绮丽之美以及诗作与诗人经历之间的密切关系; 解读<红楼梦>的文章6篇, 对<红楼梦>研究中的问题进行了全面的点评和概述","否"
"1117304936","9787100163781,7100163781","语汇答问","温端政, author","2018","chi","Book","PrintBook","Di 1 ban",1,"商务印书馆","Beijing","Chinese language Lexicography,Chinese language Terms and phrases,Chinese language Modern Chinese, 1919-,Chinois (Langue) Lexicographie,Chinois (Langue) Mots et locutions,Chinois (Langue) 1919- (Chinois moderne),Han yu Ci hui xue Wen ti jie da,Chinese language,Chinese language Modern Chinese,Dictionaries,Since 1919","本书属'汉语知识丛书'.全书收集了语汇学理论提出后, 语言学界针对语汇和语汇学研究的不同意见和质疑, 在简单叙述有关背景的基础上进行回答.正文分九部分, 内容涉及'语', '语汇', '语汇学', '语典学'等各个方面","否"
"1029836559","9787100154789,7100154782","革新与开拓","张豫峰","2018","chi","Book","PrintBook","Di 1 ban",1,"商务印书馆","Beijing","Chinese language Grammar,Chinese language Modern Chinese, 1919-,Chinois (Langue) Grammaire,Chinois (Langue) 1919- (Chinois moderne),Chinese language Modern Chinese,Since 1919","本书共收录复旦大学中文学科建立以来包括陈望道, 胡裕树, 范晓, 游汝杰, 戴耀晶等先生关于汉语语法研究代表性论文共计二十四篇. 根据内容, 分为汉语语法理论与方法, 汉语语法描写与解释两辑; 其中第二辑又分为现代汉语, 古代汉语两部分","否"
