"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1256986045","","功能视角下的汉语专题研究","彭宣维, 1963- author","2018","chi","Book","Digital","Di 1 ban",2,"外语教学与研究出版社","Beijing","Chinese language,Chinois (Langue)","","否"
"1348339731","","美国自然文学三十讲","程虹, author","2018","chi","Book","Digital","Zeng ding ban",4,"外语教学与研究出版社","Beijing","","本书共分9章,内容包括:美国自然文学的源起与发展、自然文学的新大陆特征、自然文学中的超验主义影响、自然文学中的荒野情结、自然文学中的英伦文化传统、自然文学中的女性作家、自然文学中的土地伦理、自然文学中的心灵慰藉等","否"
"1097897869","9787513596916,7513596913","语言规划与语言教育 = Language planning and education","弗格森 (Ferguson, Gibson)","2018","chi","Book","PrintBook","Di 1 ban",1,"外语教学与研究出版社","Beijing","Chinese language Standardization,Chinois (Langue) Normalisation,Yu yan gui hua Yan jiu,Yu yan jiao xue Yan jiu","Ben shu shen ru tan tao le yu yan gui hua ling yu zhong yu jiao yu xiang guan de yi xie he xin yi ti,Bao kuo shuang yu jiao yu,Yu yan fu xing,Ying yu de quan qiu chuan bo,Hou zhi min she hui jiao xue mei jie yu yan de xuan ze deng,本书深入探讨了语言规划领域中与教育相关的一些核心议题,包括双语教育,语言复兴,英语的全球传播,后殖民社会教学媒介语言的选择等","否"
"1125014115","9787521305654,7521305655","中文小说英译研究 = Studies on English translation of Chinese fiction","王颖冲, author","2018","chi","Book","PrintBook","Di 1 ban",2,"外语教学与研究出版社","Beijing","Chinese fiction Translations into English History and criticism,Translating and interpreting,Chinese fiction","《中文小说英译研究》是关于中国中文小说,特别是现当代小说英译研究的研究,旨在探讨国内外对中文小说英译的研究脉络、最新发现、发展趋势和建议.全书共五章.第一章全面介绍中国文学英译的综述类研究,呈现译介和译介研究的全景.第二至五章分别深入探讨作家与作品研究、译者研究、译介过程研究和传播与接受研究等四大分支,对现有成果进行分类述评与阐释,并对未来研究的方向和方法提出展望和建议.本书旨在帮助读者了解中文小说英译的研究现状和前景,进而思考与此话题相关的研究该从何处着眼、何处入手,为致力于文学译介研究的硕博研究生和研究者提供选题参考","否"
"1097642281","9787513598347,7513598347","翻译与规范 = Translation and norms","谢芙娜","2018","chi","Book","PrintBook","Di 1 ban",3,"外语教学与研究出版社","Beijing","Fan yi Gui fan Wen ji","Ben shu bao kuo 12 ge zhang jie,Qi zhong liang ge zhang jie wei liang ci bian lun,Qi yu 10 ge zhang jie fen bie you lai zi bu tong guo jia he di qu de 8 wei xue zhe zhuan xie er cheng.Lun ti chu le fan yi gui fan zhi wai,Hai she ji fan yi biao zhun,Deng zhi li lun,Wen xue fan yi yu fei wen xue fan yi deng zhong yao hua ti,本书包括12个章节,其中两个章节为两次辩论,其余10个章节分别由来自不同国家和地区的8位学者撰写而成.论题除了翻译规范之外,还涉及翻译标准,等值理论,文学翻译与非文学翻译等重要话题","否"
"1126586977","9787521303100,7521303105","英汉""言者导向语""对比研究 : 事件语义视角","孔蕾, author","2018","chi","Book","PrintBook","Di 1 ban",2,"外语教学与研究出版社","Beijing","Semantics, Comparative,Chinese language Semantics,English language Semantics,Sémantique comparée,Chinois (Langue) Sémantique,Ying yu Yu yi Dui bi yan jiu Han yu","本书以事件语义为对比基础, 分析了关涉言者主观态度的概念语义信息在英汉语中的实现方式及其在两种语言中词汇化和语用化的差异, 并借此探讨英汉语在编码方式上表现出的类型学特征.另外, 本书还辅以多语言证据, 考察不同类型的语言中关涉言者态度的概念语义信息的编码方式以及语言的形态特征与""言者导向语""词汇化之间的关系;研究在概念语义, 事件语义, 词汇化, 语用化等多个相互关联的领域内考察不同语言中的同一语用现象.多领域结合也有望为对比语言研究提供新的, 更具张力的观察视角","否"
"1252391059","9787521306156,7521306155","外国文学通览. 2017","金莉","2018","chi","Book","PrintBook","Di 1 ban",1,"外语教学与研究出版社","Beijing Shi","Literature History and criticism,Littérature Histoire et critique,Wai guo wen xue Wen xue yan jiu,Literature,Criticism, interpretation, etc","本书盘点和梳理了2017年各国的文学成就, 意义和经验, 展示各国文学界在这一年中的重要事件和文学潮流变迁, 探讨各国作家的思想探索和艺术追求, 为读者描绘了一幅2017年的世界文学版图","否"
"1199121630","9787513599498,7513599491","翻译质量评价的标准与自动评价方法研究","秦颖.","2018","chi","Book","PrintBook","Di 1 ban",1,"外语教学与研究出版社","Beijing","Translating and interpreting Evaluation,Functionalism (Linguistics) Evaluation,Fonctionnalisme (Linguistique) Évaluation,Fan yi Yan jiu","本书阐述了翻译质量评价相关的理论问题和技术问题,既有语言学角度的评价标准研究,也包括在自动评测方向上的探索;具体包括翻译质量评价标准和评价体系的构建,译文质量自动评测的十多种算法和开放评测平台,译文错误的识别问题,翻译错误语料库的构建等重要方面,从多个维度对翻译质量评价的研究进行了拓展","否"
"1114269967","7521303261,9787521303261","中德跨文化高级口译教程 = Chinesisch-Deutsches Konsekutivdolmetschen ein Lehrwerk aus Interkultureller Perspektive für Fortgeschrittene","宋健飞","2018","chi","Book","PrintBook","Di 1 ban",1,"外语教学与研究出版社","Beijing Shi","German language Textbooks for foreign speakers Chinese,German language Translating into Chinese,Chinese language Translating into German,Allemand (Langue) Traduction en chinois,Chinois (Langue) Traduction en allemand,De yu Kou yi Gao deng xue xiao Jiao cai,German language,Textbooks for Chinese speakers","","否"
"1178852046","9787513542272,7513542279","生存游戏 : [英汉对照] = Survive","布鲁克 (Brooke,Helen)","2014","chi","Book","PrintBook","Di 1 ban",3,"外语教学与研究出版社","Beijing","Ying yu Han yu Dui zhao du wu,Duan pian xiao shuo Ying guo Xiandai","","否"
