"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1028596346","9787208149601,7208149607","莫言文学怪诞的功能价值 = The functional value of Mo Yan's literary grotesque","刘法民, 1945- author","2018","chi","Book","PrintBook","Di 1 ban",2,"上海人民出版社","Shanghai","Mo, Yan, 1955- Criticism and interpretation,Mo, Yan, 1955-,Criticism, interpretation, etc","本书以审美形态学方法寻找莫言文学怪诞的功能价值.给怪诞审美形态下一个本质定义,以此为标准细读莫言诺奖作品,筛选出典型怪诞审美形态实例600多个","否"
"1153693493","9787208163249,7208163243","水浒寻宋","虞云国, author","2020","chi","Book","PrintBook","Di 1 ban",2,"上海人民出版社","Shanghai","Shui hu zhuan,Manners and customs,Song Dynasty (China),China Social life and customs 960-1644,China History Song dynasty, 960-1279,Chine Mœurs et coutumes 960-1644,Chine Histoire 960-1279 (Dynastie des Song),China,Chinese language materials,History,960-1644","","否"
"1351728930","9787208178311,7208178313","一个女人的故事 / Une femme / Annie Ernaux","Annie Ernaux","2022","chi","Book","PrintBook","Di 1 ban, Quan xin xiu ding ban",1,"上海人民出版社","Shanghai","Ernaux, Annie, 1940- Family,Ernaux, Annie, 1940-,Women authors, French 20th century Biography,Mothers France Biography,Alzheimer's disease,Authors, French 20th century Family relationships,French fiction Translations into Chinese,Alzheimer Disease,Écrivaines françaises 20e siècle Biographies,Mères France Biographies,Maladie d'Alzheimer,Écrivains français 20e siècle Relations familiales,Women authors, French,Authors, French Family relationships,Families,Mothers,France,Biographies,1900-1999","","否"
"1089172683","9787208155299,7208155291","中国近现代涉关小说研究 (1804-1949)","杨国明, 1969- author","2018","chi","Book","PrintBook","Di 1 ban",3,"上海人民出版社","Shanghai","Chinese fiction 19th century History and criticism,Chinese fiction 20th century History and criticism,Roman chinois 19e siècle Histoire et critique,Roman chinois 20e siècle Histoire et critique,Xiao shuo yan jiu Zhong guo 1804-1949,Chinese fiction,Criticism, interpretation, etc,1800-1999","","否"
"1257758960","9787208168916,7208168911","两间驻望 : 中西互动下的中国现代文学","李欧梵, speaker","2021","chi","Book","PrintBook","Di 1 ban",1,"上海人民出版社","Shanghai","Chinese literature 20th century History and criticism,Littérature chinoise 20e siècle Histoire et critique,Chinese literature,Criticism, interpretation, etc,1900-1999","","否"
"1086364765","9787208155336,720815533X","西方文论中的中国","吴娱玉, author","2018","chi","Book","PrintBook","Di 1 ban",2,"上海人民出版社","Shanghai","Literature Philosophy History,Art Philosophy History,Art Philosophie Histoire,Wen yi li lun Xi fang guo jia,Art Philosophy,Civilization,Literature Philosophy,China Civilization,Chine Civilisation,China,History","","否"
"1351738551","9787208178335,720817833X","一个女孩的记忆 / Mémoire de fille / Annie Ernaux","Annie Ernaux","2022","chi","Book","PrintBook","Di 1 ban, Quan xin xiu ding ban",1,"上海人民出版社","Shanghai","Ernaux, Annie, 1940-,Authors, French 20th century Biography,Authors, French 21st century Biography,Écrivains français 20e siècle Biographies,Écrivains français 21e siècle Biographies,Authors, French,autobiographies (literary works),Autobiographies,Biographies,1900-2099","","否"
"1280555553","9787208171831,7208171831","明暗之间 : 鲁迅传 = 魯迅・花のため腐草となる","丸尾常喜, 1937- author","2021","chi","Book","PrintBook","Di 1 ban",1,"上海人民出版社","Shanghai Shi","Lu, Xun, 1881-1936,Authors, Chinese 20th century Biography,Écrivains chinois 20e siècle Biographies,Authors, Chinese,Biographies,1900-1999","本书为日本鲁迅研究学者丸尾常喜撰写的鲁迅传记, 结合鲁迅的原著文本和生活轨迹展现了鲁迅一生为国家, 为民族甘于奉献的精神和形象. 全书共分九章, 以鲁迅生平移动轨迹为章节, 沿绍兴-南京-日本-杭州, 绍兴-北京-厦门, 广州-上海, 叙述鲁迅生平及思想文学的变迁, 对鲁迅各个时期的重点作品等进行了具体分析. 同时, 书中也介绍了鲁迅所处时代社会环境和思想氛围对其文学创作的影响. 全书叙述简练, 语言流畅, 提出了诸多今天已经获得国内外鲁迅研究界广泛认可的论断. 本书于鲁迅诞辰140周年之际推出, 将有助于广大读者对鲁迅乃至中国文化史的认识与理解","否"
"1265082899","9787208170483,7208170487","十九世纪西方演剧与晚清国人的接受","孙柏, 1975- author","2021","chi","Book","PrintBook","Di 1 ban",3,"上海人民出版社","[Shanghai]","Drama History and criticism,Theater China Western influences,Theater China History 19th century,Chinese drama 19th century History and criticism,Théâtre (Genre littéraire) Histoire et critique,Théâtre Chine Influence occidentale,Théâtre Chine Histoire 19e siècle,Théâtre chinois 19e siècle Histoire et critique,Chinese drama,Drama,Theater,China,Criticism, interpretation, etc,History,1800-1899","","否"
"1257019103","9787208166226,7208166226","南北朝墓志集成","王连龙, author","2021","chi","Book","PrintBook","Di 1 ban",1,"上海人民出版社","Shanghai","Epitaphs China History Three kingdoms-Sui dynasty, 220-618,Inscriptions, Chinese History Three kingdoms-Sui dynasty, 220-618,Épitaphes Chine Histoire 220-618 (Trois Royaumes-Dynastie des Sui),Inscriptions chinoises Histoire 220-618 (Trois Royaumes-Dynastie des Sui),China,History,220-618","Detailed summary in vernacular field","否"
