"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1135227041","9787520515634,752051563X","日本大众文化语境下的中国「四大名著」","赵莹, 1977- author","2020","chi","Book","PrintBook","Beijing di 1 ban",3,"中国文史出版社","Beijing Shi","Chinese fiction Ming dynasty, 1368-1644 Translations into Japanese History and criticism,Japanese literature Chinese influences,Littérature japonaise Influence chinoise,Criticism, interpretation, etc,1368-1644","中日之间一衣带水,文学交流源远流长.日本江ʹ时期,随着市民文化的勃兴,当时输入日本的中国小说得以广为接受.通过不同时期的文化过滤,""三国演义"",""水浒传"",""西游记"",""金瓶梅"",""红楼梦""五部小说与日本文学和文化相互融合,呈现出不同的文学特质和表现形式,体现接受者的创造性叛逆.本书关注日本大众文化语境下的中国'四大名著',因为不同时期和地域的发展历史和文化差异,四大名著不仅指大众通常所熟知的""三国演义"",""水浒传"",""西游记""和""红楼梦"",还包括与前三部并称四大奇书的""金瓶梅"".五部中国明清白话小说先后于江ʹ时期传播到日本,与日本文学文化相互融合,对日本大众文化影响深远,这种影响延续至今","否"
"1114306134","9787520503372,7520503372","执拗的拓荒者 : 回忆沈从文","季羡林, 1911-2009, author","2019","chi","Book","PrintBook","Beijing di 1 ban",2,"中国文史出版社","Beijing Shi","Shen, Congwen, 1902-1988,Shencongwen, (1902-1988) Huiyilu,Authors, Chinese 20th century Biography,Écrivains chinois 20e siècle Biographies,Authors, Chinese,Biography,Biographies,1900-1999","本书收录了季羡林, 巴金, 汪曾祺, 梁实秋, 施蛰存等人的40余篇回忆沈从文的文章, 从多个角度真实地再现了沈从文从一个""乡下人""到文坛巨匠的跌宕起伏的人生经历和文学成就","否"
"1090687627","9787520508001,7520508005","鲁迅新观察","张映勤, author","2019","chi","Book","PrintBook","Di 1 ban",3,"中国文史出版社","Beijing","Lu, Xun, 1881-1936 Criticism and interpretation,Lu, Xun, 1881-1936,Criticism, interpretation, etc","本书系作者研究鲁迅的随笔集,内容涉及多年来鲁迅研究中不被人注意的话题,如:鲁迅、周作人兄弟反目问题、朱安夫人出售鲁迅藏书风波、鲁迅为什么不回绍兴、""弃医从文""新解、鲁迅为什么离开北京鲁迅当过教授吗等等","否"
"1129243793","9787520508025,7520508021","历史的光影 : 程伟元与《红楼梦》 = Lishi de guangying","胡文彬, author","2020","chi","Book","PrintBook","Beijing di 1 ban",1,"中国文史出版社","Beijing","Cao, Xueqin, approximately 1717-1763,Hong lou meng (Cao, Xueqin)","历史的光影: 程伟元与《红楼梦》以翔实的文献作基础, 历十数年的认真考辨, 证明程伟元在红楼梦阅读, 传播史上的重大贡献! 程甲乙本开启了""红楼梦""活字版的新时代, 扩大""红楼梦""的流传方式和地域, 从而使这部文学经典走向世界! 作者期待本书的出版能够使读者对程伟元的生平事迹和印刷程甲乙本的功绩有一个全面的了解和认识!","否"
"1112470784","9787520504041,7520504042","不因畏难而搁笔 : 回忆老舍",,"2019","chi","Book","PrintBook","Beijing di 1 ban",3,"中国文史出版社","Beijing Shi","Lao, She, 1899-1966,Laoshe, (1899-1966) Jinianwenji,Authors, Chinese 20th century Biography,Écrivains chinois 20e siècle Biographies,Authors, Chinese,Biography,Biographies,1900-1999","Ben shu gong fen si ji, shou lu le "" lao she yu xiao yang jia hu tong "" "" wu shu lao shi ma yong kui "" "" yi lao she yu wen xie "" "" yu qi bai shi de yi duan jiao wang "" "" lao she jian ying "" deng wen zhang","否"
"1112661042","9787520503679,7520503674","荷塘边的不朽背影 : 回忆朱自清","江苏省政协文史资料委员会","2019","chi","Book","PrintBook","Beijing di 1 ban",3,"中国文史出版社","Beijing Shi","Zhu, Ziqing, 1898-1948,Zhuziqing, (1898-1948) Huiyilu,Authors, Chinese 20th century Biography,Écrivains chinois 20e siècle Biographies,Authors, Chinese,Biography,Biographies,1900-1999","Ben shu shou lu le "" zhui yi zhu zi qing "" "" kun ming sheng huo ban nian jian "" "" zhu zi qing de zu ji "" "" zhu zi qing sheng ping shi lue "" "" yi zhu pei xian xian sheng "" "" zhu zi qing xian sheng suo yi "" deng wen zhang","否"
"1196339268","9787520517966,7520517969","沈从文与张兆和 : 一生眷恋","乌合, author","2020","chi","Book","PrintBook","Beijing di 1 ban",2,"中国文史出版社","Beijing Shi","Shen, Congwen, 1902-1988,Zhang, Zhaohe, 1910-2003,Authors, Chinese 20th century Biography,Écrivains chinois 20e siècle Biographies,Authors, Chinese,Biography,Biographies,1900-1999","","否"
"1341874048","","知堂谈吃 : 人生一饱","周作人, 1885-1967, author","2020","chi","Book","Digital","Di 1 ban",12,"中国文史出版社","Beijing","Chinese essays 20th century,Food in literature,Aliments dans la littérature,Essais chinois 20e siècle,Chinese essays,1900-1999","","否"
"1319857895","","蒋介石在大陆的最后日子","田闻一, author","2019","chi","Book","Digital",,3,"中国文史出版社","Beijing","Politics and government,China","","否"
"1341198132","","鲁迅先生二三事","孙伏园, author","2020","chi","Book","Digital","Beijing di 1 ban",15,"中国文史出版社","Beijing","","本书收录孙伏园回忆鲁迅先生的十余篇短文.孙伏园为鲁迅在绍兴初级师范学堂任堂长时的学生, 在北京主编《晨报副刊》《京报副刊》时曾得到鲁迅的支持, 后在厦门大学和广州中山大学任教时与鲁迅同事, 因此与前期的鲁迅来往不少;因此在书中记录了鲁迅的一些事迹和谈话, 是研究鲁迅十分有价值的参考资料","否"
