"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1255175071","9787559837097,7559837093","乡下人 : 沈从文与近代中国1902-1947","孙德鹏, author","2021","chi","Book","PrintBook","Di 1 ban",2,"广西师范大学出版社","Guilin Shi","Shen, Congwen, 1902-1988 Criticism and interpretation,Shen, Congwen, 1902-1988,Chinese literature 20th century History and criticism,Littérature chinoise 20e siècle Histoire et critique,Chinese literature,Criticism, interpretation, etc,1900-1999","","否"
"1057658504","9787559811035,7559811035","鲁迅早期思想与他的新文学创作 = LuXun zaoqi sixiang yu ta de xinwenxue chuangzuo","蒋永国, 1974- author","2018","chi","Book","PrintBook","Di 1 ban",3,"广西师范大学出版社","Guilin","Lu, Xun, 1881-1936 Criticism and interpretation,Lu, Xun, 1881-1936,Criticism, interpretation, etc","","否"
"1082188356","9787559813459,7559813453","林语堂传 : 中国文化重生之道 = Lin Yutang zhuan : Zhongguo wenhua chongsheng zhi dao","钱锁桥, author","2019","chi","Book","PrintBook","Di 1 ban",1,"广西师范大学出版社","Guilin","Lin, Yutang, 1895-1976,China History 20th century Biography,Chine Histoire 20e siècle Biographies,China,Chinese language materials,Biography,Biographies,History,1900-1999","1895年, 林语堂出生在福建漳州的山村, 自十岁时离开故土, 毕其一生, 辗转旅寄. 在国内, 考究语言, 创办报刊, 为当时文坛一开"" 幽默"" 新风; 在国外, 针砭时事, 引介东方, 以独有见地诠释"" 吾国与吾民"" . 这部传记, 笔路延绵, 跋涉文山史海, 溯沿思想轨迹, 寻绎其生平, 藉以重新发现不仅仅是作为文学家的林语堂, 更欲还原出兼批评家, 哲学家, 思想家等多重身份的林语堂. 鲁迅, 胡适, 林语堂, 他们的精神遗产, 无疑是二十世纪中国的重要知识思想资源. 而林语堂留赠后人有形及无形的一切, 将对新世纪的中国, 乃至世界, 别有深远的启发意义, 亦为跨文化交际与互动带来崭新的理解","否"
"1100047558","9787559805492,7559805493","元杂剧的明代改编本研究","孔杰斌, author","2018","chi","Book","PrintBook","Di 1 ban",2,"广西师范大学出版社","Guilin","Ju qu History and criticism,Qu (Chinese literature) Yuan dynasty, 1260-1368 History and criticism,Qu (Chinese literature) Ming dynasty, 1368-1644 History and criticism,Juqu Histoire et critique,Qu (Littérature chinoise) 1260-1368 (Dynastie des Yuan) Histoire et critique,Qu (Littérature chinoise) 1368-1644 (Dynastie des Ming) Histoire et critique,Za ju Wen xue yan jiu Zhong guo,Ju qu,Qu (Chinese literature),Qu (Chinese literature) Ming dynasty,Yuan Dynasty (China),Criticism, interpretation, etc,1260-1644","Ben shu dui yuan za ju de "" ming gai ben "" jin xing le quan mian kao cha, tan jiu le ming ren dui yuan za ju "" gai shen me "" "" ru he gai "" "" he yi ru ci gai "" de xi lie wen ti, gou le le yuan dai za ju zai ming dai jie shou yu chuan bo de mian mao, chu bu jie shi le yuan dai za ju xiang ming dai xi qu zhuan bian de fa zhan gui lü,本书针对报业转型进程中产生的困惑, 特别是在网络和新媒体冲击下纸媒面对的严峻形势, 从报业经营管理的视角切入, 提出了"" 技术驱动, 用戶导向"" 这个报媒转型的双主线, 梳理了国内报业经营管理的发展演变历史, 分析其在转型实践中路径选择的利弊得失, 探究改变新闻生产方式,追求新闻精品, 注重社交型,关系型,算法型等技术在报媒数字化中应用, 以及非核心内容的资本化运作等各种转型路径的优劣及成效, 理性思考当下需要解决的主要问题, 力图为处于衰退期的报业摆脫困境,探寻发展新路径提供新思路和理论借鉴, 并最终建构报业全媒体转型的"" 一体化"" 的理论模型","否"
"1264134434","9787559830302,7559830307","前『五四』时代的文化符号 : 商务印书馆与中国近代小说","文娟, 1977- author","2021","chi","Book","PrintBook","Di 1 ban",3,"广西师范大学出版社","Guilin Shi","Shang wu yin shu guan,Chinese fiction History and criticism 19th century,Chinese fiction History and criticism 20th century,Roman chinois Histoire et critique 19e siècle,Roman chinois Histoire et critique 20e siècle,Chinese fiction,Criticism, interpretation, etc,1800-1999","","否"
"1139492308","9787559812407,7559812406","殷墟子卜辞的整理及文字研究","杨军会, author","2019","chi","Book","PrintBook","Di 1 ban",2,"广西师范大学出版社","Guilin","Inscriptions, Chinese China Yinxu (Extinct city) History and criticism,Oracle bones China Yinxu (Extinct city),Jia gu wen Yan jiu,Inscriptions, Chinese,Oracle bones,China Anyang Xian,Criticism, interpretation, etc","本书主要对殷墟子卜辞(贵族卜辞)进行了释文整理和文字研究.殷墟子卜辞主要包括传统子卜辞和花园庄东地甲骨卜辞两大类, 传统子卜辞又包括午组, 妇女组, 子组, 圆体类, 劣体类等小类.本书在子卜辞校释与整理的基础上, 对各类子卜辞的用字特点和字形特征进行了研究, 如对特征字, 字体风格, 用字习惯, 合文, 倒文, 重文, 缺刻及特殊写法用法等进行了整理和分析, 并对花园庄东地甲骨文字形的特殊性, 异体字, 新见文字现象等做了专门讨论","否"
"1112705694","9787549541089,7549541086","正本清源说红楼","白先勇","2019","chi","Book","PrintBook","Di 1 ban",4,"广西师范大学出版社","Guilin","Cao, Xueqin, approximately 1717-1763. Criticism, Textual,Cao, Xueqin, approximately 1717-1763 Authorship,Cao, Xueqin, approximately 1717-1763,Hong lou meng (Cao, Xueqin),Authorship,Chinese fiction,Qing Dynasty (China),Criticism, interpretation, etc,1644-1912","把《红楼梦》的著作权还给曹雪芹！近百年来, 红学家众说纷纷, 讨论《红楼梦》后四十回到底是曹雪芹的原稿, 还是高鹗或其他人的续书;以及""程高本""与""庚辰本""之间的差异. 本书针对这两大议题编辑而成, 汇集了自胡适以还, 世界华人范围内的学者, 专家, 作家, 对于《红楼梦》后四十回的作者问题以及""程高本""与""脂本""的差异比较, 各抒己见的一些文章","否"
"1104790950","9787559813671,7559813674","一个人的""文艺复兴""","白先勇, 1937- author","2019","chi","Book","PrintBook","Di 1 ban",3,"广西师范大学出版社","Guilin","Pai, Hsien-yung, 1937-,Chinese literature History and criticism,Operas, Chinese China,Social sciences,Chinese essays 20th century,Social Sciences,Littérature chinoise Histoire et critique,Opéras chinois Chine,Sciences sociales,Essais chinois 20e siècle,social sciences,Zhong guo wen xue Dang dai wen xue Zuo pin zong he ji,Chinese essays,Chinese literature,Operas, Chinese,China,Criticism, interpretation, etc,1900-1999","本书收录了<<白先勇与青年朋友谈小说>><<文建, 文教要合乎时代需要>><<将传统融入现代>><<我的创作经验>><<昆曲的美学价值>><<树立我们文化的新模式>>等作品","否"
"1226475436","9787559831958,7559831958","民国报刊词话叙录","马强, 1983- author","2020","chi","Book","PrintBook","Di 1 ban",2,"广西师范大学出版社","Guilin","Ci (Chinese poetry) 20th century History and criticism,Chinese poetry 20th century History and criticism,Chinese newspapers China History 20th century,Ci (Poésie chinoise) 20e siècle Histoire et critique,Poésie chinoise 20e siècle Histoire et critique,Journaux chinois Chine Histoire 20e siècle,Civilization,Chinese newspapers,Chinese poetry,Ci (Chinese poetry),China Civilization 1912-1949,Chine Civilisation 1912-1949,China,Criticism, interpretation, etc,History,1900-1999","","否"
"1051095203","9787559810069,7559810063","半个父亲在疼","庞余亮, 1967- author","2018","chi","Book","PrintBook","Di 1 ban",4,"广西师范大学出版社","Guilin","San wen ji Zhong guo Dang dai","""半个父亲在疼""是庞余亮第一本自传体亲情散文集, 共分为四辑. 第一辑"" 父亲在天上"" , 是献给父亲的文字. 分别从卖甘蔗的船上,种黄豆,过年, 以及父亲中风后等不同的视角描写了一个严厉,暴躁,任劳任怨, 偶尔也会表现出温柔一面的父亲形象. 第二辑"" 报母亲大人书"" , 是献给母亲的文字. 从母亲的日常劳作, 例如捣石臼,做汤圆和慈姑等, 描写了一个隐忍,温柔,坚强的母亲形象. 第三辑"" 绕泥操场一圈"" , 是秘密成长笔记. 从老师的视角描写乡村校园里孩子们的成长逸事, 生动,有趣, 又令人省思. 第四辑"" 永记蔷薇花"" , 是生活之泪的结晶. 描写了读书,观影,旅途,书店的搬迁, 以及友人相聚等内容","否"
