"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1197588255","","北宋中后期贬谪与文学 = Relegation and literature in the middle and late Northern Song dynasty","吴增辉, author","2019","chi","Book","Digital","Beijing di 1 ban",3,"中华书局","Beijing Shi","Authors, Exiled China,Chinese literature Song dynasty, 960-1279 History and criticism,Exiles' writings, Chinese History and criticism,Écrivains exilés Chine,Littérature chinoise 960-1279 (Dynastie des Song) Histoire et critique,Littérature de l'exil chinoise Histoire et critique,Authors, Exiled,Chinese literature,Exiles' writings, Chinese,Song Dynasty (China),China,Criticism, interpretation, etc,960-1279","","否"
"1268511502","","北魏士人迁徙与文学演进","柏俊才, 1970- author","2019","chi","Book","Digital","Beijing di 1 ban",2,"中华书局","Beijing Shi","Chinese literature 220-589 History and criticism,Littérature chinoise 220-589 Histoire et critique,Chinese literature,Criticism, interpretation, etc,220-589","","否"
"1197588256","","明代文话研究","龚宗杰, author","2019","chi","Book","Digital","Beijing di 1 ban",2,"中華書局","Beijing Shi","Chinese literature Ming dynasty, 1368-1644 History and criticism,Littérature chinoise 1368-1644 (Dynastie des Ming) Histoire et critique,Chinese literature Ming dynasty,Criticism, interpretation, etc,1368-1644","","否"
"1243744899","","集部通论","卢盛江, 1951- author","2019","chi","Book","Digital","Beijing di 1 ban",4,"中华书局","Beijing Shi","Chinese literature History and criticism,Littérature chinoise Histoire et critique,Chinese literature,Criticism, interpretation, etc","","否"
"1197588238","","日本近世小说观念研究 : 兼论其中国文学思想渊源","勾艳军, 1975- author","2020","chi","Book","Digital","Beijing di 1 ban",3,"中华书局","Beijing","Japanese fiction 1868- History and criticism,Roman japonais 1868- Histoire et critique,Japanese fiction,Criticism, interpretation, etc,Since 1868","","否"
"1197682510","","东亚""诗经""学研究","张宝三, 1956- author","2019","chi","Book","Digital","Di 1 ban",3,"中华书局","Beijing","Shi jing","","否"
"1246574399","","杜甫诗今译","杜甫, author","2019","chi","Book","Digital","Beijing di 1 ban",7,"中华书局","Beijing","","本书精选杜甫诗歌中的经典作品112首,每一首均由四个板块组成:1.相关背景、典故的简要介绍.2.诗歌原文.3.晓畅易懂的白话翻译,与原文逐句对应,极便理解.4.重点字词注释.同时,书前有专家撰写之长篇导读,综合介绍杜甫的生平和成就,使读者得到宏观而全面的了解.书后附杜甫年谱简编,便于查找.全书深入浅出,雅俗共赏,是学习、欣赏杜甫诗歌上好的入门著作","否"
"1206401972","","诗词格律","王力.","2019","chi","Book","Digital",,37,"中华书局","Beijing","","《诗词格律》古典诗词欣赏和写作的基本入门书,语言学专业写给大众的""大家小书""。关于作者王力:他是中国现代语言学""全能型""的学者和奠基人;他是汉语美的探素者和实践者,不仅精研古典诗词格律,还创作诗歌和散文,抗战时期,与钱钟书、梁实秋并称为三大学者散文家。","否"
"1246570350","9787101138863,7101138861","荔尾词存","石声汉.","2019","chi","Book","Digital",,5,"中华书局","Beijing","","","否"
"1206394377","9787101141399,7101141390","钱谦益的""诗史""理论与实践","严志雄.","2019","chi","Book","Digital",,4,"中华书局","Beijing","","本书主要讨论钱谦益的""诗史""理论及其于清代的接受史,也论述钱谦益个人的诗史创作实践。分上下两编,上编包含两章,第一章考论明遗民性诗学在清初发展的历史环境和理论脉络,第二章对钱谦益在有清一代和民国初年的接受史进行考察。下编包含三章,分别对三组诗歌展开文本细读,这些作品均来自钱谦益的《投笔集》。","否"
