"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1090488739","9787520327183,7520327183","张爱玲电影剧本研究","赵秀敏, author","2018","chi","Book","PrintBook","Di 1 ban",3,"中国社会科学出版社","Beijing","Zhang, Ailing Criticism and interpretation,Zhang, Ailing,Chang, Eileen, 1920-1995 Oeuvres Cinéma,Motion picture plays, Chinese History and criticism,Scénarios de cinéma chinois Histoire et critique,Motion picture plays, Chinese,Criticism, interpretation, etc","张爱玲于电影剧本创作的卓越成就鲜少为世人所知, 是为张爱玲创作研究的一个盲点或者'黑洞'.本书从张爱玲电影原创剧本的数量, 搬上银幕的数量, 上座率, 票房记录, 接受者的反映, 内容分析, 艺术分析, 电影技法分析等, 以翔实充分的史实, 得出综合指数判断:张爱玲是中国电影编剧家中的女性先驱, 是女性电影编剧家中杰出的'第一人'.本书引言部分对张爱玲从1946至1965凡20年间创作的电影进行爬梳和整合, 从量到质观照这位杰出电影编剧横卓一个时代的'电影神话';第一章对张爱玲电影艺术观进行梳理评价;第二章从文化分析角度, 论析张爱玲独步一时的电影人物镜像构建;第三章从艺术分析角度, 论析张爱玲电影的喜剧叙事策略;第四章从电影技巧上, 论析张爱玲之于电影创作的才禀以及对电影语言的通透.本书力将中国电影整体发展做为论述的大背景, 为张爱玲影像研究开启全新的研究领域","否"
"1103147524","9787520340199,7520340198","张爱玲晚期写作研究","程小强, 1982- author","2019","chi","Book","PrintBook","Di 1 ban",3,"中国社会科学出版社","Beijing","Zhang, Ailing Criticism and interpretation,Zhang, Ailing,Criticism, interpretation, etc","","否"
"1080342268","9787520333856,752033385X","中国新文学史写作编年研究 : 1919-1949","张军 (Writer on Chinese literature), author","2018","chi","Book","PrintBook","Di 1 ban",3,"中国社会科学出版社","Beijing","Chinese literature History and criticism 20th century,Authorship,Littérature chinoise Histoire et critique 20e siècle,Art d'écrire,authorship,Zhong guo wen xue Xian dai wen xue shi Wen xue shi yan jiu 1919-1949,Chinese literature,Criticism, interpretation, etc,1900-1999","Detailed summary in vernacular filed,广义的中国新文学史写作, 包含中国新文学史著的编纂和相关文学史论文的撰写. 本书将以编年体形式展现1919- 1949年海内外的中国新文学史写作大致历程. 一方面, 对已经搜集到的每一文学史著与文学史论文依次编年展示, 同时简介它们的著者,出版社,出版时间,版本,开本,页数,字数等, 并对其重要的创新点进行提示性评述. 另一方面, 本书将这三十年的中国新文学史写作分为三个时期, 并以此编为三章. 每章之前概论每一时段中国新文学史写作的发展概貌,范型特点, 最后一章则对中国新文学史写作进行历史规律总结. 对于影响中国新文学史写作的重大政治,经济,文化事件本书也会适当提及, 以求诠解中国新文学史写作嬗替更迭的内外部原因","否"
"1134985844","9787520354486,7520354482","钱谦益佛教文献与文学研究","王彦明, 1982- author","2020","chi","Book","PrintBook","Di 1 ban",2,"中国社会科学出版社","Beijing","Qian, Qianyi, 1582-1664 Criticism and interpretation,Qian, Qianyi, 1582-1664,Buddhist literature History and criticism,Chinese poetry Qing dynasty, 1644-1912 History and criticism,Littérature bouddhique Histoire et critique,Poésie chinoise 1644-1912 (Dynastie des Qing) Histoire et critique,Buddhist literature,Chinese poetry,Qing Dynasty (China),Criticism, interpretation, etc,1644-1912","钱谦益身为明末清初的东林党魁和文坛盟主, 受地域, 家族, 师友的影响, 他自幼深受佛教熏染, 青年缚禅, 晚明佞佛日深, 完成了""楞严经疏解蒙钞""等佛学巨著, 成为名震一时的佛教居士.钱谦益奉佛史迹老, 详细考察了钱谦益的佛教渊源, 奉佛历程, 梳理了他与禅宗, 华严宗, 天台宗, 净土宗的佛教交游, 揭示了破山寺鹤如禅师去留之争和钱氏家难之间的关系","否"
"1101516975","9787520340977,752034097X","《满洲报》小说研究","赵寰宇, author","2019","chi","Book","PrintBook","Di 1 ban",3,"中国社会科学出版社","Beijing","Manzhou bao,Chinese fiction 20th century History and criticism,Roman chinois 20e siècle Histoire et critique,Xiao shuo yan jiu Zhong guo Xian dai,Chinese fiction,China History Republic, 1912-1949,Chine Histoire 1912-1949 (République),China,History,Criticism, interpretation, etc,1900-1999","在孕育东北文学的诸多报章中, ""满洲报""占据着重要的位置, 是东北历史上一份有重要影响的报纸.在""满洲报""诸多的文学史料中, 小说创作尤其值得关注.""满洲报""的小说家新老并存, 有受传统文化浸润的旧式文人, 也有受新思潮熏陶的新派作家.""满洲报""刊载的小说面对现实, 反映现实, 描写了旧时代东北地区民众的生存状态, 反映了特殊时期的世相人情和民族文化心态.从文学史研究角度, ""满洲报""小说勾勒出东北小说发展的原生态图景, 见证了东北近现代新旧小说交融发展的历史变迁, 对了解东北地区二十世纪二三十年代这一特定历史时期的文学活动面貌有着积极的意义","否"
"1126341408","9787520349338,7520349330","当代长篇小说的桂冠 : 莫言长篇小说研究","老悟, author","2019","chi","Book","PrintBook","Di 1 ban",1,"中国社会科学出版社","Beijing","Mo, Yan, 1955- History and criticism,Mo, Yan, 1955- Criticism and interpretation,Moyan, (1955-) Xiaoshuoyanjiu,Mo, Yan, 1955-,Chinese fiction 20th century History and criticism,Roman chinois 20e siècle Histoire et critique,Xiao shuo yan jiu Zhong guo Xian dai,Chinese fiction,Criticism, interpretation, etc,1900-1999","本书对莫言的11部 (全部) 长篇小说进行了研究, 包括总体研究和个案研究两部分: 总体研究把莫言的11部长篇小说作为一个整体, 从内容, 美学特征, 主题, 艺术表现, 传承, 意义和价值等方面对之进行了研究; 个案研究对每一部小说分别从其内容梗概, 人物形象, 主题, 艺术表现, 不足之处等方面进行了研究; 既有研究者的个人心得, 又有对小说文本以及学界专家真知灼见的引述... 因此, 既具有较高的学术价值--它既是对莫言全部长篇小说的一次 '集约型', 全方位的研究, 又是对莫言长篇小说进行进一步研究的基础; 又具有普适性--它语言通俗流畅, 内容全面而又简明, 扼要","否"
"1045034892","9787520323000,7520323005","为70年代小说拼图 : 20世纪70年代小说的整理与研究","李雪, 1984- author","2018","chi","Book","PrintBook","Di 1 ban",2,"中国社会科学出版社","Beijing","Chinese fiction 20th century History and criticism,Roman chinois 20e siècle Histoire et critique,Xiao shuo yan jiu Zhong guo Dang dai,Chinese fiction,Criticism, interpretation, etc,1900-1999","本书以1972年至1977年公开发表的小说为整理,研究对象, 强调整理小说篇目,校对发表时间及版本,考察作者身份,划分小说题材等基础工作的重要性, 主张依靠第一手材料接近文学现场,考察历史细节, 从而将对七十年代文学的研究引向"" 微观"" 研究. 全书分上,下编: 上编对七十年代文学的研究意义与方法进行讨论, 依据大量史料细述关于七十年代小说的"" 故事"" , 试图绘制七十年代文学的地形图; 下篇对七十年代的文学期刊,小说篇目进行了整理,汇编和说明, 以期为其他相关研究提供资料支持","否"
"1085502107","9787520307680,7520307689","中古乐府广义","胡大雷, author","2018","chi","Book","PrintBook","Di 1 ban",2,"中国社会科学出版社","Beijing","Yue fu (Chinese poetry) History and criticism,Chinese poetry History and criticism,Yuefu (Poésie chinoise) Histoire et critique,Poésie chinoise Histoire et critique,Chinese poetry,Yue fu (Chinese poetry),Criticism, interpretation, etc","","否"
"1162233195","9787520356275,7520356272","中国新文学史上的西南联大与「鲁艺」","施新佳, 1982- author","2019","chi","Book","PrintBook","Di 1 ban",2,"中国社会科学出版社","Beijing","Xi nan lian he da xue (Kunming Shi, China),Yan'an Lu Xun yi shu xue yuan,Chinese literature History and criticism,Littérature chinoise Histoire et critique,Chinese literature,Criticism, interpretation, etc","西南联大与""鲁艺""同年成立, 两者都在战争的硝烟中守护和传承着中华民族的文化精髓, 有着共同的推动社会进步的精神向度, 但两校文学在主题内容, 文体类别, 话语风格方面大相径庭.西南联大秉承学院派的通识教育, 延续并发展精英文学传统, 希冀以优美的文学作品改造人心, 影响社会;""鲁艺""坚持实践化教育, 形塑的是解放区新生活, 新人物和新秩序, 把文学的社会动员功能放大到极致.虽然, 两校的文学取向明显不同, 很难用统一的尺度衡量, 但它们都在中国新文学史上书写了浓墨重彩的一笔, 并对此后的文学产生了深远影响.梳理和解读其背后潜隐的信息符码, 不仅有着重要的理论价值和现实意义, 也能为未来的文学创作提供话语支持","否"
"1133774391","9787520351263,7520351262","八十年代文学史料研究","程光炜","2019","chi","Book","PrintBook","Di 1 ban",3,"中國社会科学出版社","Beijing","Chinese literature 20th century History and criticism,Littérature chinoise 20e siècle Histoire et critique,Chinese literature,Criticism, interpretation, etc,1900-1999","经过三十年的历史沉淀, 八十年代文学的史料价值已经凸显出来. 从中国当代文学学科发展来看, ""史料学""建设是必不可少的. 为此, 中国人民大学程光炜教授及其研究团队近些年在这个领域花费很大精力搜集资料, 加以分类, 甄别和整理, 在国内核心学术期刊""文艺争鸣"", ""当代作家评论"", ""中国现代文学研究丛刊""发表了不少研究成果. 这些成果, 获得了学界的好评, 被认为是八十年代文学史料研究的最新成绩. 本书所选论文,采取以史料为依据, 以事实为出发点, 史论结合的研究方法, 发幽抉微, 对诸多文学现象, 思潮, 流派的史料进行了大规模的开掘, 对不少著名小说家鲜为人知的生平事迹, 也做了非常充分的调查研究, 为八十年代文学的""史料学""奠定了坚实的基础","否"
