"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1351728930","9787208178311,7208178313","一个女人的故事 / Une femme / Annie Ernaux","Annie Ernaux","2022","chi","Book","PrintBook","Di 1 ban, Quan xin xiu ding ban",1,"上海人民出版社","Shanghai","Ernaux, Annie, 1940- Family,Ernaux, Annie, 1940-,Women authors, French 20th century Biography,Mothers France Biography,Alzheimer's disease,Authors, French 20th century Family relationships,French fiction Translations into Chinese,Alzheimer Disease,Écrivaines françaises 20e siècle Biographies,Mères France Biographies,Maladie d'Alzheimer,Écrivains français 20e siècle Relations familiales,Women authors, French,Authors, French Family relationships,Families,Mothers,France,Biographies,1900-1999","","否"
"1053904374","9787010193090,7010193096","中国现代文学中的反现代性研究","汪树东, 1974- author","2018","chi","Book","PrintBook","Di 1 ban",2,"人民出版社","Beijing","Chinese literature 20th century History and criticism,Littérature chinoise 20e siècle Histoire et critique,Zhong guo wen xue Xian dai wen xue Wen xue yan jiu,Chinese literature,Criticism, interpretation, etc,1900-1999","在中国现代文学追求现代性的主潮中, 还有大量的作家作品对现代性持反思和批判立场, 可以统称为反现代性立场. 整体上看, 文化保守主义, 审美现代性, 后现代主义和超越精神, 确立了五种基本的反现代性立场. 从文化意义层面上看, 现代文学的反现代性书写真正打破了现代人对现代性方案的盲目迷信, 全方位地展示出现代性方案的局限性, 从而有利于现代性方案的自我完善. 从文学史意义层面上看, 反现代性书写为现代文学确立了在现代性方案之外更为丰富的价值立场, 拓展出更具有艺术韵味的文学空间, 极大地解放了现代作家的想象力和创造力. 但现代文学的反现代性书写最终存在着鲜明的局限, 主要是没有充分地考虑到中国社会具体的时代语境和国情民情","否"
"1029815320","9787218121697,7218121691","「粤派评论」视野中的「打工文学」","柳冬妩, 1973- author","2018","chi","Book","PrintBook","Di 1 ban",3,"广东人民出版社","Guangzhou Shi","Chinese literature 20th century History and criticism,Chinese literature 21st century History and criticism,Migrant labor China,Working class China,Littérature chinoise 20e siècle Histoire et critique,Littérature chinoise 21e siècle Histoire et critique,Travailleurs migrants Chine,Travailleurs Chine,Chinese literature,Migrant labor,Working class,China,Criticism, interpretation, etc,1900-2099","""打工文学"" 是最具广东特色, 原汁原味的一种文学形态. 从这一文学形态的兴起, 发展到文本细读, 从"" 打工文学"" 的特征到精神谱系的梳理, 广东不少批评家都积极参与, 倾力为"" 打工文学"" 鼓与呼. 本书探讨 ""打工文学"" 批评的崛起和发展, 其中体现了粤派评论家的批评关注现实, 注重文学批评的日常化, 本土经验和实践性的批评特色","否"
"1048283680","9787010193199,7010193193","晚清至五四祭悼文学及其文化转型研究 = WanQing zhi wusi jidao wenxue jiqi wenhua zhuanxing yanjiu","李国 (Writer on Chinese literature), author","2018","chi","Book","PrintBook","Di 1 ban",1,"人民出版社","Beijing Shi","Chinese literature 20th century History and criticism,Littérature chinoise 20e siècle Histoire et critique,Chinese literature,Criticism, interpretation, etc,1900-1999","","否"
"1257758960","9787208168916,7208168911","两间驻望 : 中西互动下的中国现代文学","李欧梵, speaker","2021","chi","Book","PrintBook","Di 1 ban",1,"上海人民出版社","Shanghai","Chinese literature 20th century History and criticism,Littérature chinoise 20e siècle Histoire et critique,Chinese literature,Criticism, interpretation, etc,1900-1999","","否"
"1266399434","9787201173504,7201173502","心的千问","庆山, 1974- author","2021","chi","Book","PrintBook","Di 1 ban",2,"天津人民出版社","Tianjin Shi","Qingshan, 1974- Interviews,Qingshan, 1974- Authorship,Women authors, Chinese China Interviews,Authorship,Women authors, Chinese,China,Chinese language materials,interviews,Interviews","Ben shu shou lu le qing shan chi xu si nian de yu du zhe de yi qian ge wen da.Guan yu du shu,Xie zuo,Ai qing,Sheng huo,Jiao yu,Guan yu ru he huo chu zi wo,Ren sheng zhui xun de yi yi,Yi ji dui 30+ nü xing he nian qing ren de jian yi,Zhan shi le dang xia ren men ke neng yu dao de ge zhong kun huo he jing yu,Ye cheng xian le qing shan zhen cheng de hui da","否"
"1280555553","9787208171831,7208171831","明暗之间 : 鲁迅传 = 魯迅・花のため腐草となる","丸尾常喜, 1937- author","2021","chi","Book","PrintBook","Di 1 ban",1,"上海人民出版社","Shanghai Shi","Lu, Xun, 1881-1936,Authors, Chinese 20th century Biography,Écrivains chinois 20e siècle Biographies,Authors, Chinese,Biographies,1900-1999","本书为日本鲁迅研究学者丸尾常喜撰写的鲁迅传记, 结合鲁迅的原著文本和生活轨迹展现了鲁迅一生为国家, 为民族甘于奉献的精神和形象. 全书共分九章, 以鲁迅生平移动轨迹为章节, 沿绍兴-南京-日本-杭州, 绍兴-北京-厦门, 广州-上海, 叙述鲁迅生平及思想文学的变迁, 对鲁迅各个时期的重点作品等进行了具体分析. 同时, 书中也介绍了鲁迅所处时代社会环境和思想氛围对其文学创作的影响. 全书叙述简练, 语言流畅, 提出了诸多今天已经获得国内外鲁迅研究界广泛认可的论断. 本书于鲁迅诞辰140周年之际推出, 将有助于广大读者对鲁迅乃至中国文化史的认识与理解","否"
"1049934035","9787010185965,7010185964","鲁迅文化遗产与当代中国 = Luxun wenhua yichan yu dangdai zhongguo","北京鲁迅博物馆","2018","chi","Book","PrintBook","Di 1 ban",1,"人民出版社","Beijing Shi","Lu, Xun, 1881-1936 Criticism and interpretation,Lu, Xun, 1881-1936,Lu xun yan jiu,Criticism, interpretation, etc","","否"
"1232505020","9787220120121,7220120125","掬水月在手 : 镜中的叶嘉莹","行人文化","2020","chi","Book","PrintBook","Di 1 ban",2,"四川人民出版社","Chengdu Shi","Yeh, Chia-ying,Authors, Canadian 20th century Biography,Écrivains canadiens 20e siècle Biographies,Authors, Canadian,collective biographies,Biographies,1900-1999","","否"
"1084343538","9787216095075,7216095073","程鉅夫集","程鉅夫, 1249-1318, author","2018","chi","Book","PrintBook","Di 1 ban",4,"湖北人民出版社","Wuhan Shi","Chinese literature Song dynasty, 960-1279,Chinese literature Yuan dynasty, 1260-1368,Littérature chinoise 960-1279 (Dynastie des Song),Littérature chinoise 1260-1368 (Dynastie des Yuan),Chinese literature,Song Dynasty (China),Yuan Dynasty (China),960-1368","","否"
"1049933593","9787010185521,7010185522","清人宋诗选与清代文化论稿 = Qingren songshixuan yu qingdai wenhua lungao","谢海林, 1979- author","2018","chi","Book","PrintBook","Di 1 ban",3,"人民出版社","Beijing Shi","Chinese poetry Song dynasty, 960-1279 History and criticism,Poésie chinoise 960-1279 (Dynastie des Song) Histoire et critique,Chinese poetry,Song Dynasty (China),Criticism, interpretation, etc,960-1279","","否"
"1265082899","9787208170483,7208170487","十九世纪西方演剧与晚清国人的接受","孙柏, 1975- author","2021","chi","Book","PrintBook","Di 1 ban",3,"上海人民出版社","[Shanghai]","Drama History and criticism,Theater China Western influences,Theater China History 19th century,Chinese drama 19th century History and criticism,Théâtre (Genre littéraire) Histoire et critique,Théâtre Chine Influence occidentale,Théâtre Chine Histoire 19e siècle,Théâtre chinois 19e siècle Histoire et critique,Chinese drama,Drama,Theater,China,Criticism, interpretation, etc,History,1800-1899","","否"
