"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1152144025","9787559445230,7559445233","活着, 就要尽兴","蔡澜, author","2020","chi","Book","PrintBook","Di 1 ban",2,"江苏凤凰文艺出版社","Nanjing Shi","Chinese essays 21st century,Essais chinois 21e siècle,Chinese essays,2000-2099","","否"
"1262723607","9787559458742,7559458742","人生从容 = The calm life","贾平凹, author","2021","chi","Book","PrintBook","Di 1 ban",4,"江苏凤凰文艺出版社","Nanjing Shi","Chinese essays 20th century,Essais chinois 20e siècle,Chinese essays,Chinese language materials,1900-1999","","否"
"1041076588","9787559413017,7559413013","余生很长, 何必慌张","林熙, author","2018","chi","Book","PrintBook","Di 1 ban",2,"Jiangsu feng huang wen yi chu ban she, 江苏凤凰文艺出版社","Nanjing, 南京市","Youth Conduct of life,Self-actualization (Psychology),Chinese essays 21st century,Jeunesse Morale pratique,Essais chinois 21e siècle,San wen ji Zhong guo Dang dai,Chinese essays,2000-2099","","否"
"1078141891","9787559419798,7559419798","中国当代文学史","张炯","2018","chi","Book","PrintBook","Di 1 ban",2,"江苏凤凰文艺出版社","Nanjing Shi","Chinese literature 21st century History and criticism,Littérature chinoise 21e siècle Histoire et critique,Chinese literature,Criticism, interpretation, etc,2000-2099","Detailed summary in vernacular field","否"
"1106370801","9787559431912,7559431917","再孤单的人也有同类","余光中, 1928-2017, author","2019","chi","Book","PrintBook","Di 1 ban",2,"江苏凤凰文艺出版社","Nanjing","Chinese essays 20th century,Chinese essays 21st century,Essais chinois 20e siècle,Essais chinois 21e siècle,San wen ji Zhong guo Dang dai,Chinese essays,1900-2099","","否"
"1338316018","9787559465313,7559465315","人间有所寄","王蒙, 1934- author","2022","chi","Book","PrintBook","Di 1 ban",2,"江苏凤凰文艺出版社","Nanjing","Chinese essays 21st century,Essais chinois 21e siècle,Chinese essays,Chinese language materials,Essays,2000-2099","","否"
"1076898992","9787559425232,7559425232","未完成的悲剧 : 周作人与霭理士","戴潍娜, 1985- author","2018","chi","Book","PrintBook","Di 1 ban",2,"江苏凤凰文艺出版社","Nanjing Shi","Zhou, Zuoren, 1885-1967 Criticism and interpretation,Ellis, Havelock, 1859-1939 Criticism and interpretation,Zhouzuoren, (1885-1967) Renwuyanjiu,Ellis, Havelock, 1859-1939,Zhou, Zuoren, 1885-1967,Xing xin li xue Xin li xue jia Ren wu yan jiu Ying guo Xian dai,Criticism, interpretation, etc","Ben shu bu jin tan tao le zhou zuo ren yu ai li shi de si xiang guan xi, er qie dui yu ai li shi si xiang bu yu zhou zuo ren zhong he de bu fen ye zuo le bi yao de jie shao","否"
"1300853344","9787559439017,7559439012","孤鹰","邵雪城","2019","chi","Book","Digital",,5,"江苏凤凰文艺出版社","[S.I.]","Fiction,Short Stories","从各个方面成绩来看都不是很出色的普通军校生秦川和战友宁志、郑勇被选入神秘的""特案组"",他们在一起进行残酷集训,建立了非一般的友谊和默契。在他们激情满满地执行第一次任务时,却遭遇惨败,郑勇牺牲,宁志重伤,秦川险被""退回""。就在这时,秦川接到了上级命令,前往""金三角"",配合在那里埋伏的程建邦接近大毒枭周亚迪,从此开启了一场残酷的特殊任务。周亚迪当时在监狱中,程建邦本打算通过抢劫入狱来接近他,没想到却在实施计划时,被人截胡,只被判了个""抢劫未遂"",被关入了另一所监狱。接近周亚迪的任务落在了初来乍到的秦川身上,可是他下手过重,被判处死刑,好在没","否"
"1123158885","9787559400901,7559400906","我与鲁迅","许广平, 1898-1968, author","2019","chi","Book","PrintBook","Di 1 ban",2,"江苏凤凰文艺出版社","Nanjing","Lu, Xun, 1881-1936 Criticism and interpretation,Xu, Guangping, 1898-1968 Criticism and interpretation,Lu, Xun, 1881-1936,Xu, Guangping, 1898-1968,San wen ji Zhong guo Dang dai,Criticism, interpretation, etc","""本书的作者是许广平, 不同于其他描写鲁迅的作者, 许广平是鲁迅的妻子, 她是鲁迅最后十年的生活伴侣, 写作助手, 她笔下的鲁迅, 具有他人不可比拟的动人性与真实性.作为许广平回忆与纪念鲁迅的文章集结, 为呈现情感的细腻性与具体性, 编者罗拉拉更从多个视角对文章进行精心选编, 力求让读者透过许广平的文字, 全方面地接近与认识一个更生活化的鲁迅.许广平用一种深情且克制的书写方式, 记录与鲁迅共同走过的生活点滴, 叙述温柔, 隐忍, 理智, 既展现出了鲁迅作为作家与学者的一面, 又从鲁迅的生活与写作, 婚姻与家庭等方面切入, 回忆了他作为普通人的生活日常.这本书让我们理解了何谓""""十年携手共艰危, 以沫相濡亦可哀"""", 亦向我们呈现了鲁迅的另一种精神与生活面貌, 更使鲁迅与读者之间的距离进一步拉近了.""","否"
"1082240360","9787539994857,7539994851","我的四季","张洁, 1937- author","2019","chi","Book","PrintBook","Di 1 ban",2,"江苏凤凰文艺出版社","Nanjing Shi","Chinese essays 20th century,Essais chinois 20e siècle,Chinese essays,1900-1999","","否"
