"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1056247858","9787520107242,7520107248","翻译与影响 : 《圣经》与中国现代文学 = Translation and influence : Bible and modern Chinese literature","Marián Gálik","2018","chi","Book","PrintBook","Di 1 ban",1,"社会科学文献出版社","Beijing Shi","Bible In literature,Bible Criticism, interpretation, etc. History 20th century,Bible Critique, interprétation, etc. Histoire 20e siècle,""sheng jing "" Ying xiang Zhong guo wen xue Xian dai wen xue Wen xue yan jiu,Bible,Chinese literature 20th century History and criticism,Chinese literature Western influences,Littérature chinoise 20e siècle Histoire et critique,Littérature chinoise Influence occidentale,Chinese literature,Literature,Criticism, interpretation, etc,History,1900-1999","Ben shu shi han xue jia ma li an{692126}gao li ke duo nian lai yan jiu "" sheng jing "" dui zhong guo xian dai wen xue ying xiang de lun wen ji. quan shu li zu yu bi jiao wen xue, zhu yao jiu "" sheng jing "" dui zhong guo xian dai wen xue de ying xiang jin xing yan jiu,本书立足于比较文学, 主要就""圣经""对中国现代文学的影响进行研究. 书中第一部分主要论述""圣经""在20世纪中国的译介和接受情况; 第二部分主要研究""圣经""对现代文学的影响, 如周作人,海子,冰心,茅盾,顾城,王蒙等文学创作都受到""圣经""的影响; 第三部分主要论述韩素音,张晓风,蓉子,夏宇,斯人几人如何受""圣经""的影响并进行文学创作的. 通过本书, 读者可以较为详细地了解""圣经""在中国的译介,接受以及对中国现代文学的影响","否"
"1086325305","9787520139137,7520139131","一名之立 旬月踟蹰 : 严复译词研究","沈国威, 1954- author","2019","chi","Book","PrintBook","Di 1 ban",4,"社会科学文献出版社","Beijing Shi","Yan, Fu, 1853-1921 Knowledge Translating and interpreting,Yan, Fu, 1853-1921,Translating and interpreting China,Translating and interpreting,China","本书从何为"" 译词"" 起笔, 继之评述严复译词创制的方法及其得失, 其后数章的讨论广泛涉及严复翻译的环境资源, 文体革新, 社会反应以及若干不为人知的工作. 既有译词创制的理论总结, 又有新史料的发掘和考证. 译词研究需将视野扩展至东亚近代语言接触, 词汇环流及民族国家国语建构的整个历史进程中. 这是本书一以贯之并努力践行的研究理念","否"
"1137078675","9787520157421,7520157423","身体·历史·都市·民族 : 新时期女作家群论","邱慧婷, 1988- author","2019","chi","Book","PrintBook","Di 1 ban",5,"社会科学文献出版社","Beijing Shi","Chinese literature Women authors History and criticism,Chinese literature History and criticism,Women in literature,Women authors, Chinese,Human body in literature,Littérature chinoise Histoire et critique,Femmes dans la littérature,Corps humain dans la littérature,Chinese literature,Chinese literature Women authors,Criticism, interpretation, etc","","否"
"1287074855","9787520179188,7520179184","近代中国江南基督宗教文人研究 (1868-1919) = Studies of late-Qing-early-Republican Chinese Christian literati in Yangtze Delta (1868-1919)","边茜, author","2021","chi","Book","PrintBook","Di 1 ban",1,"社会科学文献出版社","Beijing","Chinese literature Christian authors History and criticism,Chinese literature Qing dynasty, 1644-1912 History and criticism,Christian authors China Yangtze River Delta,Authors, Chinese China Yangtze River Delta,Intellectuals China Yangtze River Delta,Littérature chinoise Auteurs chrétiens Histoire et critique,Littérature chinoise 1644-1912 (Dynastie des Qing) Histoire et critique,Écrivains chrétiens Chine Yangzi jiang, Delta du,Écrivains chinois Chine Yangzi jiang, Delta du,Intellectuels Chine Yangzi jiang, Delta du,Authors, Chinese,Chinese literature,Christian authors,Intellectuals,Qing Dynasty (China),China Yangtze River Delta,Criticism, interpretation, etc,1644-1912","本书以1868-1919年间的中国江南基督宗教文人为研究对象,首先考察基督教在中国的传播情况和近代中国江南基督宗教文人的基本情况,其次从文学翻译与创作,文学观念与文学活动三方面对近代中国江南基督宗教文人在文学领域的特征进行分析.最后联系中国现代文学的发展,将对近代中国江南基督宗教文人的研究置入文学史范畴,做整体性的评价.从文学研究的角度来看,以清末民初中国基督宗教文人作为研究对象,可以系统整理这一时段中国基督宗教与文学的关系,弥补近代文学史上对基督宗教信仰群体的着墨真空,在文献层面上可以对文学史和文学批评史研究加以补充","否"
"1114321388","9787520143066,7520143066","东往东来 近代中日之间的语词概念","陈力卫, 1959- author","2019","chi","Book","PrintBook","Di 1 ban",2,"社会科学文献出版社","Beijing Shi","Japanese language History,Japonais (Langue) Histoire,Ri yu Yu yan shi Yan jiu Jin dai,Japanese language,History","","否"
"1126217057","9787520154697,7520154696","东西方悲剧意识与中国先锋小说创作(1979-2016) = A study on tragic consciousness of Chinese avant-garde fiction writing (1979-2016)","柴橚, 1982- author","2019","chi","Book","PrintBook","Di 1 ban",2,"社会科学文献出版社","Beijing","Chinese fiction 20th century History and criticism,Chinese fiction 21st century History and criticism,Roman chinois 20e siècle Histoire et critique,Roman chinois 21e siècle Histoire et critique,Xiao shuo yan jiu Zhong guo Dang dai,Chinese fiction,Criticism, interpretation, etc,1900-2099","新时期中国先锋小说家普遍具有现代主义特质的悲剧意识, 其创作亦有更为突出的体现, 构成独特文化价值与时代意蕴的本土艺术存在.恰是中西结合, 历史复杂顺延至今的现代悲剧意识以及独特的艺术表现, 使得先锋小说包含多元的表现技巧与深刻的思想内涵. 本书在挖掘人类不同历史时期文学内部悲剧意识嬗变的基础上, 结合代表性作品, 重点探讨先锋小说作为中国当代文学一个重要的现代主义派别, 其内在悲剧意识的多元性, 变化性与矛盾性, 对中国新时期先锋小说蕴含多变的悲剧意识进行一次全面的探索. 该研究为'教育部中央高校基本科研业务费专项资金自由探索面上项目 '[16LZUJBWZY034], 兰州大学外国语学院教学科研创新学术团队建设项目'外国语言文学教材建设与研究'[16LZUWYXSTD018]成果, 获得'兰州大学双一流建设资金人文社科类图书出版经费'","否"
"1104687874","9787520132657,752013265X","儒家视阈中的越南汉文小说研究 = A Confucian Interpretation on Vietnam Chinese-written Novels","朱洁 (Researcher on Chinese literature) author","2019","chi","Book","PrintBook","Di 1 ban",4,"社会科学文献出版社","Beijing Shi","Chinese fiction Vietnam Confucian influence,Chinese fiction,Vietnam,Criticism, interpretation, etc","","否"
"1053904095","9787520127660,7520127664","川端康成在中国的接受与传播","丁晓敏, author","2018","chi","Book","PrintBook","Di 1 ban",4,"社会科学文献出版社","Beijing","Kawabata, Yasunari, 1899-1972,Japanese literature 20th century History and criticism,Littérature japonaise 20e siècle Histoire et critique,Japanese literature,Criticism, interpretation, etc,1900-1999","川端康成不仅是日本的, 更是全世界的, 当然也是中国的. 随着川端康成作品在中国的传播和接受, 中国以自己的期待视野理解川端康成, 阐释川端康成, 带上中国本土文化的烙印, 就产生了一个中国的"" 川端康成"" . 本书以川端康成在中国的接受与传播状况做实证梳理和研究为基础, 进一步发掘了川端康成文学对20世纪以来中国文坛, 中国文论, 中国美学以及中国当代社会生活的发展演变所具有的意义, 具体, 全面地展示了"" 中国的川端康成.""","否"
"1062356645","9787520126342,752012634X","晚清金石文化研究 : 以潘祖荫为纽带的群体分析 = A study on Jinshi culture of the Late Qing dynasty : based on a social group analysis of Pan Zuyin","程仲霖, author","2018","chi","Book","PrintBook","Di 1 ban",1,"社会科学文献出版社","Beijing Shi","Inscriptions, Chinese History and criticism,Bronzes, Chinese China,Inscriptions chinoises Histoire et critique,Bronzes chinois Chine,Jin shi xue Wen hua yan jiu Zhong guo Qing hou qi,Bronzes, Chinese,Inscriptions, Chinese,China,Criticism, interpretation, etc","Ben shu yi pan zu yin wei niu dai de jin shi wen hua qun ti wei fen xi dui xiang, jie shi du ju te se de wan qing jin shi wen hua, shu li shu fa yi shu fa zhan de she hui ji chu he xue shu zhi chi","否"
"1100193933","9787520141345,7520141349","民国初期中学国文教科书外国翻译作品研究","管贤强, 1982- author","2019","chi","Book","PrintBook","Di 1 ban",3,"社会科学文献出版社","Beijing Shi","Literature Study and teaching (Secondary) China Textbooks History,Literature Translations History and criticism,Textbooks China History 20th century,Littérature Traductions Histoire et critique,Zhong xue yu wen ke Yan jiu Zhong guo Min guo Jiao cai,Wai guo wen xue Wen xue yan jiu,Literature Translations,Literature Study and teaching (Secondary),Textbooks,China History Republic, 1912-1949,Chine Histoire 1912-1949 (République),China,Criticism, interpretation, etc,History,1900-1999","本书从四个方面展开研究:""追本溯源"",通过呈现首次编选时教科书外国翻译作品及文学的面貌,力图勾勒面貌背后的发生动因;""宏大叙事""刻画了当时各个出版社所编教科书中外国翻译作品的多元丰富面貌,并讨论教育思潮、课程文件等外部因素与教科书选文的互动关系;""洞幽知微"",是从选文内部观察其如何从社会文本转变为教学文本;""研究教学""阐释社会文化如何通过教科书选文及研究最终介入学生的个人生活,成为其生命成长的持续影响因素","否"
