"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1298868546","9787573200617,7573200617","上海市志. 新闻出版分志. 广播电视卷(1978-2010)","上海市地方志编纂委员会","2021","chi","Book","PrintBook","Di 1 ban",1,"上海古籍出版社","Shanghai","Broadcasting China Shanghai History,Radio broadcasting China Shanghai History,Television broadcasting China Shanghai History,Radiodiffusion Chine Shanghai Histoire,Radio Chine Shanghai Histoire,Télévision Chine Shanghai Histoire,Broadcasting,Radio broadcasting,Television broadcasting,Shanghai (China) History,China Shanghai,History,Zhongguo fang zhi","""上海市志,新闻出版分志,广播电视卷(1978-2010)""共10篇,分别记述上海广播电视行业的机构,节目,经营,技术,新媒体,管理,交流,合作,研究,出版,人物等,信息量大,覆盖面广.本卷详细介绍了上海广播电视事业33年发展中显现的重点和亮点,为有关部门,社会各界和广大读者学习,研究,发展上海广播电视事业起到积极的借鉴和指导作用.全卷共计120万字,313幅图照,篇章中记述的史实,凸显出上海广播电视工作者的改革之志,奋斗之气和创新之美,它也是上海广播电视事业和产业实现跨越式发展的生动写照.从某种意义上来说,本书可谓是上海广播电视(1978-2010)重要的史料平台和上海广播电视工作者的精神家园","否"
"1343641316","9787532181681,7532181685","上海市志. 文学·艺术分志. 电影卷(1978-2010)","上海市地方志编纂委员会","2021","chi","Book","PrintBook","Di 1 ban",1,"上海文艺出版社 : 上海古籍出版社","Shanghai","Motion pictures China Shanghai History 20th century,Motion pictures China Shanghai History 21st century,Cinéma Chine Shanghai Histoire 20e siècle,Cinéma Chine Shanghai Histoire 21e siècle,Motion pictures,Shanghai (China) History,China Shanghai,History,1900-2099","本书以编纂大纲为统揽,大事记为年度要事概览,按机构,团体,企业,影片,发行,放映,技术,教育,研究,交流,管理,人物等为序,分篇,章,节,目等层次记述,并有纪事年代中的若干电影剧照和历史图照,力求客观全面地记述1978-2010年上海电影改革,探索,创新,发展的轨迹和成果.电影作为当代最具活力和影响力的艺术形式和媒介之一,是传播主流价值,先进文化的主阵地,也是推动社会主义文化大发展大繁荣,提升国家文化软实力的重要力量.上海电影作为中国电影最重要的组成,始终立于中国电影发展的潮头浪尖.把这一伟大的进程记录下来,著书立志,将是一件前无古人,后启来者的历史伟业.本卷基本反映了上海电影产业在改革开放中的历史进程,具有比较重要的史料价值","否"
"1297822565","9787573200600,7573200609","上海市志. 文学·艺术分志. 戏剧卷(1978-2010)","上海市地方志编纂委员会","2021","chi","Book","PrintBook","Di 1 ban",1,"上海古籍出版社","Shanghai","Chinese drama History and criticism,Theater China History,Théâtre chinois Histoire et critique,Théâtre Chine Histoire,Chinese drama,Theater,Shanghai (China) History,China,China Shanghai,Criticism, interpretation, etc,History,Zhongguo fang zhi","本书是上海市第二轮新编地方志的组成部分,体例完备,资料详实,较为全面,客观,系统地记述1978-2010年上海戏剧艺术发展的历史过程.本书是在上海市地方志办公室和上海市文联的领导下,在上海市戏剧家协会和各戏剧团体,戏剧院校百余人孜孜不倦的努力下,历经6年,数易其稿,最终编纂出版的,其功在当代,利在千秋,意义深远.""戏剧卷""以正确的观点,完备的体例,合理的布局,严谨的结构,详实的资料,端正的文风,规范的行文,较为全面,客观,系统地记述了断限内上海戏剧艺术发展的历史,体现了时代特色和地方特点.全书读来既有历史的厚重感,又有现实的亲切感","否"
"1360558004","9787573200624,7573200625","上海市志 (1978-2010). 黄浦江分志","上海市地方志编纂委员会","2021","chi","Book","PrintBook","Di 1 ban",1,"上海古籍出版社","Shanghai Shi","Huangpu River Region (China) Civilization,Shanghai (China) Civilization,Zhongguo fang zhi","黄浦江是上海的母亲河,见证了上海沧桑巨变,有着悠久的历史.宋末上海港兴起,商船云集;元代设立市舶司,上海镇升格为上海县;明永乐元年(公元1403年)开浚黄浦江,修筑上海城墙;清康熙年间开放海禁后,在上海设立江海关,成为国内四大口岸之一.""上海市志,黄浦江分志""较为全面,客观,系统地记述了黄浦江从见诸文献资料起至2010年底的1000多年中,流域周边(聚焦于上海地区)社会,经济,自然,人文变迁的历史.观点正确,体例严谨,篇目合理,资料较为翔实,行文较为规范","否"
"1138969201","9787532594160,7532594165","上海市志. 区县简况(1978-2010)","上海市地方志编纂委员会","2019","chi","Book","PrintBook","Di 1 ban",1,"上海古籍出版社","Shanghai","Shanghai (China) History,China Shanghai,History,Zhongguo fang zhi","《上海市志·区县简况(1978-2010)》遵循《上海市志(1978-2010)》凡例要求, 抓住区县特色, 从一个侧面记述上海市33年改革发展历史. 记述上限为1978年, 下限为2010年, 为体现事物记述的完整性, 适当上溯下延. 本志包括凡例, 目录, 概述, 大事记, 正文, 图, 照, 表, 附录, 索引, 既是《上海市志(1978-2010)》的一部分志, 又保持一定的独立性","否"
"1297823089","9787573201027,7573201028","上海市志. 文学·艺术分志. 群众文艺卷(1978-2010)","上海市地方志编纂委员会","2021","chi","Book","PrintBook","Di 1 ban",1,"上海古籍出版社","Shanghai","Popular culture China Shanghai History,Culture populaire Chine Shanghai Histoire,Popular culture,Shanghai (China) History,China Shanghai,History,Zhongguo fang zhi","""上海市志,文学,艺术分志,群众文艺卷(1978-2010)""系统性总结了上海市1978-2010年间群众文艺事业的发展历程,展现了改革开放以来上海市群众文艺事业从组织机构到创作,组织,理论研究,推广与普及,管理等各个角度的深入发展,体现了上海市国际性都市的群众文艺工作特性,呈现了上海市精神文明建设的重大成就.""上海市志,文学艺术分志,群众文艺卷(1978-2010)""内容丰富翔实,使用了大量第一手的珍贵资料,特色鲜明,基本反映了截至2010年,上海市群众文艺工作的发展及特色.""上海市志,文学,艺术分志,群众文艺卷(1978-2010)""为""上海市志(1978-2010)""的组成部分,是一部独立完整的志书,全面客观系统地记述了改革开放以来上海市群众文艺事业改革,探索,创新,发展的轨迹和成果.记述的主体是经各级文化主管部门注册登记,认可的群众文化机构,群众文艺团队,内容涵盖1978-2010年群众文艺创作,群众文艺活动,群众文化理论研究,民间文艺研究,艺术普及,群众文化事业管理,非物质文化遗产,人物等","否"
"1281761848","9787532599097,7532599094","上海市志. 社会团体分志(1978-2010)","上海市地方志编纂委员会","2021","chi","Book","PrintBook","Di 1 ban",1,"上海古籍出版社","Shanghai","Associations, institutions, etc. China Shanghai History,Associations Chine Shanghai Histoire,Associations, institutions, etc,Shanghai (China) History,China Shanghai,History,Zhongguo fang zhi","本稿为上海市""二轮志书""的一部分,由上海市科学技术委员会主持编纂,专门专业机构和专家具体承编,上限为1978年,下限为2010年,全面反映改革开放以来上海相关事业发展的历程和成就","否"
"1360558325","9787573201546,7573201540","上海市志 (1978-2010). 人力资源和社会保障分志. 劳动卷","上海市地方志编纂委员会","2021","chi","Book","PrintBook","Di 1 ban",1,"上海古籍出版社","Shanghai Shi","Labor policy China Shanghai History,Travail Chine Shanghai Histoire,Shanghai (China) Economic policy,Zhongguo fang zhi","本书为上海市""二轮志书""的一部分,由上海市地方志编纂委员会主持编纂,专门专业机构和专家具体承编,上限为 1978 年,下限为 2010 年,全面反映改革开放以来上海相关事业发展的历程和成就.本卷是上海第一部劳动事业方面的志书,全面记述 1978-2010 年上海劳动事业改革,创新,发展,演变的历史进程.本卷对上海就业制度变革缘起及 1995 年实施""劳动法""后,就业,培训,劳动关系等方面内容分别记述,重点记述 1991-2010 年上海在就业促进,职业培训,企业薪酬管理,劳动关系,劳动监察,争议处理,安全生产监督,机构,课题研究,宣传和合作交流等方面内容.本卷与""人事卷""""社会保障卷""同为""上海市志,人力资源和社会保障分志(1978-2010)""组成部分","否"
"1257395814","9787532598687,7532598683","上海市志. 图书·文博分志. 图书馆事业卷(1978-2010)","上海市地方志编纂委员会","2021","chi","Book","PrintBook","Di 1 ban",1,"上海古籍出版社","Shanghai","Libraries China Shanghai History,Bibliothèques Chine Shanghai Histoire,Libraries,Shanghai (China) History,China Shanghai,History,Zhongguo fang zhi","本稿为上海市""二轮志书""的一部分,由上海市科学技术委员会主持编纂,专门专业机构和专家具体承编,上限为1978年,下限为2010年,全面反映改革开放以来上海相关事业发展的历程和成就","否"
"1298868631","9787573200686,7573200684","上海市志. 图书·文博分志. 文博卷(1978-2010)","上海市地方志编纂委员会","2021","chi","Book","PrintBook","Di 1 ban",1,"上海古籍出版社","Shanghai","Museums China Shanghai History,Musées Chine Shanghai Histoire,Antiquities,Museums,Shanghai (China) History,Shanghai (China) Antiquities,China Shanghai,History,Zhongguo fang zhi","本书是上海市第二轮新编地方志的组成部分.""上海市志,图书,文博分志,文博卷(1978-2010)""为关于文物,考古,博物馆工作的分志,包括不可移动文物,遗址,博物馆和可移动收藏文物,文物流通,教育科研,文博管理等共6篇,及专记,附录,大事记等.通过文博卷的记叙,可以全景式地展现上海考古发展,博物馆建设和教育研究,文物流通等方面翻天覆地的巨大变化,为有关部门,社会各界和广大读者学习,研究上海文博方面的情况起到重要的借鉴和指导作用","否"
"1360559355","9787573201522,7573201524","上海市志 (1978-2010). 人力资源和社会保障分志. 社会保险卷","上海市地方志编纂委员会","2021","chi","Book","PrintBook","Di 1 ban",1,"上海古籍出版社","Shanghai Shi","Social security China Shanghai History,Sécurité sociale Chine Shanghai Histoire,Shanghai (China) Social policy,Zhongguo fang zhi","本书为上海市""二轮志书""的一部分,由上海市科学技术委员会主持编纂,专门专业机构和专家具体承编,上限为 1978 年,下限为 2010 年,全面反映改革开放以来上海相关事业发展的历程和成就.本卷是上海第一部社会保险方面的志书,全面记述 1978-2010 年上海社会保险改革,创新,发展,演变的历史进程.本卷所称社会保险是指按照国家规定设立的,职业人群的养老,医疗,失业,工伤,生育等五项保险制度和居民的养老,医疗保险制度,还包括国家统一制度出台前上海创新实施的农村养老保险,外来从业人员社会保险和小城镇社会保险制度,以及实施上述各项社会保险制度的管理服务情况","否"
