"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1266025553","9787544657525,7544657523","大学跨文化英语口语教程. 教师用书. 1 College English creative communication. Teacher's book. 1","史默伍德","2019","eng","Book","PrintBook","Di 1 ban",1,"上海外语教育出版社","Shanghai","Ying yu Kou yu Gao deng xue xiao Jiao cai","","否"
"1265976650","9787544657457,7544657450","大学跨文化英语阅读教程. 2, 学生用书 College English creative reading. 2, Student's book","史默伍德","2019","eng","Book","PrintBook","Di 1 ban",1,"上海外语教育出版社","Shanghai","Ying yu Yue du jiao xue Gao deng xue xiao Jiao cai","本教程为大学本科公外英语教材,共四册,含学生用书和教师用书,主要特点是将跨文化元素融入通用英语体系,将文化知识的传授与跨文化交际能力的提升融入英语综合技能的培养中,以满足《大学英语教学指南》中跨文化交际英语课程的教学目标和需要。本册为第二册学生用书","否"
"1266147186","9787544657563,7544657566","大学跨文化英语口语教程. 教师用书. 3 College English creative communication. Teacher's book. 3","史默伍德","2019","eng","Book","PrintBook","Di 1 ban",1,"上海外语教育出版社","Shanghai","Ying yu Kou yu Gao deng xue xiao Jiao cai","","否"
"1265953628","9787544648868,7544648869","文学语言与人物塑造的语料库语言学研究方法 析弗吉尼亚·伍尔夫的《海浪》 = A corpus linguistic approach to literary language and characterization : Virginia Woolf's the Waves","(意) 巴洛西","2019","eng","Book","PrintBook","Di 1 ban",1,"上海外语教育出版社","Shanghai","Yu liao ku Yu yan xue Yan jiu fang fa Ying wen","本书采用定量和定性相结合的方法,从历时和共时的角度,以弗吉尼亚·伍尔夫的小说《海浪》为文本,使用计算机软件技术对其中六个人物的语言在语法和语义方面进行了分析","否"
"1266149171","9787544657549,754465754X","大学跨文化英语口语教程. 教师用书. 2 College English creative communication. Teacher's book. 2","史默伍德","2019","eng","Book","PrintBook","Di 1 ban",1,"上海外语教育出版社","Shanghai","Ying yu Kou yu Gao deng xue xiao Jiao cai","","否"
"1265978092","9787544657716,754465771X","嵌入式形成性评价 Embedded formative assessment","(英) 威廉, (William, Dylan)","2019","eng","Book","PrintBook","Di 1 ban",1,"上海外语教育出版社","Shanghai","Jiao xue ping gu Ying wen","《嵌入式形成性评价(第2版)(英文版)/教师专业学习共同体PLC研究丛书》由Solution Tree出版社于2018年出版,共235页。全书共7章,对课堂形成性评价实践研究进行了总结,阐明了这一研究对教学的深远影响,并对形成性评价的五个关键策略分别进行了阐述,提出了五十多种课堂形成性评价的实际技巧,旨在帮助教师改善教学效果,使教学更契合学生的学习需求","否"
"1266015035","9787544657587,7544657582","大学跨文化英语口语教程. 教师用书. 4 College English creative communication. Teacher's book. 4","史默伍德","2019","eng","Book","PrintBook","Di 1 ban",1,"上海外语教育出版社","Shanghai","Ying yu Kou yu Gao deng xue xiao Jiao cai","","否"
"1266159577","9787544657600,7544657604","翻译的艺术 The art of translation","(捷) 列维","2019","eng","Book","PrintBook","Di 1 ban",1,"上海外语教育出版社","Shanghai","Wen xue fan yi Ying wen","","否"
"1159402009","9787544659505,754465950X","Functions of language = 功能语言学","彭宣维","2019","eng","Book","PrintBook","Di 1 ban",1,"上海外语教育出版社","Shanghai","Linguistics,Language and languages,Language,Linguistique,Langage et langues,linguistics","","否"
"1389730963","9787544671507,754467150X","A short course in international business etiquette = 国际商务礼仪简明教程","李琳","2023","eng","Book","PrintBook","Di 1 ban",1,"上海外语教育出版社","Shanghai","Business etiquette,Savoir-vivre Affaires","","否"
"1390673066","9787544672238,7544672239","English readings for Chinese and western educational theories = 中西方教育理论英语阅读教程","朱荣华","2022","eng","Book","PrintBook","Di 1 ban",1,"上海外语教育出版社","Shanghai","Education Philosophy,English language Textbooks","","否"
"1159402405","9787544660136,7544660133","Languages in contrast = 语言对比","王菊泉","2019","eng","Book","PrintBook","Di 1 ban",1,"上海外语教育出版社","Shanghai","Contrastive linguistics,Linguistique contrastive","","否"
"1265893909","9787544650199,7544650197","交际界位研究 社会语言学视角 = Stance : sociolinguistic perspectives","亚费","2018","eng","Book","PrintBook","Di 1 ban",1,"上海外语教育出版社","Shanghai","She hui yu yan xue Ying wen","","否"
"1266111367","9787544649902,7544649903","高职国际进阶英语. 综合教程. 1, 教师手册","普里迪","2018","eng","Book","PrintBook","Di 1 ban",1,"上海外语教育出版社","Shanghai","Ying yu Zhi ye jiao yu Jiao xue can kao zi liao","本书共8个单元,从高职学生在生活和未来工作中使用英语进行交流的实际需要出发,选取多种行业共同的典型交际任务,培养学生的英语交流能力","否"
"1266111621","9787544650496,7544650499","认知语法探索 Investigations in cognitive grammar","兰盖克","2018","eng","Book","PrintBook","Di 1 ban",1,"上海外语教育出版社","Shanghai","Ren zhi yu yan xue Yu fa Yan jiu Ying wen","本书阐述了认知语法的新近研究成果,包括理论框架及其在各种语法现象中的应用","否"
"1265997009","9787544653237,7544653234,9787900533029,7900533028","流畅英语口语教程. 学生用书. 第二册 New inside out intermediate : Student's book","凯","2018","eng","Book","PrintBook","2 ban",2,"上海外语教育出版社","Shanghai","Ying yu Kou yu Jiao cai","本书每单元话题经充分调研筛选而成,涉及日常生活的各个领域,在全面训练英语技能的基础上发展学生的英语交际能力","否"
"1266091055","9787544650304,7544650308","认知语言学 应用与展望 = Cognitive linguistics : current applications and future perspectives","克里斯蒂安森","2018","eng","Book","PrintBook","Di 1 ban",1,"上海外语教育出版社","Shanghai","Ren zhi yu yan xue Yan jiu Ying wen","","否"
"1266008561","9787544652971,7544652971","泛读教程. 1, 学生用书","王守仁.","2018","eng","Book","PrintBook","Di 1 ban",1,"上海外语教育出版社","Shanghai","Ying yu Yue du jiao xue Gao deng jiao yu Jiao cai","","否"
"1266160484","9787544653466,7544653463","流畅英语口语教程. 学生用书. 第一册","凯","2018","eng","Book","PrintBook","2 ban",2,"上海外语教育出版社","Shanghai","Ying yu Kou yu Gao deng xue xiao Jiao cai","","否"
"1266018367","9787544653220,7544653226","阅读教程. 西方文化. 1 A reading course. western culture historical overviews. 1","周小进.","2018","eng","Book","PrintBook","Di 1 ban",1,"上海外语教育出版社","Shanghai","Ying yu Yue du jiao xue Gao deng xue xiao Jiao cai","","否"
"1265969239","9787544650656,7544650650","认知语言学 基础读本 = Cognitive linguistics : basic readings","吉拉兹","2018","eng","Book","PrintBook","Di 1 ban",1,"上海外语教育出版社","Shanghai","Ren zhi yu yan xue Yan jiu Ying wen","本书是认知语言学的入门阅读,汇集了本研究领域20篇由大师撰写的论文,探讨了认知语言学的基本概念和实践研究","否"
"1266116466","9787544650229,7544650227","英语音系 The sound pattern of English","(美) 乔姆斯基","2018","eng","Book","PrintBook","Di 1 ban",,"上海外语教育出版社","Shanghai","Ying yu Yu yin Yan jiu Ying wen","","否"
"1265876409","9787544644259,7544644251","用认识语言学提高语言教学效率 Fostering language teaching efficiency through cognitive linguistics","克诺普","2018","eng","Book","PrintBook","Di 1 ban",1,"上海外语教育出版社","Shanghai","Ren zhi yu yan xue Ying yong Yu yan jiao xue Ying wen","","否"
"1266133439","9787544650113,7544650111","创造力与人工智能的概念整合研究 Creativity and artificial intellagence : a conceptual blending approach","(丹) 佩雷拉","2018","eng","Book","PrintBook","Di 1 ban",1,"上海外语教育出版社","Shanghai","Ren zhi yu yan xue Ying yong Chuang zao neng li Yan jiu Ying wen,Ren zhi yu yan xue Ying yong Ren gong zhi neng Yan jiu Ying wen","","否"
"1265942186","9787544653244,7544653242,9787900533036,7900533036","流畅英语口语教程. 学生用书. 第三册","凯","2018","eng","Book","PrintBook","2 ban",1,"上海外语教育出版社","Shanghai","Ying yu Kou yu Jiao cai","本书每单元话题经充分调研筛选而成,涉及日常生活的各个领域,在全面训练英语技能的基础上发展学生的英语交际能力","否"
"1265974235","9787544651424,7544651428","语音学批评性引论 A critical introduction to phonetics","(英) 洛奇","2018","eng","Book","PrintBook","Di 1 ban",,"上海外语教育出版社","Shanghai","Ying yu Yu yin Yan jiu Ying wen","本书通过不同语言的实例向读者介绍了语音学研究的方方面面,里面涉及了言语和写作的区别,言语产出的生理学机能,发音过程和声学语音学等内容","否"
