"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1158587612","9787513257305,7513257302","Theory and practice of Tuina / 推拿学 / 主编, 王之虹, 王金贵","王之虹","2019","eng","Book","PrintBook","Di 1 ban",1,"中国中医药出版社","Beijing","Massage","","否"
"1388261195","9787513271769,7513271763","健康其实很简单 : 中医陪你过好每一天","方寸山乐知社.","2022","chi","Book","PrintBook","Di 1 ban",2,"中国中医药出版社","Beijing","Zhong guo yi yao xue Pu ji du wu","本书分为中医应对常见病,中医里的情志望诊,中医育儿面面观,健康的中医生活方式4章,内容包括:你必须知道的中医牙科知识,各种耳病的自救大全,乳腺增生竟和这个姿势有关等","否"
"1243218695","9787513255066,7513255067","医宗必读","李中梓 (1588-1655)","2020","chi","Book","PrintBook","Di 1 ban",23,"中国中医药出版社","Beijing","Zhong guo yi yao xue Zong ji","本书是一部集理,法,方,药于一体的综合性医书.全书共十卷,先取<内经>,次采诸家,参以己见,辅以医案","否"
"1388267462","9787513274272,7513274274","传统医学师承人员出师和确有专长人员考核拿分考典","传统医学师承人员出师和确有专长人员考核命题研究组.","2022","chi","Book","PrintBook","Di 1 ban",1,"中国中医药出版社","Beijing","Zhong yi shi Zi ge kao shi Zi xue can kao zi liao","本书分为实践技能部分,综合笔试部分·基础,综合笔试部分·临床3个部分,内容包括:中医基础理论,中医诊断学,中药学,方剂学,中医内科学等","否"
"1099481332","9787513247856,7513247854","生理学 : 双语","高剑锋","2018","eng","Book","PrintBook","Di 1 ban",1,"中国中医药出版社","Beijing Shi","Human physiology,Human physiology Textbooks,Human body,Medicine, Chinese Textbooks,Physiologie humaine,Corps humain,Medicine, Chinese,Textbooks","","否"
"1408707149","9787513274265,7513274266","传统医学师承人员出师和确有专长人员考核表格速记","传统医学师承人员出师和确有专长人员考核命题研究组.","2022","chi","Book","PrintBook","Di 1 ban",1,"中国中医药出版社","Beijing","Zhong yi shi Zi ge kao shi Zi xue can kao zi liao","本书按照考试大纲进行梳理,按科目排列,重点明确,层次清晰.所有试题均附有正确答案,考点及解析.解析采取了选项解析法,除帮助考生掌握正确答案外,还对其他各选项进行了分析,使考生能举一反三,触类旁通,适合基础薄弱,时间紧迫的考生.考生可从这些题中了解考试的出题思路,出题方向,高频考点","否"
"1372415932","9787513274234,7513274231","中医内科临床实训教程","刘中勇","2022","chi","Book","PrintBook","Di 1 ban",1,"中国中医药出版社","Beijing","Internal medicine,Medicine, Chinese,Internal Medicine,Medicine, Chinese Traditional,Médecine interne,Médecine chinoise","","否"
"1240149657","9787513259156,7513259151","饮食术 : 风靡日本的科学饮食教科书","牧田善二, author","2020","chi","Book","PrintBook","Di 1 ban",6,"中国中医药出版社","Beijing Shi","Diet therapy,Food habits,Nutrition,Health behavior,Self-care, Health,Nutrition Therapy,Diet Therapy,Feeding Behavior,Nutritional Physiological Phenomena,Health Behavior,Self Care,Diétothérapie,Habitudes alimentaires,Habitudes sanitaires,Autothérapie","","否"
"1112278399","9787513246958,7513246955","陈莲舫医著大成","陈莲舫 (1840-1914)","2019","chi","Book","PrintBook","Di 1 ban",1,"中国中医药出版社","Beijing","Zhong yi lin chuang Jing yan Zhong guo Jindai","本书收入陈莲舫代表作五种:<加批校正金匮要略心典><加批时病论><女科秘诀大全><陈莲舫先生医案><陈莲舫先生医案秘钞>","否"
"1178833834","9787513251730,7513251738","经子医读 / 处世摄生篇","严世芸","2019","chi","Book","PrintBook","Di 1 ban",1,"中国中医药出版社","Beijing","Zhong guo yi yao xue","本书主要从<易经>与医学,宇宙论,阴阳五行,天地人等方面探讨医药相关知识,融合了经子,医学百家的精华,取材远及周,秦,下至汉,晋,遴选原文,进行解读","否"
"1178828715","9787513216142,7513216142","丁甘仁大医成著","丁甘仁 (1865-1926)","2019","chi","Book","PrintBook","Di 1 ban",1,"中国中医药出版社","Beijing","Zhong yi lin chuang Jing yan Zhong guo Jindai","本书为丁甘仁个人著作总集,集中体现了孟河医派重要代表人物丁甘仁的学术思想及临证经验.本书包括医论,医案,医方三部分:分别是<脉学辑要><药性辑要><诊方辑要><喉痧症治概要><丁甘仁医案><丁甘仁晚年出诊医案><百病医方大全><沐树德堂丸散集>,<钱存济堂丸散膏丹全集>","否"
