"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1313658162","9787520512312,7520512312","教会大学","韩淑芳","2019","eng","Book","Digital","Di 1 ban",1,"中国文史出版社","Beijing","Christian universities and colleges China History,College students China,Universités confessionnelles Chine Histoire,Étudiants Chine,Christian universities and colleges,College students,China History Republic, 1912-1949,Chine Histoire 1912-1949 (République),China,History,1912-1949","""民国趣读""系列图书是中国文史出版社为普及宣传政协文史资料、宣传政协文史工作而精心打造的丛书.本书为该系列图书之一种,是追忆民国时期12所教会大学的文字集纳,主要讲述了民国期间这些教会大学里的课堂趣闻、名师风采、社团活动......片段小文、三言两语,再现教会大学校园里那些逝去的过往","否"
"1124328739","9787520508964,752050896X","近代中国要塞","全国政协文化文史和学习委员会 (China)","2019","chi","Book","PrintBook","Beijing di 1 ban",2,"中国文史出版社","Beijing","Fortification China History,Coast defenses China History,Fortifications Chine Histoire,Défense côtière Chine Histoire,Fang yu Guan ai Jie shao Zhong guo Jin dai,Coast defenses,Fortification,China,History","要塞, 历来是军事上的防御重地.16世纪以来, 带有殖民性质的海洋文明国家逐渐将侵略的触觉伸向中国.历代中国政府为了确保国土安全和沿海贸易利益, 建设并完善了海防要塞工程.到了19世纪, 我国的国防前线重点已经从长城内外转移到了沿海地带.本书由南及北, 由沿海到内地, 主要讲述了我国华南, 华东, 华北, 东北分布的重要海防要塞, 关口要塞及地下要塞, 描写了中华儿女面对外敌侵略, 以血肉之躯进行英勇抵抗, 谱写了一篇篇可歌可泣的壮烈诗篇","否"
"1283856524","9787520511278,7520511278","鱼台孝贤文化","中国人民政治协商会议山东省鱼台县委员会编.","2019","chi","Book","Digital",,1,"中国文史出版社","Beijing","Electronic books","鱼台县所处的山东省济宁市是著名的""孔孟之乡"",向被称为儒孝文化的发源地。本书汇集了鱼台""五里三贤""的历史故事,探寻百姓的家祠,了解家风家训,挖掘鱼台历史上的孝贤文化元素,讴歌了鱼台孝贤文化传统和厚重的孝贤文化积淀。","否"
"1375148648","9787520533676,7520533670","光芒之下 : 苏辙传","史在新 (1943-)","2022","chi","Book","PrintBook","Di 1 ban",2,"中国文史出版社","Beijing","Chuan ji xiao shuo Zhong guo Dangdai,Zhang pian xiao shuo Zhong guo Dangdai","宋仁宗宝元二年(1039)二月二十日,天刚刚放亮,四川眉山县城西的五亩庭院里,就传出一阵哇哇的啼哭声,苏家的三公子降生了!就在苏家上上下下忙碌的时候,消息已在四邻八舍中传开:""发喜蛋了!""""谁家的喜蛋""""苏家的三公子""......","否"
"1334410305","9787520534321,7520534324","鄂豫边地方抗日民主根据地史丛书","湖北省新四军暨华中抗日根据地历史研究会","2022","chi","Book","PrintBook","Di 1 ban",1,"中国文史出版社","Beijing","Sino-Japanese War, 1937-1945 China Hubei Sheng,Sino-Japanese War, 1937-1945 China Henan Sheng,Guerre sino-japonaise, 1937-1945 Chine Hubei,Guerre sino-japonaise, 1937-1945 Chine Henan (Sheng)","豫鄂边抗日民主根据地是一块拥有9万多平方公里,1300多万人口,活跃在武汉外围的横跨鄂,豫,皖,湘,赣五省的抗战基地.在这块抗日热土上,新四军第五师高举抗日民族统一战线大旗,以百折不挠的精神和不胜不休的毅力,破关越隘,克难渡险,稳步开拓根据地,最终实现了对敌占华中重镇武汉的战略包围.鄂东包括湖北省平汉铁路(今京广铁路)以东,长江以北的与豫,皖,赣毗邻的地区","否"
"1388294458","9787520534321,7520534324","鄂豫边抗日民主根据地史丛书 / 鄂南抗日民主根据地史","康中喜","2022","chi","Book","PrintBook","Di 1 ban",1,"中国文史出版社","Beijing","E yu wan kang ri gen ju di Hubei Shi liao","Zai kang ri zhan zheng zhong,E nan kang ri min zhu gen ju di ji shi xin si jun di wu shi tiao yue zhang jiang nan bei xun ji jian di de ji di,You shi ba lu jun,Xin si jun nan xia shou fu shi di de qiao tou bao he ke kao hou fang.Ta chuang li de ge xiao kuai gen ju di hu wei ji jiao,Hu xiang yi kao,You li yu zheng ge gen ju di de gong gu fa zhan.E nan ren min zai zhong gong e nan dang zu zhi de ling dao xia,Jian ren bu ba,Qian pu hou ji,Ying yong fen dou,Shi e nan de di hou kang ri dou zheng sheng li di du guo le ji duan jian ku de sui yue,Wei duo qu kang zhan sheng li zuo chu le zhong yao gong xian","否"
"1388287504","9787520534321,7520534324","鄂豫边抗日民主根据地史丛书 / 襄西抗日民主根据地史","康中喜","2022","chi","Book","PrintBook","Di 1 ban",1,"中国文史出版社","Beijing","E yu wan kang ri gen ju di Hubei Shi liao","","否"
"1388266092","9787520534321,7520534324","鄂豫边抗日民主根据地史丛书 / 鄂东抗日民主根据地史","康中喜","2022","chi","Book","PrintBook","Di 1 ban",1,"中国文史出版社","Beijing","E yu wan kang ri gen ju di Hubei Shi liao","","否"
"1388286273","9787520534321,7520534324","鄂豫边抗日民主根据地史丛书 / 襄河抗日民主根据地史","康中喜","2022","chi","Book","PrintBook","Di 1 ban",1,"中国文史出版社","Beijing","E yu wan kang ri gen ju di Hubei Shi liao","","否"
"1403844432","9787520534901,7520534901","中国共产党甘肃省康县历史 (1936-1978)","中共康县县委.","2022","chi","Book","PrintBook","Beijing di 1 ban",2,"中国文史出版社","Beijing","Zhongguo gong chan dang Party work History 20th century Sources,Political parties China Kang Xian History 20th century Sources,Gansu Sheng (China) History 20th century Sources,Kang Xian (China) History 20th century Sources,Gansu (Chine) Histoire 20e siècle Sources","""中国共产党甘肃省康县历史""(1936-1978)一书在内容编排上采用编年体与纪事体相结合, 以编年体为主的体例, 分期划块, 纵横结合. 总体编排按章, 节, 目布局, 章以编年体为主, 按时间顺序排列; 对新中国成立前的康县经济社会简况和党的活动的资料进行搜集整理; 真实地记述地方党组织活动的发展历程, 客观地总结历史经验, 全面地反映康县各级党组织在各个历史时期贯彻执行党的路线, 方针, 政策的情况, 反映康县党史上的重大事件, 党组织的自身建设以及党领导人民群众在康县经济社会发展中所取得的重大成就","否"
