"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1265976666","9787115511843,7115511845","这才是心理学 How to think straight about psychology : 英文版","(加) 斯坦诺维奇","2019","eng","Book","PrintBook","Ying yin ban",49,"人民邮电出版社","Beijing","Xin li xue","","否"
"1375146481","9787115556547,7115556547","人体运动彩色解剖图谱 / 肌肉训练百科全书","人邮体育解剖图谱编写组.","2022","chi","Book","PrintBook","Di 1 ban",1,"人民邮电出版社","Beijing","Ren ti jie pou xue Tu pu,Ji rou Li liang xun lian Tu pu","本书介绍了140种针对全身肌肉的,涉及徒手和器械的训练方法,并以专业教练示范的动作图及彩色肌肉解剖图讲解训练动作要点,可以帮助训练者清晰了解训练动作的正确做法和目标肌群,并根据不同的训练场景进行合适的训练,同时还提供了20余种运动专项和功能性强化的训练方案,从而帮助训练者高效训练,有效预防损伤,针对性提升运动和生活表现","否"
"1375138277","9787115553768,7115553769","人体运动彩色解剖图谱 / 弹力带减脂塑形训练","人邮体育解剖图谱编写组.","2022","chi","Book","PrintBook","Di 1 ban",1,"人民邮电出版社","Beijing","Ren ti jie pou xue Tu pu,Jian shen qi xie Jian shen yun dong Yun dong xun lian Tu pu","本书提供了80个经典的,针对全身各部位的弹力带训练动作,书中的每一个动作都配有专业健身教练示范的动作图解,高清3D肌肉解剖图及健身建议,指出该训练动作的锻炼步骤,主要锻炼的肌肉,正确的呼吸方法和新手常见的错误","否"
"1348895063","9787115575593,7115575592","Electromagnetic compatibility principles, modeling and design / 电磁兼容原理, 建模与设计 / 吴琦, 苏东林编著","吴琦, author","2022","eng","Book","PrintBook","Di 1 ban",1,"人民邮电出版社","Beijing","Electromagnetic compatibility,Compatibilité électromagnétique","","否"
"1265974824","9787115495921,7115495920","算法设计 Algorithm design : 英文版","(美) 克莱因伯格","2019","eng","Book","PrintBook","[ying yin ban]",24,"人民邮电出版社","Beijing","Suan fa she ji Ying wen","本书围绕算法设计进行组织,对每种算法技术选择了多个典型范例进行分析,把算法的理论跟实际存在的问题结合起来,具有很大的启发性。书中侧重算法设计思路,每章都从实际问题出发,经过深入的具体分析引出相应的算法的设计思想,并对算法的正确性和复杂性进行合理的分析和论证","否"
"1388280045","9787115496256,7115496250","人体运动彩色解剖图谱 / 徒手健身百科全书","人邮体育解剖图谱编写组.","2022","chi","Book","PrintBook","Di 1 ban",1,"人民邮电出版社","Beijing","Ji rou Li liang xun lian Tu pu,Jian shen yun dong Tu pu,Ren ti jie pou xue Tu pu","本书涵盖了针对肩部,手臂,背部,胸部,核心,臀部,腿部7大人体部位的131个经典徒手训练动作,国家队体能教练设计的全面健身方案,以及必备的基础健身知识.书中的每一个训练动作都配有专业健身教练亲自示范的动作图解,高清3D肌肉解剖图及健身建议,指出该训练动作的锻炼步骤,主要锻炼的肌肉,正确的呼吸方法,新手常见的错误","否"
"1375139713","9787115585066,7115585067","机器人总动员","童趣出版公司.","2022","chi","Book","PrintBook","Di 1 ban",4,"人民邮电出版社","Beijing","Tu hua gu shi Zhong guo Dangdai","","否"
"1388301587","9787115532985,7115532982","大漠孤烟直 : 赵民精选集","赵民.","2022","chi","Book","PrintBook","Di 1 ban",1,"人民邮电出版社","Beijing","Qi ye guan li Zhongguo Wen ji","本书是从赵民先生创业三十年来所写的文章中精选出来的百篇佳作,分为上下两卷,上卷决战,下卷百字文.作为管理者,赵民先生始终花时间去学习,去思考,以真切而平实的写作手法描绘了其见闻及思考,他将创办,经营企业以及做企业咨询中积累下来的经验与教训都浓缩在本书中.内容涉及宏观经济趋势,企业家精神,企业领导力,人才管理,创新创业等话题","否"
"1407583084","9787115593405,711559340X","跨境电商基础与实务 : 微课版 = Cross-border e-commerce fundamental and practice","邹益民","2022","chi","Book","PrintBook","Di 1 ban",1,"人民邮电出版社","Beijing","Dian zi shang wu Gao deng jiao yu Jiao cai","本书以培养""新商科""应用型人才为导向,解读跨境电商的工作领域和职能,并据此构建知识蓝图,主要讨论跨境电商的基本理论,跨境电商平台的选择,跨境电商选品,发布与商品优化,跨境电商网络营销,跨境电商物流与通关,跨境电商客户服务与沟通,跨境电商支付与结算,跨境电商数据分析,跨境电商法律法规与监管的相关知识","否"
"1407580339","9787115588678,7115588678","电子商务概论及案例分析","陈德人","2022","chi","Book","PrintBook","Di 1 ban",1,"人民邮电出版社","Beijing","Dian zi shang wu Jiao cai","本书对电子商务的相关知识进行了系统介绍,包括电子商务概述,电子商务的技术支持,传统电子商务的商业模式,网络营销,网店的运营与管理,电子支付,电子商务物流及供应链管理,电子商务安全,新兴电子商务和电子商务法等内容.本书在讲解这些知识的同时,配以丰富的案例和二维码扩展资源,并且在每章中设计了""学习目标""""引导案例""""案例分析""""实践训练""""课后习题""等版块,以培养读者的分析与应用能力,帮助读者尽快掌握所学内容","否"
