"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1251846999","9787301319888,7301319886","斯文在兹 : 北京大学中文系建系110周年纪念论文集. 现代思想与文学卷","北京大学.","2021","chi","Book","PrintBook","Di 1 ban",2,"北京大学出版社","Beijing","Chinese literature History and criticism,Littérature chinoise Histoire et critique,Chinese literature,Criticism, interpretation, etc","""斯文在兹:北京大学中文系建系110周年学术论文集"",全书依主题为三卷,分别收录""中国古典学""""语言与人类复杂系统研究""""现代思想与文学研究""三大平台的研究成果.其中""现代思想与文学""研究平台是北京大学中文系试图整合现有的当代文学,现代文学,民间文学,文艺理论,比较文学等五个教研室的科研与教学力量所组建的具有交叉性质的跨学科文学研究机构.本卷即此方面的研究成果.书中既有老一辈学者所提交的论文,比如乐黛云""对比较文学和世界文学的一些思考"",严家炎先生""复调小说:鲁迅的突出贡献"",孙玉石先生""新诗:现代与传统的对话:兼释20世纪30代的""晚唐诗热"""",谢冕先生""前进的和建设的:中国新诗一百年(1916-2016)"",段宝林先生的""<中华民俗大典>的构想与设计""以及文艺学领域几位老先生关于西方的马克思主义文论与本土化的研究,展示了他们的学术思想和问题视野.而在职的中生代学者的研究则昭示着在老一辈学者培植之下新的学术转型已趋完成.他们提交的代表作大都显示出对核心的重大的前沿性问题的探讨,以期显示中国当代学术规范和发展方向.类似的研究思路在80后90后青年学者那里也同样得到体现,而青年学者们也以自己的出色的研究成果,彰显出某种学科视野的未来性远景.可以说,本书从整体上呈现了北大中文系对20世纪以降的现当代中国思想与学术的综合性研究视景","否"
"1404541511","","读本中的美国文化与社会 = Reading on American culture and society","王爱华","2021","eng","Book","Digital","Di 1 ban",1,"北京大学出版社","Beijing","Readers United States,English language Textbooks for foreign speakers Chinese,United States Civilization Problems, exercises, etc,United States Social life and customs,États-Unis Mœurs et coutumes","本书从各式经典英语读本中精选出关于美国文化与社会的11篇文章,对文章内容进行详细的注解与理解操练.让学生在阅读经典英语读物的同时了解美国与社会.本书的每篇文章后附有注释、阅读理解练习、文化背景注释等作为学生的辅助阅读材料","否"
"1404541495","","世界格局中的澳大利亚 : 历史, 现实与未来 = Australia in the world : past, present and future","刘树森","2021","eng","Book","Digital","Di 1 ban",1,"北京大学出版社","Beijing","Australia History,Australie Histoire","本书收入国内外专家学者有关澳大利亚研究的论文共计22篇,内容涵盖中澳关系、澳大利亚的历史、政治、文学、教育、语言、新闻媒体、经济、以及生态与环保研究等诸多领域,从不同侧面探讨和研究澳大利亚及其社会特征,体现了澳大利亚研究的最新成果.此外、本书的序言还概述了北京大学澳大利亚研究从20世纪70年代至今的发展历程以及所取得的成就","否"
"1404442061","","Selected articles of universities and disciplines = ""大学与学科"" 文章精选. 2021","黄宝印","2021","eng","Book","Digital","Di 1 ban",2,"北京大学出版社","Beijing","Education, Higher,Universities and colleges,Enseignement supérieur,Universités,higher education","本书从《大学与学科》杂志总第1期至第4期精选了11篇文章,主要介绍了具有中国特色的学科制度、学科建设和学科评价等方面,包括学科理论内涵、学科制度发展、学科目录演进、西部高校特色做法、交叉学科发展、学科评价理念与实践等内容","否"
"1404446801","","英语国家概况","訾缨","2021","eng","Book","Digital","Di 2 ban",1,"北京大学出版社","Beijing","Readers History,English-speaking countries,English language Textbooks for foreign speakers,Anglais (Langue) Lectures et morceaux choisis Histoire,Anglais (Langue) Manuels pour allophones","本书分为十五章进行编排,内容包括美国、加拿大、英国、爱尔兰、澳大利亚和新西兰等六个国家的概况","否"
"1224977458","9787301313343,7301313349","D-wave superconductivity = d波超导体","向涛, author","2020","eng","Book","PrintBook","Di 1 ban",4,"北京大学出版社","Beijing Shi","Superconductivity,Supraconductivité","","否"
"1181975527","9787301308943,7301308949","International financial management, 3E / 国际金融管理, 第3版 / (美) 迈克尔·B. 科诺利著","Michael B. Connolly","2020","eng","Book","PrintBook","Di 1 ban",1,"北京大学出版社","Beijing Shi","International finance,Foreign exchange,Change","","否"
"1202221479","9787301314050,7301314051","Introduction to accelerator dynamics / 加速器动力学导论 / (美) 史蒂芬·佩格斯, (美) 托德·萨托加塔著","Stephen Peggs","2020","eng","Book","PrintBook","Di 1 ban",1,"北京大学出版社","Beijing Shi","Particle accelerators,Particle dynamics,Synchrotron radiation,Accélérateurs de particules,Dynamique d'une particule,Rayonnement synchrotron","","否"
"1155095423","9787301307861,7301307861","Path integrals and Hamiltonians : principles and methods","B. E. Baaquie","2019","eng","Book","PrintBook","Di 1 ban",1,"北京大学出版社","Beijing Shi","Differential operators,Differential equations,Hamiltonian operator,Path integrals,Opérateurs différentiels,Équations différentielles,Opérateur hamiltonien,Intégrales de chemin","","否"
"1202221482","9787301313770,7301313772","Group theory : application to the physics of condensed matter","M. S. Dresselhaus","2020","eng","Book","PrintBook","Di 1 ban",1,"北京大学出版社","Beijing Shi","Group theory,Condensed matter,Théorie des groupes,Matière condensée","","否"
"1373603735","9787301335062,7301335067","English and American novels and films = 英美小说与电影 (第二版)","张桂珍","2022","eng","Book","PrintBook","Di 2 ban",2,"北京大学出版社","Beijing","Motion pictures and literature,English literature,American literature,English language Study and teaching Foreign speakers,Cinéma et littérature,Littérature anglaise,Littérature américaine,Anglais (Langue) Étude et enseignement Allophones","","否"
"1224218117","9787301314074,7301314078","Atoms and molecules interacting with light : atomic physics for the laser era","Peter Van der Straten","2020","eng","Book","PrintBook","Di 1 ban",,"北京大学出版社","Beijing Shi","Physical optics Textbooks,Electromagnetic waves Textbooks,Electromagnetic waves,Physical optics,Textbooks","","否"
"1155176188","9787301308578,7301308574","Money, banking and financial markets, 5E / 货币金融学, 第5版 / 斯蒂芬·G. 切凯蒂, 克米特·L. 肖恩霍茨著","Stephen G. Cecchetti","2019","eng","Book","PrintBook","Di 1 ban",1,"北京大学出版社","Beijing Shi","Money,Banks and banking,Finance,Capital market,Finances,Marché financier,finance","","否"
"1181988653","9787301312704,7301312709","International corporate finance, 13E / 国际财务管理, 第13版 / (美) 杰夫·马杜拉著","Jeff Madura","2020","eng","Book","PrintBook","Di 1 ban",1,"北京大学出版社","Beijing Shi","International finance,Foreign exchange,Asset-liability management,Banks and banking, International,International business enterprises Finance,Change,Gestion des actifs et des passifs,Banques internationales,Entreprises multinationales Finances","","否"
"1163680823","9787301307885,7301307888","Introduction to cosmology, 2nd edition / 宇宙学导论, 第二版 / (美) 芭芭拉·赖登著","Barbara Sue Ryden","2019","eng","Book","PrintBook","Di 1 ban",1,"北京大学出版社","Beijing Shi","Cosmology,Cosmologie,cosmology","","否"
"1037754756","9787301293829,7301293828","汉语焦点副词与疑问词的形式语义学分析 = Varieties of alternatives: focus particles and Wh-expressions in mandarin","刘明明, author","2018","eng","Book","PrintBook","Di 1 ban",8,"北京大学出版社","Beijing Shi","Chinese language Semantics,Chinese language Adverb,Chinese language Interrogative,Chinois (Langue) Sémantique,Chinois (Langue) Adverbe,Chinois (Langue) Interrogatif,Han yu Fu ci Xing shi yu yi xue Yu yi fen xi,Han yu Yi wen (yu fa) Xing shi yu yi xue Yu yi fen xi","Ben shu tan suo xian dai han yu zhong zui chang yong de liang ge jiao dian fu ci "" dou, jiu "" yi ji yi wen ci "" shen me, na ge ren. ... ."", zai xing shi yu yi xue de kuang jia nei chu li xu ci de "" xi tong xing duo yi "", ren wei zhe xie xu ci biao xian chu "" duo yi "" bu shi yin wei ta men ben shen ju you duo ge yi xiang, er shi you yu zhe xie xu ci neng gou chu xian zai bu tong de yu yi huan jing. shu zhong shi tu zhao chu yin han zai li san de yu fa xian xiang zhi xia de gui l|. yong xuan xiang yu yi xue he "" xuan xiang duo yang xing "" jie shi "" xi tong xing duo yi "", bu jin ke yi jian chi xu ci de dan yi xing, ye ke yi geng hao di li jie zhong duo xiang guan de yu yan xian xiang he jie gou,本书在形式语义学的框架内处理词̌的这种'系统性多义', 认为这些词̌表现出'多义'不是因为它们本身具有多个义项, 而是由于这些词̌能够出现在不同的语义环境.本书试图找出隐含在离散的语法现象之下的规律, 用选项语义学和'选项多样性'解释'系统性多义', 不仅可以坚持词̌的单义性, 也可以更好地理解众多相关的语言现象和结构","否"
"1375130817","9787301331040,7301331045","北京大学中国古文献研究中心集刊 / 第二十四辑","北京大学","2022","chi","Book","PrintBook","Di 1 ban",1,"北京大学出版社","Beijing","Gu wen xian xue Yan jiu Zhong guo Cong kan","本书收录<<周易集解>引注疏考><国家图书馆藏明钞本<东坡先生易解>考述><<毛诗注疏校勘记>""以例校经""现象论析><<四书章句集注>版本源流考论>等文章","否"
"1340011158","9787301330913,730133091X","国际汉学研究通讯. 第二十三, 二十四期","北京大学.","2022","chi","Book","PrintBook","Di 1 ban",1,"北京大学出版社","Beijing","Chinese classics History and criticism,Chinese classics Criticism, Textual,Chinese language Study and teaching,Chinese studies (Sinology) Newsletters,Classiques (Littérature chinoise) Histoire et critique,Chinese classics,Education,Research,China Research,China Study and teaching,Chine Étude et enseignement,China,Criticism, interpretation, etc,Newsletters","""国际汉学研究通讯""是由北京大学国际汉学家研修基地主编的综合性学术文集,是中外学者沟通交流的学术平台.侧重介绍国际汉学界在中国传统人文学科领域的研究动态,收入相关专业的新近研究成果,涵盖中国文学,文献,历史,考古,艺术,中西交流等多个领域.编辑委员会主任为北京大学历史系荣新江教授,委员来自中国,美国,英国,日本等多家高校和学术机构,主编为北京大学中文系刘玉才教授,作者多为国内外一线学者.本期为第二十三,二十四期合刊,分为文明传播,文献天地,汉学人物,马可,波罗研究,艺术史苑,研究综览,基地纪事等七个部分,共计二十余篇文章","否"
"1239648630","9787301318270,7301318278","斯文在兹 : 北京大学中文系建系110周年纪念论文集. 语言与人类复杂系统研究卷","北京大学.","2020","chi","Book","PrintBook","Di 1 ban",1,"北京大学出版社","Beijing","","""斯文在兹-北京大学中文系建系110周年学术论文集"",全书依主题为三卷,分别收录""中国古典学""""语言与人类复杂系统研究""""现代思想与文学研究""三大平台的研究成果.本卷为""语言与人类复杂系统研究"",所收论文为北京大学中文系语言专业教师的代表性论文","否"
"1388280533","9787301335123,7301335121","北大法律评论 / 第22卷·第1辑(2021)","《北大法律评论》编辑委员会.","2022","chi","Book","PrintBook","Di 1 ban",1,"北京大学出版社","Beijing","Fa lü Wen ji","本期的专题是""纪念《送法下乡》出版二十周年"",收录了包括苏力《走进田野.何为田野创造田野! 》,侯猛《司法经验研究的未来--<送法下乡>的学术影响及追问》,陈柏峰《寻事理处即田野--在纪念<送法下乡>初版20周年学术研讨会上的总结致辞》等文章.论文部分包括《迈向何种法律空间--法律与空间研究的四种路径与反思》《生物社会犯罪学: 渊源,范式及启示》等.评论包括《法律可以还原为社会事实吗--对马默<法哲学>的批判性评论》《修正辉格解释: 英国宪法史视域下<大宪章>研究的新趋势》等","否"
"1338630660","9787301119099,7301119097","儒藏. 精华编. 一九一册, 子部儒学类·性理之属","北京大学.","2022","chi","Book","PrintBook","Di 1 ban",1,"北京大学出版社","Beijing","","""儒藏""收录自先秦至清朝结束这一时段中,儒家经典及其注疏,儒家学者的著述和体现儒家思想文化发展的相关文献,包括传世文献与出土文献,尽量选用最好的底本,按传统的经,史,子,集四部分类法进行分类.本书为儒藏一九一册","否"
"1039116795","9787301290804,7301290802","《燕京婦語》等八種","北邊白血","2018","chi","Book","PrintBook","Di 1 ban",3,"北京大學出版社","Beijing Shi","Mandarin dialects China Beijing,Bei jing hua Shi liao,Mandarin dialects,China Beijing","明治时期开始, 随着日本和中国交往增多, 发展出了商务汉语需求和言语社团汉语的需求, 如御幡雅文根据句曲""生意筋络""改写了""燕语生意筋络""(1903年), 北边白血编译 ""燕京妇语""(1906年), ""中国话"" (作者和时间均不详), 善邻书院编辑的 ""急就篇"" (时间不详)和宫岛大八的 ""官话续急就篇""(1935年). 同时, 和日本交往的密切的中国人也编写, 改编了一系列北京官话课本, 包括金国璞编写的 ""虎头蛇尾"" (1906年)和 ""华言问答"" (1903年)以及昭和时期李俊漳编写的""中等官话谈论新篇""(1937). 本卷对以上原书重新录入整理, 并加以校释","否"
"1408495389","9787301335987,7301335989","北京大学中国古文献研究中心集刊 / 第二十五辑","北京大学","2022","chi","Book","PrintBook","Di 1 ban",1,"北京大学出版社","Beijing","Gu wen xian xue Yan jiu Zhong guo Cong kan","本书收录了<先汉乐律初探><古汉语考释三例><日本京都大学藏<三朝北盟会编>旧抄本的递藏过程与文献价值><宋释惟白<佛国禅师文殊指南图赞>在日本刊刻流传考述>等文章","否"
"1408526565","9787301333631,7301333633","相约城环 携手前行 : 北京大学地理学科建立70周年暨北京大学城市与环境学院建院15周年纪念文集","北京大学","2022","chi","Book","PrintBook","Di 1 ban",1,"北京大学出版社","Beijing","Bei jing da xue,Bei jing da xue cheng shi yu huan jing xue yuan","本书收录了<迎接地理学的第二个春天><1952年三校院系大调整及地质地理系回忆><1978年第二次黄河源考察纪实><两件往事><五十年代大学生活和野外实习的回忆>等文章","否"
