"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1112362431","9787100162609,7100162602","Ching Ho : a sociological analysis","燕京大学社会学系清河调查委员会","2019","eng","Book","PrintBook","Di 1 ban",1,"商务印书馆","Beijing","Economic history,Social conditions,Qinghe Xian (Hebei Sheng, China) Social conditions,Qinghe Xian (Hebei Sheng, China) Economic conditions,China Social conditions 1912-1949,China Economic conditions 1912-1949,Chine Conditions sociales 1912-1949,Chine Conditions économiques 1912-1949,China,China Qinghe Xian (Hebei Sheng),1912-1949","本书是燕京学派由早期Booth式调查向社区研究转型的过渡之作.它结合了定量研究和定性研究方法, 描述了清末民初北京西郊农村社会的变迁过程.这一过程表现在, 位于北平城市腹地的清河市镇出现了一个农产品交易市场, 由此带动了地域社会在人口和家ʹ结构, 商业和政治组织, 教育和宗教文化等多个层面的变化.本书是中国社会学调查早期代表作之一, 也是燕京大学社会学系由早期华人社会学学者主持的社会调查成果","否"
"1236085602","9787100185202,7100185203","保定商会档案中新见晋商资料汇编","山西省晋商文化基金会","2020","chi","Book","PrintBook","Di 1 ban",1,"商务印书馆","Beijing","Baoding shang hui Archives,Commercial associations Sources Manuscripts China Shanxi Sheng Facsimiles,Associations commerciales Chine Shanxi Sources Manuscrits Fac-similés,Commerce,Commercial associations,Shanxi Sheng (China) Commerce Sources Manuscripts Facsimiles,Shanxi (Chine) Commerce Sources Manuscrits Fac-similés,China Shanxi Sheng,facsimiles (reproductions),Archives,Facsimiles,Fac-similés","本书主要内容包括:  保定市押当商同业公会为出席商会代表及花名册事给保定商会的函, 当业同业公地人名薄, 河北省清苑县当业同业公会第二届当选委员名册 等","否"
"1265986737","9787100159777,7100159776","高级商务写作 Writing for impact","(英) 班克斯","2019","eng","Book","PrintBook","Di 1 ban",1,"商务印书馆","Beijing","Shang wu Ying yu Xie zuo Zi xue can kao zi liao","","否"
"1266158466","9787100159784,7100159784","国际商务谈判 International negotiations","(英) 鲍威尔","2019","eng","Book","PrintBook","Di 1 ban",1,"商务印书馆","Beijing","Shang wu tan pan Ying yu Zi xue can kao zi liao","本书囊括了大量的顶级商务沟通专家给出的商务技巧和建议,并系统地介绍了读者必须掌握的关键语言技巧和谈判技巧","否"
"1265998632","9787100159760,7100159768,9787887251022,7887251028,9787887250995,7887250994","演讲与展示 Dynamic presentations","(英) 鲍威尔","2019","eng","Book","PrintBook","Di 1 ban",1,"商务印书馆","Beijing","Shang wu Ying yu Yan jiang Zi xue can kao zi liao","","否"
"1265944875","9787100159753,710015975X,9787887250988,7887250986,9787887251039,7887251036","跨文化商务沟通 Communicating across cultures","(英) 迪格南","2019","eng","Book","PrintBook","Di 1 ban",1,"商务印书馆","Beijing","Shang ye guan li Gong gong guan xi xue Zi xue can kao zi liao","","否"
"1338630436","9787100208598,7100208599","商務印書館125年大事记(1897-2022)","""商务印书馆125年大事记""编写组","2022","chi","Book","PrintBook","Di 1 ban",1,"商务印书馆","Beijing","Shang wu yin shu guan Chronology,Shang wu yin shu guan,Publishers and publishing China History,Publishers and publishing,China,Chronologies,History","本书为纪念商务印书馆创立125年而编,是在2017年出版的""商务印书馆120年大事记""的基础上编成的,可以说是它的增订版.本书主要根据商务印书馆2017-2021年的馆讯,也参考了一些权威媒体上的资料,增加了2017-2021年馆内重要人事变化,重要活动,重要会议,重要奖项,重点图书等方面的信息.本书收有大量图片,真实再现了商务印书馆历史上的重要人,物,事.本书最后还有人名索引,方便读者查寻书中涉及的员工,作译者等.本书不仅是商务印书馆的馆史,还是中国现代出版业的发展史,并从出版这个侧面折射出国家和民族的发展印记","否"
"1375138673","9787100165440,710016544X","品牌之道 : 商务印书馆125年","商务印书馆","2022","chi","Book","PrintBook","Di 2 ban",1,"商务印书馆","Beijing","Shang wu yin shu guan Li shi","本书通过商务印书馆出版的<辞源><新华字典><现代汉语词典><牛津高阶英汉双解词典>等一系列著名图书品牌的出版实例,以及近年来顺应时代潮流,不断开拓创新的机构建设及活动实践,讲述了众多品牌故事,揭示出商务印书馆百余年的品牌经营之道,再现商务印书馆面对新的时代所焕发的勃勃生机","否"
"1253318384","9787100176262,7100176263","The book of twin worlds","士爾 (Professor), author","2019","eng","Book","PrintBook","Di yi ban",1,"商務印書館","Beijing shi","Civilization,World history,Quotations, Chinese,Civilisation,Histoire universelle,Citations chinoises,civilization","","否"
"1375153859","9787100208376,7100208378","商务印书馆一百二十五年 : 1897-2022","商务印书馆","2022","chi","Book","PrintBook","Di 1 ban",1,"商务印书馆","Beijing","Shang wu yin shu guan","本书是为庆祝商务印书馆成立125周年而结集的论文集,主要收录商务印书馆重要的作译者和员工所撰写的与商务印书馆交往的过程,尤其是参与商务印书馆的各个项目的经历,以及一些事件追忆","否"
