"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1283845225","9787521316735,7521316738","身份焦虑与自我形塑：论华兹华斯的预言模式","裴云著.","2020","eng","Book","Digital",,1,"外语教学与研究出版社","Beijing","","英国浪漫主义诗人威廉·华兹华斯仅是自然诗人吗,抑或是人文主义诗人？本书给出了另一种视角。华兹华斯一生多产,创作生涯长达半个多世纪,其诗歌作品的语言风格和主题在各个阶段也有所变化。然而,在他的创作中常常具有特定的预言元素和声音贯穿,这在他""黄金十年""(1798-1808)创作的诗歌中体现得尤为明显。本书着力探究这些预言元素的使用,旨在揭示华兹华斯诗歌文本中的预言声音,以及诗人是如何针对文学市场和社会环境的变化来自我形塑国民诗人的身份的。除去广为读者熟知的《抒情歌谣集》(Lyrical Ballads)和《序曲》(The Prelude),本书也将华兹华斯目前较少为人研究的作品重新纳入视野,包括《芬妮克笔记》(The Fenwick Notes)、《莱尔斯通的白母鹿》(The White Doe of Rylstone)以及《彼得·贝尔》(Peter Bell),以期有对诗人更为全面的展示。","否"
"1285167652","9787521312195,7521312198","英汉小说语篇中话语标记功能的对比研究 A Comparative Study of the Functions of Discourse Markers in English and Chinese Fictional Discourse","徐欣.","2019","eng","Book","Digital",,1,"外语教学与研究出版社","Beijing","","英汉两种语言在词汇、句法等层面存在许多异同。这种异同在话语标记层面同样得到清晰的阐述。话语标记指的是一些话语中起语用作用的词语或结构,从局部或整体对话语的建构与理解产生重要影响,引导和制约人类的语言交际活动。本书采用定性与定量结合的研究方法,基于语料库分析三类话语标记--对比、补充、推导类话语标记,探究不同类型话语标记的使用规律及其在句中的分布特点。相对于同类研究,本书在理论和方法论上都具有创新。理论上,通过在英汉小说语篇中对话语标记进行对比分析,进一步把握话语标记的本质。方法论上,采用语料库检索、定量与定性相结合的分析方法,针对小说语篇中的话语标记功能进行对比分析,有利于对话语标记语类进行更深入的研究。本书对于语言学方向研究生、高校教师以及对话语分析有一定基础且感兴趣的读者具有较高的参考价值。","否"
"1265313359","9787521312164,7521312163","剑桥国际英语教程. 教师包. 1, 教师用书 Interchange. Teacher's pack. 1, Teacher's book","(新西兰) 理查兹","2019","eng","Book","PrintBook","Di 1 ban",1,"外语教学与研究出版社","Beijing","Ying yu Jiao cai,Ying yu Ting shuo jiao xue Jiao xue can kao zi liao","本书是剑桥国际英语教程第1级的教师产品之《视听教师用书》,为如何在课堂上使用视频和视听活动用书提供了详尽的建议,还提供了视听活动用书的练习答案和视频脚本","否"
"1266157518","9787521311471,7521311477","牛津英国文学史. 现代运动 The Oxford English literary history. 1910-1940 the modern movement","(英) 鲍尔迪克","2019","eng","Book","PrintBook","Di 1 ban",1,"外语教学与研究出版社","Beijing","Ying guo wen xue Wen xue shi yan jiu Ying wen,Ying guo wen xue Wen xue shi yan jiu 1910-1940 Ying wen","本书是对1910至1940年间的""现代""文学的回顾与概括,其主体按文类或体裁划分,对重要作家和作品进行讨论,如此处理使每个文类的发展和状况得到了全面的展示。它立论持中而又不失尖锐明快,以全景式的眼光和写法,为读者提供了第二次世界大战前约三十年间英国文学和文化的向导图","否"
"1265956120","9787521306866,7521306864","剑桥英语教学能力认证考试教程. 基础模块 The TKT teaching knowledge test course. Modules 1,2 and 3","(英) 斯普拉特","2019","eng","Book","PrintBook","Di 1 ban",1,"外语教学与研究出版社","Beijing","Ying yu Jiao xue neng li Ren zheng Zi ge kao shi Ying wen Jiao cai","本书分为三大模块：1.语言及语言教学的背景知识；2.课程计划及语言教学资源利用；3.课堂教学组织与学习过程管理。每个模块又分为若干单元,全书共33个单元,每个单元都提供TKT考试的模拟题,书后提供参考答案","否"
"1266023766","9787521306118,7521306112","现代大学英语. 中级写作. 上","杨立民.","2019","eng","Book","PrintBook","2 ban",1,"外语教学与研究出版社","Beijing","Ying yu Xie zuo Gao deng xue xiao Jiao cai","本书共八个单元,每单元提供三到五篇与本单元主题有关的阅读材料,采用题材(话题)与技巧(说明文的不同模式)相结合的编写原则,强调写作实践,理论阐述从简","否"
"1265969057","9787521311495,7521311493","牛津英国文学史. 英国的没落？ The Oxford English literary history. 1960-2000 the last of England","(英) 史蒂文森","2019","eng","Book","PrintBook","Di 1 ban",,"外语教学与研究出版社","Beijing","Ying guo wen xue Wen xue shi yan jiu Ying wen,Ying guo wen xue Wen xue shi yan jiu 1960-2000 Ying wen","本书分为""历史""""诗歌""""戏剧""和""小说""四大部分,总结和归纳20世纪最后40年间英国文学的主要流派和特点","否"
"1265958390","9787521308211,7521308212","外语词汇教学的方法 Teaching and learning vocabulary in EFL","(新西兰) 内申","2019","eng","Book","PrintBook","Di 1 ban",1,"外语教学与研究出版社","Beijing","Ying yu Ci hui Jiao xue fa","本书作者依据国内外词汇学习理论,对英语词汇教学中的一些关键问题进行阐释,不仅厘清了词汇教学中的常见错误认识,还提供了大量课堂活动案例,是专为中小学英语教师及立志从教的英语专业高年级学生打造的一本实践性词汇教学用书","否"
"1159599001","9787521310177,7521310179","Theory of the lyric / 抒情诗理论 / 乔纳森·卡勒著 ; 刘晓晖导读","Jonathan D. Culler","2019","eng","Book","PrintBook","Di 1 ban",1,"外语教学与研究出版社","Beijing Shi","Lyric poetry History and criticism,Poésie lyrique Histoire et critique,Lyric poetry,Criticism, interpretation, etc","","否"
"1379826861","9787521341782,7521341783","Narratology in practice / 叙述学实践 / 米克·巴尔著 ; 谭君强导读","Mieke Bal","2023","eng","Book","PrintBook","Di 1 ban",1,"外语教学与研究出版社","Beijing","Narration (Rhetoric),Art,Motion pictures,Narration,Cinéma","","否"
"1237849722","9787521320503,7521320506","Shakespeare and ecocritical theory = 莎士比亚与生态批评理论","Gabriel Egan","2020","eng","Book","PrintBook","Di 1 ban",10,"外语教学与研究出版社","Beijing Shi","Shakespeare, William, 1564-1616,Ecocriticism,Écocritique","","否"
"1286019146","9787521320497,7521320492","A history of literary criticism in the Renaissance / 文艺复兴时期文学批评史 / 乔尔·伊莱亚斯·斯平加恩著 ; 马海良导读","Joel Elias Spingarn","2021","eng","Book","PrintBook","Di 1 ban",1,"外语教学与研究出版社","Beijing Shi","Criticism History,Renaissance,Critique Histoire,Criticism,History","","否"
"1200779256","9787521311464,7521311469","The long revolution / 漫长的革命 / 雷蒙德·威廉斯著","Raymond Williams","2019","eng","Book","PrintBook","Di 1 ban",58,"外语教学与研究出版社","Beijing Shi","Intellectual life,Vie intellectuelle","","否"
