"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1356949716","9787559839411,755983941X","美国哈佛大学哈佛燕京图书馆藏费吴生夫妇档案汇编 = The collection of the Fitches' papers in the Harvard-Yenching Library, Harvard University, U.S.A.","George A. Fitch","2022","eng","Book","PrintBook","Di 1 ban",1,"广西师范大学出版社","Guilin","Fitch, George A. Archives,Fitch, Geraldine Archives,Harvard-Yenching Library Catalogs,Sino-Japanese War, 1937-1945 Sources,Guerre sino-japonaise, 1937-1945 Sources,China History Republic, 1912-1949 Sources,Chine Histoire 1912-1949 (République) Sources","全书内容翔实, 收录的基本上都是未曾公开过的珍贵史料, 这批史料的刊布将会为学界深入研究日本侵华及国际社会对中国的态度提供更多的细节, 是还原历史真相, 推动中国人民抗日战争和世界反法西斯战争等历史研究珍贵的一手资料, 同时也对中国抗日战争史, 近代史, 社会史等方面的研究具有重要的参考意义","否"
"1347230222","9787559841193,7559841198","美国哈佛大学哈佛燕京图书馆藏联合国善后救济总署解放区档案 = The UNRRA Papers on the Liberated Areas in the Harvard-Yenching Library, Harvard University, U.S.A.","Harvard-Yenching Library","2021","eng","Book","PrintBook","Di 1 ban",1,"广西师范大学出版社","Guilin","United Nations Relief and Rehabilitation Administration History Sources Catalogs,Harvard-Yenching Library Catalogs,Harvard-Yenching Library,United Nations Relief and Rehabilitation Administration,International relief China History 20th century Sources Catalogs,Secours international Chine Histoire 20e siècle Sources Catalogues,China History Civil War, 1945-1949 Civilian relief Sources Catalogs,Chine Histoire 1945-1949 (Guerre civile) Secours aux civils Sources Catalogues,China,Archives,1937-1945","","否"
"1050113230","9787559806406,7559806406","""中国研究""外文旧籍汇刊. 中国记录. 第十辑","李国庆","2018","eng","Book","PrintBook","Di 1 ban",1,"广西师范大学出版社","Guilin","Manners and customs,Travel,China Description and travel,China Social life and customs,China History 19th century,China History 20th century,Chine Descriptions et voyages,Chine Mœurs et coutumes,Chine Histoire 19e siècle,Chine Histoire 20e siècle,China,History,1800-1999","本汇刊收集, 全文影印散藏于各地, 读者不易得见的上述作品, 每辑收10种英文旧籍. 本书信息, 如成书背景,成书时间, 主要内容, 主要观点, 历史评价等","否"
"1359397830","9787559849168,7559849164","中國近代糧政史料彙編","韋廣雄","2022","chi","Book","PrintBook","Di 1 ban",2,"廣西師範大學出版社","Guilin","Food supply China History Sources,Aliments Approvisionnement Chine Histoire Sources","""中国近代粮政史料汇编""是一部收录1930-1947年有关粮食管理机构的设置,粮食的生产,销售,征稅,管理等政策,法律和规定,相关机构的调查报告和论著等文献史料的图书.本书所收文献史料包括南京国民政府行政院粮食管理委员会,粮食部等机构发布的粮政机构的组成和组织章程,部分省份粮政机构2汇编的粮政法规,各地关于粮食生产,粮食增产,粮食管理,粮食征购,粮食运销,粮食消费,军粮管理,田赋征实,粮价等方面的工作报告,调查报告,研究论著,统计资料等","否"
"1378354195","9787559855251,7559855253","灯影中国 : 广宇长宙中的生活与想象 = Shadow puppetry in China : life and imagination in the vast universe","上海大学.","2023","chi","Book","PrintBook","Di 1 ban",1,"广西师范大学出版社","Guilin","Shadow puppets China Pictorial works,Shadow shows China History,Ombres (Marionnettes) Chine Ouvrages illustrés,Théâtre d'ombres Chine Histoire","本书收录了,上海大学博物馆(海派文化博物馆)与成都博物馆(中国皮影博物馆)联合举办的""灯影中国:广宇长宙中的生活与想象""特展中展出的精美皮影三百余件,书中对参展皮影的造型,工艺及蕴含的地域,文化信息进行了系统介绍.同时,本书也以皮影为载体,从空间和时间两个层面,介绍了蕴含于皮影戏光影变幻之中的中国人的文化生活.此外,本书还收录了与皮影保护,展示,研究密切相关的论文9篇,以飨读者,进一步加强读者对皮影的了解","否"
"1398463424","9787559855954,7559855954","湖南师范大学图书馆藏国立师范学院毕业论文选刊","湖南师范大学图书馆","2023","chi","Book","PrintBook","Di 1 ban",1,"广西师范大学出版社","Guilin","","本书收录湖南师范大学图书馆藏一九四三至一九四九年湖南国立师范学院的学生论文八十二篇,分为上,中,下编,包括国立师范学院教育系,史地系,国文系,公民训育系,理化系,英语系等系科的毕业论文.上编为影印编,共选取二十五篇论文进行全文影印,并附论文的简单介绍.中编为点校编,共选取七篇论文进行整理,点校,并附论文的部分书影.下编为图录编,共选取五十篇论文进行简单介绍,并附论文的部分书影. 这些论文有不少出自日后的著名学者之手(如周衍桐,文元珏等),论文中也不乏大家评语(如钱基博,皮名举,唐长孺等),有些评语本身就是一篇短小精悍的学术文章.这批论文基本上能反映民国时期中国师范教育状况和学生的学术水平,是研究湖南师大校史及民国教育史的珍贵资料","否"
"1260284653","9787559836243,7559836240","日本所藏稀見明人別集彙刊. 第一輯","陳廣宏","2021","chi","Book","PrintBook","Di 1 ban",1,"廣西師範大學出版社","Guilin","Chinese literature Ming dynasty, 1368-1644,Chinese imprints Japan,Littérature chinoise 1368-1644 (Dynastie des Ming),Imprimés chinois Japon,Chinese imprints,Chinese literature Ming dynasty,Japan,1368-1644","本书收录日本所藏稀见明人诗文别集36种,均具有较高的文学文献价值.如""南州草""三十四卷,""悦偃斋文集""三十卷,等11种均为海内外孤本;其他亦版本较早且完备者,如""三余集""三十五卷为万历三十年刻本,国内仅国图有藏,然仅存卷二至卷五,卷十至十五,卷十七至二十四,卷二十九至三十二,余皆用清钞本配补.在深入研究的基础上撰写前言,对作者生平,文学主张及选本的成书过程,版本异同,诗学价值等做出全面的介绍与评价,确保文献整理具有较高的学术价值","否"
"1408499199","9787559851901,7559851908","淡淡的我 : 西川对话武艺","西川 (1963-)","2023","chi","Book","PrintBook","Di 1 ban",1,"广西师范大学出版社","Guilin","Hui hua ping lun Zhong guo Xiandai","本书以对谈的形式,将武艺的成长之路,充满禅意的艺术创作和丰富的艺术思想生动地展现读者.书名<淡淡的我>取自第五章的小标题,也传达出西川在解读武艺作品<先贤像传>时的独特视角.全书分""尺幅·书本意识·印刷品""""功夫·前辈们""""道具般的小物件""""旅行·中国人的平面感·一个'色'的皮肤""""淡淡的我""五个章节,对谈内容从画家武艺幼年接触绘画到如今从事艺术创作几十年的丰富经历,映射出中国现代美术的发展进程,画家每一时期作品的不同风格的背后是中国社会急剧变革的缩影,这种生命力是在以往任何时代所不具备的","否"
"1114265796","9787559818249,7559818242","晚清官员收藏活动研究 : 以吴大澂及其友人为中心","白谦慎, author","2019","chi","Book","PrintBook",,5,"广西师范大学出版社","Guilin","Wu, Dacheng, 1835-1902,Collectors and collecting Qing dynasty, 1644-1912 Sources,Antiques as an investment Qing dynasty, 1644-1912 Sources,Collectibles as an investment,Objets de collection comme valeur de placement,Antiques as an investment,Collectors and collecting,Employees,Qing Dynasty (China),China Officials and employees History Qing dynasty, 1644-1912,China History Qing dynasty, 1644-1912 Sources,Chine Histoire 1644-1912 (Dynastie des Qing) Sources,China,History,Sources,1644-1912","本书是""吴大澂与中国文人文化的现代命运""这一整体研究计划的阶段性成果. 作者以吴大澂及其周围的官僚群体为中心, 探讨一个重要的学术问题:收藏活动的社会机制. 晚清官员收藏活动得以展开, 涉及多种社会因素, 包括藏品买卖的信息传递, 交通运输和支付方式, 以及晚清官员的收入和支出, 官场各种礼金往来的规俗等. 作者利用大量未曾刊布的稿本, 信札等材料, 细致还原了整个收藏过程, 并以此为切入点, 与近年来学术界流行的若干理论进行对话, 其背后所蕴含的思考方向, 更是值得研究者引起重视","否"
"1348593691","9787559851840,7559851843","《西游记》新论集","侯冲","2022","chi","Book","PrintBook","Di 1 ban",2,"广西师范大学出版社","Guilin","Wu, Cheng'en, approximately 1500-approximately 1582,Xi you ji (Wu, Cheng'en)","本书由上海师范大学侯冲教授,南台科技大学王见川教授主编,为""仪式文献与明清小说""工作坊参会者发表的""西游记""研究新成果合集.本书在明确""西游记""成书确切年代的基础上,结合新发现""西游记""相关仪式文献,对""西游记""的成书过程及研究新视角,""西游记""版本与相关新文本,""西游记""思想内涵及文本演绎进行了全新的探讨,深化了""西游记""的研究,是海内外学者关于""西游记""研究新成果的汇集,后附新发现的仪式文献三种,可供相关学者参考","否"
"1135494464","9787559816078,755981607X","日本關西大學長澤規矩也文庫藏稀見中國戲曲俗曲彙刊","黃仕忠","2019","chi","Book","PrintBook","Di 1 ban",2,"广西师范大学出版社","Guilin Shi","Kansai Daigaku. Toshokan,Kansai Daigaku,Qu (Chinese literature),Folk drama, Chinese,Chinese drama,Qu (Littérature chinoise),Théâtre populaire chinois,Théâtre chinois,Drama,Catalogs,Sources,Théâtre","长泽规矩也是日本书志学的创始人, 1926年至1932年间, 曾六次前往中国, 并且每次在中国逗留二个月以上, 其在中国期间, 为自己及日本公私图书机构收购了大量中国文献 典籍, 尤其以戏曲及小说等俗文学类图书文献为大宗.其 个人的主要兴趣在戏曲小说及俗曲文献的收藏, 其私人藏书的主体部分在1953年出售给东京大学, 成为著名的'双红堂文库'珍藏.但作为文献学, 版本目录研究的大家, 长泽手边仍保留了一批最珍稀的文献, 作为自己版本学研究的样品, 该部分保留版本长期不为外人所知.1980年代, 长泽去世, 这些文献和他的其他目录书志等有关文献一起, 售归关西大学, 成为'长泽(规矩也)文库', 因为尚无公开目录, 近年来经过黄仕忠教授的发掘和撰文介绍, 才为学人所知","否"
"1312267834","9787559836540,7559836542","明清文書","馮小紅","2021","chi","Book","PrintBook","Di 1 ban",1,"廣西師範大學出版社","Guilin","Handan xue yuan Archives Catalogs,Contracts,Contracts for deeds,Deeds,Land titles Registration and transfer,Qing Dynasty (China),Hebei Sheng (China) History $x Manuscripts Catalogs,Shanxi Sheng (China) History $x Manuscripts Catalogs,China,History,Sources,1368-1912","太行山文书是近年来邯郸学院从华北地区征集的民间文书.这批文书时间上起明朝万历年间,下至20世纪80年代初人民公社解散前夕;地域涵盖晋冀鲁豫四省,尤以晋冀豫交界的太行山南部地区最为丰富;目前收藏总量将近20万件.太行山文书主要包括个体文书,家族文书,村落档案,教育文书,日用文书和工商业文书六大类别,具有时间延续性,地域广阔性和集中性,文献系统性三个主要特征.太行山文书是目前华北地区发现的唯一一种大宗民间文书.它的发现,填补了华北大宗民间文书的空白,具有极高的原始文献价值,学术价值和文化价值.本次出版的文书是太行山文书首批文书中的明清民国时期文书的一部分,总计1100余件.为2020年度国家古籍整理出版专项经费资助项目","否"
