"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1130340408","9787544859585,7544859584","我在超市买了鳄鱼巧克力!","沙拉特 尼克.","2019.3","chi","Book","PrintBook","Di 1 ban",1,"接力出版社","Nanning","Zhi li you xi Xue qian jiao yu Jiao xue can kao zi liao","本书讲述了动物园超市有各种疯狂的,傻傻的,奇怪的食物,有饼干,可乐,巧克力豆,玉米片,每种食物都是一种动物的造型,充满食欲又好玩.快来动物园看一看,那里有奇怪的动物等着你","否"
"1130331564","9787544859691,754485969X","今天要问的问题","庞婕蕾.","2019","chi","Book","PrintBook","Di 1 ban",1,"接力出版社","Nanning","Er tong xiao shuo Zhong pian xiao shuo Xiao shuo ji Zhong guo Dangdai","""接力杯曹文轩儿童小说奖美文悦读""系列一共四本,共包含21篇获奖作品,涉及儿童生活成长需要面对的不同方面,系列按照作品内容主题共分四册,本册包括<今天要问的问题><我养了一条路><幸福剪><大风歌><爸爸的""遗传"">5篇作品,以孩子面对成人世界产生的各种困惑,或成人与儿童的对立冲突为主题,提请成人有所反思","否"
"1178943423","9787544858472,7544858472","共产党宣言 : 少儿彩绘版","李晓鹏 (重庆人)","2019","chi","Book","PrintBook","Di 1 ban",1,"接力出版社","Nanning","< gong chan dang xuan yan>","本书作者以深厚的学术功底,提炼出<共产党宣言>的思想精髓,并用通俗易懂的语言,讲述了马克思和恩格斯的生平,<共产党宣言>的主要内容和对后世的深远影响.全书配有90幅生动活泼的手绘插图,帮助少年儿童更好地理解这部人类思想史上的经典之作","否"
"1178842723","9787544859202,7544859207","人生百忌 : 新版","刘墉 (1949-)","2019","chi","Book","PrintBook","Di 2 ban",1,"接力出版社","Nanning","San wen ji Mei guo Xiandai","本书作者刘墉以""忌""为突破口,将社会人性的种种幽微之处剖开解析,并提醒初涉尘世的年轻人:人生要设防.你的一言一行一举一动,都玄机暗藏;小到旅行安全,说话方式,大到职场升迁,外交谈判,社会人生万象,作者一一分析,娓娓道来,洞烛幽微.种种""忌""都是人性诡谲,远近亲疏,喜怒哀乐,都得权衡.但在揭示种种险恶难堪,给出应对招数的同时,一个个有料有趣的小故事之后隐隐传达出一份向善的坚持","否"
"1198154959","9787544861472,7544861473","鳄鱼湖口的生死一瞬","格里尔斯 Grylls, Bear 1974-.","2019","chi","Book","PrintBook","Di 1 ban",1,"接力出版社","Nanning","Er tong xiao shuo Zhang pian xiao shuo Ying guo Xiandai","贝克在完成上次的求生任务后,回到英国阿尔伯伯的家中,打算好好休息一段时间,不料妹妹戴安来到伯伯家之后,突然病倒,无法完成前往加纳沃尔特湖探险调查的任务,她央求贝克代替自己前行.贝克在仓促之下去了非洲国家加纳,一路上困难重重,对于加纳海牛有了新的发现和认识,结识了新朋友,最终完成了妹妹交给的任务","否"
"1178934135","9787544861410,7544861414","奔跑的梦想 = The running dream","德拉安南 女,Draanen, Wendelin Van 1965-.","2019","chi","Book","PrintBook","Di 1 ban",1,"接力出版社","Nanning","Er tong xiao shuo Zhang pian xiao shuo Mei guo Xiandai","本书讲述的是:借着麻醉剂,杰西卡才能勉强入睡,可醒来后,一切仍糟糕透顶----那场车祸,这张病床,加上挥之不去的奔跑之梦,杰西卡绝望透顶.脑瘫女孩罗莎的出现很意外,她的笑容和数学才华像有力的手,重新点亮杰西卡的奔跑之梦.梦亮了,世界也亮了,点点滴滴的""亮""汇到一起,""路""重新出现在杰西卡脚下.本书作者用细腻的笔触,描画出一个身陷不幸,内心坚毅的少女形象,杰西卡的心路历程是笑容战胜眼泪的故事,也是勇气,勇敢和智慧战胜逆境的故事","否"
"1130327666","9787544858649,7544858642","羊儿在云朵里跑","梁贻明.","2019","chi","Book","PrintBook","Di 1 ban",2,"接力出版社","Nanning","Er tong xiao shuo Zhong pian xiao shuo Zhong guo Dangdai","本书涉及了少数民族少年成长.对于壮族少年多多,故土难归是因为心灵的距离;而对于多多的阿大,故土难离却是缘于融入血脉的深情.作者以细腻的笔调刻画出几代人在家乡与他乡之间徘徊,这里有离别,也有新生,有无奈,更有期待,情感真挚,引人深思","否"
"1130343455","9787544857901,7544857905","自然史 : 少儿彩绘版","苗德岁.","2019","chi","Book","PrintBook","Di 1 ban",1,"接力出版社","Nanning","Zi ran ke xue shi Shao er du wu Shi jie","<自然史>是一部发现地球的博物志,是博物学鼻祖,著名法国启蒙思想家,自然科学家布封的不朽名著,曾是法国每一个家庭必备的藏书.全书共44卷,这是一部说明地球与生物起源的通俗性作品,作者布封综合了大量的事实材料,以科学的观察为基础,用形象的语言勾画出了地球,人类以及其他生物的演变历史.同时,<自然史>的语言文字极为优美,其中有些篇章(如<松鼠>等)还选入了我国的语文课本.因此,这是一部科学与文学融合在一起的范本.为了让少年儿童能够深入了解<自然史>,本书作者苗德岁教授以深厚的学术功底,严谨的科学视角,通俗易懂的语言,对原著进行了精彩阐释","否"
"1130350486","9787544859783,7544859789","黑勺","廖小琴.","2019","chi","Book","PrintBook","Di 1 ban",1,"接力出版社","Nanning","Er tong xiao shuo Zhong pian xiao shuo Xiao shuo ji Zhong guo Dangdai","<黑勺>本书收录4篇作品.<风在阳光里流淌>中夏琦的母亲劳累病倒,可家里的母猪要生崽,红薯地要翻,种好的烟叶等着收,夏琦该如何应付<黑勺>中黑勺和妹妹跟着阿妈到了继父家,却坚决不肯改口叫""爸"",继父不幸摔伤,黑勺对阿妈说,以后这个家就由他当了.<星天外>中小男孩星天不幸患上了""渐冻症"",他一天天虚弱下去,可他爱着爸爸,妈妈,老师和同学,爱的力量支撑着他.本书作品传达出弱小生命在逆境中生长的力量,充满韧性和能量","否"
"1130335733","9787544859134,7544859134","萤窗小语 : 新版","刘墉.","2019","chi","Book","PrintBook","Di Di 2 ban",19,"接力出版社","Nanning","San wen ji Mei guo Xiandai","本书收录了<人生不惧时间的弯镰>,<最初的梦想紧握在手上>,<快乐是最美的化妆品>,<爆米花好美从头到尾>四本单册,是刘墉三十多年前的励志散文作品,成名作,最钟爱,畅销数百万册.""萤窗小语""最初出版时一共七集,前三集是台湾节目分秒必争的开场白.教给青少年读者如何温馨的处世,如何积极地励志,刘墉式的叙事说理将与青年读者分享人生经验和人生智慧,内容更完整也更深邃","否"
