"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1198156712","9787520363846,7520363848","The overseas Chinese in Africa","李新烽, 1960- author","2020","eng","Book","PrintBook","Di 1 ban",1,"中國社会科学出版社","Beijing","Chinese Africa History,Chinese Africa Social conditions,Chinois Afrique Histoire,Chinois Afrique Conditions sociales,Chinese Social conditions,Chinese,Africa,History","非洲华侨华人是中非人文交流的重要组成部分.本报告共分七章:第一章在考察非洲华侨华人移民史的基础上, 论证了""非洲首批华人说"";第二章分析非洲华侨华人的数量与类别, 并预测了该群体的数量变化趋势;第三章和第四章阐释了非洲华侨华人形象演变及其产生原因, 呈现出多面向的华侨华人形象;第五章和第六章分别对南非和津巴布韦进行案例分析, 展示出当地华人协会和个体鲜活的生活体验;第七章提出改善非洲华侨华人形象的建议.本报告认为, 从中非交往源头至今, 非洲华侨华人是中非交往重要的桥梁, 他们积极融入非洲社会, 为非洲大陆的建设做出了重要贡献, 但同时在非华侨华人也面临着融入困境与形象挑战.在中非合作的新时代, 中国政府, 媒体, 智库, 学术机构, 非洲华侨华人协会, 非洲华侨华人个体等各方应采取措施积极应对, 以改变非洲民众对中国人形象的刻板成见, 更好地传递中国国家形象和精神文化, 进而提升中国在非洲的文化软实力和影响力, 为促进中非民心相通做出更大贡献","否"
"1302972872","9787030669834,7030669835","Textbook of infectious diseases = 感染病学, 英文改编版","Dennis L. Kasper","2021","eng","Book","PrintBook","Di yi ban",1,"科学出版社","Beijing","Communicable diseases,Communicable Diseases,Maladies infectieuses","","否"
"1266019535","9787508855592,7508855590","吴文俊全集. 拓扑学卷. Ⅰ The complete works of Wu Wen-Tsun. Topology. I","吴文俊.","2019","eng","Book","PrintBook","Di 1 ban",1,"科学出版社","Beijing","Tuo pu Wen ji","","否"
"1302968525","9787030682369,703068236X","Textbook of pathophysiology = 病理生理学, 英文改编版, 第2版","Gary D. Hammer","2021","eng","Book","PrintBook","Di er ban",2,"科学出版社","Beijing","Physiology, Pathological,Clinical medicine,Clinical Medicine,Physiopathologie,Médecine clinique","","否"
"1302972756","9787030680297,7030680294","Textbook of medical microbiology = 医学微生物学, 英文改编版, 第2版","George F. Brooks","2021","eng","Book","PrintBook","Di er ban",1,"科学出版社","Beijing","Medical microbiology,Diagnostic microbiology,Microbiologie médicale,Microbiologie clinique","","否"
"1302954748","9787030669766,7030669762","Textbook of ophthalmology = 眼科学, 英文改编版","Paul Riordan-Eva","2021","eng","Book","PrintBook","Di yi ban",1,"科学出版社","Beijing","Ophthalmology,Eye Diseases Diagnosis,Eye Diseases Treatment,Therapeutics, Ophthalmological,Ophtalmologie,Œil Maladies Diagnostic,Œil Maladies Traitement","","否"
"1226688069","9787030653093,7030653092","An English course for internet and new media communication = 网络与新媒体专业英语教程","王君玲","2020","eng","Book","PrintBook","Di yi ban",1,"科学出版社","Beijing","Online journalism,Journalisme en ligne","","否"
"1260284982","9787030686640,7030686640","泉州城考古学术研讨会论文集","泉州城考古学术研讨会","2021","chi","Book","PrintBook","Di yi ban",1,"科学出版社","Beijing","Excavations (Archaeology) China Quanzhou Shi Congresses,Fouilles (Archéologie) Chine Quanzhou (Shi) Congrès,Antiquities,Civilization,Excavations (Archaeology),Quanzhou Shi (China) Antiquities Congresses,China Quanzhou Shi,Conference papers and proceedings,History","该书收录了参会学者论文31篇,内容包括泉州城遗址考古发掘研究,泉州历史文化和政治经济相关研究,泉州城遗址出土陶瓷器研究,城市建设与规划历史的相关研究等方面.这些研究,有助于深化泉州城遗址相关考古工作,进一步推动中国古代城址考古学研究的发展与繁荣.该书为""泉州海上丝绸之路""申遗用书,具有重要的社会意义","否"
"1260286723","9787520373210,7520373215","《史记》文学经典的建构之路","张新科, 1959- author","2021","chi","Book","PrintBook","Di 1 ban",2,"中国社会科学出版社","Beijing","Sima, Qian, approximately 145 B.C.-approximately 86 B.C,Shi ji (Sima, Qian),Literature and history,Littérature et histoire,Han Dynasty (China),Qin Dynasty (China),China History To 221 B.C,China History Qin dynasty, 221-207 B.C,China History Han dynasty, 202 B.C.-220 A.D,Chine Histoire Jusqu'à 221 av. J.-C,Chine Histoire 221-207 av. J.-C. (Dynastie des Qin),Chine Histoire 202 av. J.-C.-220 (Dynastie des Han),China,History,To 220","本书主要内容包括: 《史记》对前代文学经典的接受; 汉魏六朝:《史记》文学经典化的起步; 唐代:《史记》文学经典地位的奠定; 宋代:《史记》文学经典地位的确立等","否"
"1375157065","9787030716859,703071685X","编辑与出版学名词 / 2022","编辑出版学名词审定委员会.","2022","chi","Book","PrintBook","Di 1 ban",1,"科学出版社","Beijing","Bian ji gong zuo Ming ci shu yu,Chu ban gong zuo Ming ci shu yu","本书收录了编辑与出版学名词共3373条,内容包括综论,编辑,印刷,音像复制,发行与经营,数字出版,出版物,著作权8部分,每条名词均给出了定义或注释","否"
"1194417366","9787030576378,7030576373","Advanced mathematics for medicine = 医药高等数学, 英文改编版","Laurence Hoffmann","2019","eng","Book","PrintBook","Di yi ban",1,"科学出版社","Beijing","Medicine Mathematics","","否"
"1192381419","9787030637055,7030637054","Textbook of medical physics = 医学物理学, 英文改编版","Alan Giambattista","2020","eng","Book","PrintBook","Di yi ban",1,"科学出版社","Beijing","Physics Textbooks,Physics,Textbooks","","否"
"1268573072","9787030669773,7030669770","Textbook of diagnostics = 诊断学, 英文改编版, 第2版","Richard F. LeBlond","2021","eng","Book","PrintBook","Di er ban",2,"科学出版社","Beijing","Physical diagnosis,Diagnosis,Medical history taking,Symptoms,Physical Examination,Medical History Taking,Diagnostics cliniques,Diagnostics,Anamnèse,Signes et symptômes,diagnosis","","否"
"1381539817","9787030729514,703072951X","Mass transfer dynamics of contaminant in fractured media = 裂隙介质污染物传质动力学","窦智, author","2022","eng","Book","PrintBook","Di yi ban",1,"科学出版社","Beijing","Groundwater Pollution,Groundwater flow Mathematical models,Eau souterraine Pollution,Eau souterraine Écoulement Modèles mathématiques","","否"
"1182512010","9787030626653,7030626656","Textbook of pharmacology = 药理学, 英文改编版, 第2版","Bertram G. Katzung","2019","eng","Book","PrintBook","Di er ban",2,"科学出版社","Beijing","Pharmacology,Chemotherapy,Drug Therapy,Pharmacologie,Chimiothérapie,pharmacology","","否"
"1197935839","9787030629548,703062954X","Textbook of medical molecular biology = 医学分子生物学","Robert Franklin Weaver","2020","eng","Book","PrintBook","Di yi ban",1,"科学出版社","Beijing","Molecular biology,Biologie moléculaire,molecular biology","","否"
